ES111,ES112,ES113,ES120,ES213,ES241,ES243,ES413,ES415,ES419,ES425,ES431,ES432,ES512,ES513,ES514,ES523,ES617,FR,PT,IT,time,EU
92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,3732.0,704.5,185.0,01/01/2015 00:00,17301.46
76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,3046.0,473.8,153.0,01/01/2015 01:00,16745.414999999997
43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,1726.0,400.5,144.0,01/01/2015 02:00,16494.73
40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,810.0,167.6,168.0,01/01/2015 03:00,16763.454999999998
41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,1090.0,151.7,225.0,01/01/2015 04:00,18267.93
47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,1269.0,124.8,509.0,01/01/2015 05:00,22120.71
56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,1086.0,248.5,991.0,01/01/2015 06:00,25445.395
56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,916.0,419.2,1418.0,01/01/2015 07:00,27332.585000000003
75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,803.0,383.7,1381.0,01/01/2015 08:00,27897.145
100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,819.0,259.2,1188.0,01/01/2015 09:00,27768.189999999995
84.22222222222221,84.22222222222221,84.22222222222221,84.22222222222221,84.22222222222221,84.22222222222221,84.22222222222221,84.22222222222221,84.22222222222221,84.22222222222221,84.22222222222221,84.22222222222221,84.22222222222221,84.22222222222221,84.22222222222221,84.22222222222221,84.22222222222221,84.22222222222221,1095.0,267.4,1000.0,01/01/2015 10:00,27874.44
