Source:_EU_EnVis_Scenarios_InputData_v1.3.0.csv	Unnamed:_1
1	131.28204827918
2	-136.0845981790997
3	-223.5598454209979
4	-237.9854297152992
5	-237.7340914610581
6	-247.6377352253924
7	-254.28171449013
