Source:_Assumed	Unnamed:_1	Unnamed:_2	Unnamed:_3
France	Nuclear	4	3300
France	Nuclear	5	6600
EU	Nuclear	2	2490
EU	Nuclear	3	9170
EU	Nuclear	4	11855
EU	Nuclear	5	1632
