Source:_Reference_(distributed)	Unnamed:_1	Unnamed:_2	Unnamed:_3
ES212	Li-Ion_BESS	3	0.0
ES212	Li-Ion_BESS	4	0.0
ES212	Li-Ion_BESS	5	0.0
ES212	Li-Ion_BESS	6	0.0
ES212	Li-Ion_BESS	7	0.0
ES213	HydroPumpStorage	1	0.0
ES213	HydroPumpStorage	2	0.0
ES213	HydroPumpStorage	3	0.0
ES213	HydroPumpStorage	4	0.0
ES213	HydroPumpStorage	5	0.0
ES213	HydroPumpStorage	6	0.0
ES213	HydroPumpStorage	7	0.0
ES213	Li-Ion_BESS	1	0.0
ES213	Li-Ion_BESS	2	0.0
ES213	Li-Ion_BESS	3	0.0
ES213	Li-Ion_BESS	4	0.0
ES213	Li-Ion_BESS	5	0.0
ES213	Li-Ion_BESS	6	0.0
ES213	Li-Ion_BESS	7	0.0
ES220	HydroPumpStorage	1	0.0
ES220	HydroPumpStorage	2	0.0
ES220	HydroPumpStorage	3	0.0
ES220	HydroPumpStorage	4	0.0
ES220	HydroPumpStorage	5	0.0
ES220	HydroPumpStorage	6	0.0
ES220	HydroPumpStorage	7	0.0
ES220	Li-Ion_BESS	1	0.0
ES220	Li-Ion_BESS	2	0.0
ES220	Li-Ion_BESS	3	0.0
ES220	Li-Ion_BESS	4	0.0
ES220	Li-Ion_BESS	5	0.0
ES220	Li-Ion_BESS	6	0.0
ES220	Li-Ion_BESS	7	0.0
ES230	HydroPumpStorage	1	0.0
ES230	HydroPumpStorage	2	0.0
ES230	HydroPumpStorage	3	0.0
ES230	HydroPumpStorage	4	0.0
ES230	HydroPumpStorage	5	0.0
ES230	HydroPumpStorage	6	0.0
ES230	HydroPumpStorage	7	0.0
ES230	Li-Ion_BESS	1	0.0
ES230	Li-Ion_BESS	2	0.0
ES230	Li-Ion_BESS	3	0.0
ES230	Li-Ion_BESS	4	0.0
ES230	Li-Ion_BESS	5	0.0
ES230	Li-Ion_BESS	6	0.0
ES230	Li-Ion_BESS	7	0.0
ES241	HydroPumpStorage	1	0.0
ES241	HydroPumpStorage	2	0.0
ES241	HydroPumpStorage	3	0.0
ES241	HydroPumpStorage	4	0.0
ES241	HydroPumpStorage	5	0.0
ES241	HydroPumpStorage	6	0.0
ES241	HydroPumpStorage	7	0.0
ES241	Li-Ion_BESS	1	0.0
ES241	Li-Ion_BESS	2	0.0
ES241	Li-Ion_BESS	3	0.0
ES241	Li-Ion_BESS	4	0.0
ES241	Li-Ion_BESS	5	0.0
ES241	Li-Ion_BESS	6	0.0
ES241	Li-Ion_BESS	7	0.0
ES242	HydroPumpStorage	1	0.0
ES242	HydroPumpStorage	2	0.0
