,DA,ID2,ID3,CID,BE
2024-05-14 00:00:00+00:00,1.0,1.0193434328771578,1.0193434328771578,1.0253450867742502,1.0187631074344232
2024-05-14 01:00:00+00:00,1.0,1.012931200970276,1.012931200970276,1.0136128244371212,1.0128202343822044
2024-05-14 02:00:00+00:00,1.0,1.0108884527097286,1.0108884527097286,1.0104466561842373,1.0151285595418034
2024-05-14 03:00:00+00:00,1.0,1.0128574615757406,1.0128574615757406,1.0127559527092107,1.0099571864877244
2024-05-14 04:00:00+00:00,1.0,1.0112404692144488,1.0112404692144488,1.0081823880138725,0.987074355232077
2024-05-14 05:00:00+00:00,1.0,1.0082169767774654,1.0082169767774654,0.9900310259573942,0.9872479681771293
2024-05-14 06:00:00+00:00,1.0,1.0054388733329265,1.0054388733329265,0.9889188512311785,0.9978582786459085
2024-05-14 07:00:00+00:00,1.0,1.0053249277143772,1.0053249277143772,0.9960733513603813,1.0163793601643119
2024-05-14 08:00:00+00:00,1.0,1.0021442332554142,1.0021442332554142,1.0134061883108716,1.0384989574861518
2024-05-14 09:00:00+00:00,1.0,1.0051884810651557,1.0051884810651557,1.0348077601810364,1.055215103272565
2024-05-14 10:00:00+00:00,1.0,1.0004800907948748,1.0004800907948748,1.0425690127949534,1.04401592796232
2024-05-14 11:00:00+00:00,1.0,1.0037414674909433,1.0037414674909433,1.0391681782477564,1.039180452769731
2024-05-14 12:00:00+00:00,1.0,0.996516167109791,1.0280450256022249,1.0288479602676834,1.029052328015167
2024-05-14 13:00:00+00:00,1.0,1.0,1.0264064852476462,1.0258909929143971,1.0140011655421863
2024-05-14 14:00:00+00:00,1.0,1.0,1.0185580278881106,1.0056170211094255,0.9899086487518619
2024-05-14 15:00:00+00:00,1.0,1.0,1.012990299566302,0.9894871126994861,0.9764046151729228
2024-05-14 16:00:00+00:00,1.0,1.0,1.0051289506348675,0.9767106533107794,0.9830300463248062
2024-05-14 17:00:00+00:00,1.0,1.0,0.999752685139374,0.9829730603723212,0.9796607259009406
2024-05-14 18:00:00+00:00,1.0,1.0,0.9957331889639849,0.9797270869535343,0.9809579254770163
2024-05-14 19:00:00+00:00,1.0,1.0,1.0080741763793306,0.9935124387229093,0.9851827417588602
2024-05-14 20:00:00+00:00,1.0,1.0,0.9974313910179693,0.9747124354612567,1.0043879315780995
2024-05-14 21:00:00+00:00,1.0,1.0,1.000541012676128,1.0066473486205663,0.9996670790825154
2024-05-14 22:00:00+00:00,1.0,1.0,1.0020025398392154,1.000149194264349,0.9990488330564337
2024-05-14 23:00:00+00:00,1.0,1.0,1.0,1.0034066171792222,1.0092239850854208
