Node	Generator	Period	genInvCap
ES212	GasCCS	2	0.0
ES212	GasOCGT	1	3.27965666380092e-07
ES212	GasOCGT	2	4.0061685751119126e-08
ES212	Lignite	1	8.304602935267697e-06
ES212	Lignite	2	3.7810926452497383e-06
ES212	Solar	1	0.0
ES212	Solar	2	0.0
ES212	Waste	1	5.1965638403733816e-05
ES212	Waste	2	3.847631421207521e-08
ES212	Windonshore	1	8.578191668107138e-08
ES212	Windonshore	2	1.5821092337089879e-07
ES213	Bio	1	5.4025116163574496e-08
ES213	Bio	2	6.636201761882473e-07
ES213	BioCCS	1	0.0
ES213	BioCCS	2	0.0
ES213	CoalCCS	1	0.0
ES213	CoalCCS	2	0.0
ES213	GasCCGT	1	6.864169600944903e-07
ES213	GasCCGT	2	1.37652614221633e-06
ES213	GasCCS	1	0.0
ES213	GasCCS	2	0.0
ES213	GasOCGT	1	1.6299482338149861e-07
ES213	GasOCGT	2	8.770808469416202e-07
ES213	Hydroregulated	1	2.1243067749310285e-08
ES213	Hydroregulated	2	58.383060699717035
ES213	Hydrorun-of-the-river	1	0.0
ES213	Hydrorun-of-the-river	2	0.0
ES213	Lignite	1	8.334185286852815e-06
ES213	Lignite	2	3.732830607878449e-06
ES213	Solar	1	0.0
ES213	Solar	2	0.0
ES213	Waste	1	1.5331232970161096e-06
ES213	Waste	2	1.4528667933297918e-05
ES213	Windonshore	1	1.3278048527354258e-07
ES213	Windonshore	2	4.6640596427737895e-09
ES220	Bio	1	1.8496071552361262e-07
ES220	Bio	2	2.542736946997629e-06
ES220	BioCCS	1	0.0
ES220	BioCCS	2	0.0
ES220	CoalCCS	1	0.0
ES220	CoalCCS	2	0.0
ES220	GasCCGT	1	8.696542491702402e-07
ES220	GasCCGT	2	5.488547175947323e-06
ES220	GasCCS	1	0.0
ES220	GasCCS	2	0.0
ES220	GasOCGT	1	5.377097904079617e-07
ES220	GasOCGT	2	2.5805824689979755e-07
ES220	Lignite	1	8.265451242342455e-06
ES220	Lignite	2	3.774838849467767e-06
ES220	Solar	1	5.294645006870269e-07
ES220	Solar	2	6.306624503530665e-07
ES220	Waste	1	4.783663690156345e-06
ES220	Waste	2	4.963360360652816e-06
ES220	Windonshore	1	3.5478467452776385e-06
ES220	Windonshore	2	6.34844126783488e-07
ES230	BioCCS	1	0.0
ES230	BioCCS	2	0.0
ES230	CoalCCS	1	0.0
ES230	CoalCCS	2	0.0
ES230	GasCCGT	1	1.3583761977110748e-07
ES230	GasCCGT	2	4.46756184525789e-10
ES230	GasCCS	1	0.0
ES230	GasCCS	2	0.0
ES230	GasOCGT	1	1.0816031126680752e-07
ES230	GasOCGT	2	6.70160442755685e-08
ES230	Hydrorun-of-the-river	1	2.338999076837605
ES230	Hydrorun-of-the-river	2	8.112793107794053e-09
ES230	Lignite	1	8.378056252752995e-06
