Node	Storage	Period	storPWInstalledCap
ES514	HydroPumpStorage	1	0.0
ES514	HydroPumpStorage	2	0.0
ES514	Li-Ion_BESS	1	6.494364001369786e-05
ES514	Li-Ion_BESS	2	0.0028368015335829273
ES521	HydroPumpStorage	1	0.0
ES521	HydroPumpStorage	2	0.0
ES521	Li-Ion_BESS	1	6.640593532839153e-05
ES521	Li-Ion_BESS	2	0.0031252640709758094
ES522	HydroPumpStorage	1	0.0
ES522	HydroPumpStorage	2	0.0
ES522	Li-Ion_BESS	1	6.534409308619324e-05
ES522	Li-Ion_BESS	2	0.0023215868931655017
ES523	HydroPumpStorage	1	2301.0000002729307
ES523	HydroPumpStorage	2	2301.0000024224687
ES523	Li-Ion_BESS	1	6.543917166286657e-05
ES523	Li-Ion_BESS	2	0.0015483934781137685
ES532	HydroPumpStorage	1	0.0
ES532	HydroPumpStorage	2	0.0
ES532	Li-Ion_BESS	1	6.560335235438868e-05
ES532	Li-Ion_BESS	2	0.0017616639058668348
ES611	HydroPumpStorage	1	0.0
ES611	HydroPumpStorage	2	0.0
ES611	Li-Ion_BESS	1	6.765933812782326e-05
ES611	Li-Ion_BESS	2	323.5859710401767
ES612	HydroPumpStorage	1	0.0
ES612	HydroPumpStorage	2	0.0
ES612	Li-Ion_BESS	1	6.643753895322168e-05
ES612	Li-Ion_BESS	2	0.0014331123901840425
ES613	HydroPumpStorage	1	0.0
ES613	HydroPumpStorage	2	0.0
ES613	Li-Ion_BESS	1	6.670960598384898e-05
ES613	Li-Ion_BESS	2	0.014846093225655183
ES614	HydroPumpStorage	1	0.0
ES614	HydroPumpStorage	2	0.0
ES614	Li-Ion_BESS	1	6.78563949432453e-05
ES614	Li-Ion_BESS	2	741.6326297013229
ES615	HydroPumpStorage	1	0.0
ES615	HydroPumpStorage	2	0.0
ES615	Li-Ion_BESS	1	6.575651726780656e-05
ES615	Li-Ion_BESS	2	0.0011866909841618026
ES616	HydroPumpStorage	1	0.0
ES616	HydroPumpStorage	2	0.0
ES616	Li-Ion_BESS	1	6.675799343226256e-05
ES616	Li-Ion_BESS	2	0.006798983537480453
ES617	HydroPumpStorage	1	572.0000003044036
ES617	HydroPumpStorage	2	572.000002300492
ES617	Li-Ion_BESS	1	6.639982044554577e-05
ES617	Li-Ion_BESS	2	0.0022720568359751794
ES618	HydroPumpStorage	1	314.0000010326677
ES618	HydroPumpStorage	2	314.0000019989024
ES618	Li-Ion_BESS	1	6.667721382291772e-05
ES618	Li-Ion_BESS	2	0.002860706815252047
ES620	HydroPumpStorage	1	0.0
ES620	HydroPumpStorage	2	0.0
ES620	Li-Ion_BESS	1	6.631491630912655e-05
ES620	Li-Ion_BESS	2	0.0019443252470148485
EU	HydroPumpStorage	1	37739.00000016211
EU	HydroPumpStorage	2	37739.0000172565
EU	Li-Ion_BESS	1	6.94351333048571e-05
EU	Li-Ion_BESS	2	0.0007718214843282488
