Node	Storage	Period	storPWInvCap
ES513	Li-Ion_BESS	1	7.633513577026974e-05
ES513	Li-Ion_BESS	2	0.0008725087682921735
ES514	HydroPumpStorage	1	0.0
ES514	HydroPumpStorage	2	0.0
ES514	Li-Ion_BESS	1	7.621610679190447e-05
ES514	Li-Ion_BESS	2	0.0008662764772768547
ES521	HydroPumpStorage	1	0.0
ES521	HydroPumpStorage	2	0.0
ES521	Li-Ion_BESS	1	7.770992959655167e-05
ES521	Li-Ion_BESS	2	0.001075668561502542
ES522	HydroPumpStorage	1	0.0
ES522	HydroPumpStorage	2	0.0
ES522	Li-Ion_BESS	1	7.654532828047208e-05
ES522	Li-Ion_BESS	2	0.0007676860660168205
ES523	HydroPumpStorage	1	2.4954442778835073e-07
ES523	HydroPumpStorage	2	1.518222344568522e-06
ES523	Li-Ion_BESS	1	7.632595443319524e-05
ES523	Li-Ion_BESS	2	0.0006608571824857575
ES532	HydroPumpStorage	1	0.0
ES532	HydroPumpStorage	2	0.0
ES532	Li-Ion_BESS	1	7.728114166820148e-05
ES532	Li-Ion_BESS	2	0.0006378889081500651
ES611	HydroPumpStorage	1	0.0
ES611	HydroPumpStorage	2	0.0
ES611	Li-Ion_BESS	1	7.963559608722327e-05
ES611	Li-Ion_BESS	2	0.0018988698262279147
ES612	HydroPumpStorage	1	0.0
ES612	HydroPumpStorage	2	0.0
ES612	Li-Ion_BESS	1	7.82633992581065e-05
ES612	Li-Ion_BESS	2	0.0007984390939964046
ES613	HydroPumpStorage	1	0.0
ES613	HydroPumpStorage	2	0.0
ES613	Li-Ion_BESS	1	7.91239440490706e-05
ES613	Li-Ion_BESS	2	0.001619639058399262
ES614	HydroPumpStorage	1	0.0
ES614	HydroPumpStorage	2	0.0
ES614	Li-Ion_BESS	1	8.016872134260003e-05
ES614	Li-Ion_BESS	2	0.0024997021768588374
ES615	HydroPumpStorage	1	0.0
ES615	HydroPumpStorage	2	0.0
ES615	Li-Ion_BESS	1	7.734844138331296e-05
ES615	Li-Ion_BESS	2	0.0007523404719486991
ES616	HydroPumpStorage	1	0.0
ES616	HydroPumpStorage	2	0.0
ES616	Li-Ion_BESS	1	7.95738756137212e-05
ES616	Li-Ion_BESS	2	0.001637208492681415
ES617	HydroPumpStorage	1	4.5014826355327386e-07
ES617	HydroPumpStorage	2	5.433872739168526e-07
ES617	Li-Ion_BESS	1	7.829299205276564e-05
ES617	Li-Ion_BESS	2	0.0010368999316709077
