Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
ES423,Windonshore,2020-2025,0.3090190763196827
ES423,Windonshore,2025-2030,10.537663913177868
ES424,Windonshore,2020-2025,5.5990813436727296e-05
ES424,Windonshore,2025-2030,4.617311511230277
ES425,Windonshore,2020-2025,0.05849777992126128
ES425,Windonshore,2025-2030,1.2220861134186016
ES431,Windonshore,2020-2025,0.03454695051751722
ES431,Windonshore,2025-2030,0.17144802999831235
ES432,Windonshore,2020-2025,0.0428305540237395
ES432,Windonshore,2025-2030,0.9607803009292106
ES511,Windonshore,2020-2025,3.1309378875293065e-05
ES511,Windonshore,2025-2030,0.04185703025723751
ES512,Windonshore,2020-2025,4.498540238119281e-06
ES512,Windonshore,2025-2030,7.30020064505286e-06
ES513,Windonshore,2020-2025,3.817885209004176e-05
ES513,Windonshore,2025-2030,0.33467521209803175
ES514,Windonshore,2020-2025,3.3577793847911805e-05
ES514,Windonshore,2025-2030,1.429003730220001
ES521,Windonshore,2020-2025,0.017474806163443785
ES521,Windonshore,2025-2030,0.7926967763826314
ES522,Windonshore,2020-2025,3.175040960940686e-05
ES522,Windonshore,2025-2030,3.990379299391893
ES523,Windonshore,2020-2025,4.30861418262461e-05
ES523,Windonshore,2025-2030,3.2151976628113093
ES532,Windonshore,2020-2025,6.192452064112867e-06
ES532,Windonshore,2025-2030,1.2043666692642842e-05
ES611,Windonshore,2020-2025,0.3878014403196029
ES611,Windonshore,2025-2030,9.30741773241877
ES612,Windonshore,2020-2025,4.078494273570281
ES612,Windonshore,2025-2030,21.261381701738102
ES613,Windonshore,2020-2025,4.470916427792694e-06
ES613,Windonshore,2025-2030,7.163914829662381e-06
ES614,Windonshore,2020-2025,0.6300462402109365
ES614,Windonshore,2025-2030,5.58921404484527
ES615,Windonshore,2020-2025,1.2293580620490256
ES615,Windonshore,2025-2030,3.6251442605257194
ES616,Windonshore,2020-2025,3.0028608747689135e-06
ES616,Windonshore,2025-2030,5.332347428762362e-06
ES617,Windonshore,2020-2025,0.7866474529489887
ES617,Windonshore,2025-2030,8.262931033844993
ES618,Windonshore,2020-2025,0.36390990658864697
ES618,Windonshore,2025-2030,1.4837281812581997
ES620,Windonshore,2020-2025,0.1788187041634662
ES620,Windonshore,2025-2030,3.493330039977899
EU,Windonshore,2020-2025,1.623291885279876e-05
EU,Windonshore,2025-2030,0.0002968540663802553
France,Windonshore,2020-2025,2.8853947525614756e-05
France,Windonshore,2025-2030,8.019420746074365e-05
Italy,Windonshore,2020-2025,30.530587278242304
Italy,Windonshore,2025-2030,236.28842837969228
Portugal,Windonshore,2020-2025,6.6431111676497885
Portugal,Windonshore,2025-2030,62.52548384354411
ES111,Solar,2020-2025,0.0
ES111,Solar,2025-2030,0.0
ES112,Solar,2020-2025,1.0195618060286911e-05
ES112,Solar,2025-2030,7.172853816276854e-05
ES113,Solar,2020-2025,0.0
ES113,Solar,2025-2030,0.0
ES114,Solar,2020-2025,1.203076827935414e-05
ES114,Solar,2025-2030,9.91176520670011e-05
ES120,Solar,2020-2025,6.8268701835342395e-06
ES120,Solar,2025-2030,1.4540089035127298e-05
