Node,StorageType,Period,storPWInvCap_MW,storPWInstalledCap_MW,storENInvCap_MWh,storENInstalledCap_MWh,DiscountedInvestmentCostPWEN_EuroPerMWMWh,ExpectedAnnualDischargeVolume_GWh,ExpectedAnnualLossesChargeDischarge_GWh
ES111,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES111,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES111,Li-Ion_BESS,2020-2025,6.481975813563988e-05,6.481975813563988e-05,0.00012963951627127977,0.00012963951627127977,29.095787118273144,0.00021227903306910743,1.0700591811476103e-05
ES111,Li-Ion_BESS,2025-2030,0.0008078719795908143,0.000872689320403778,0.0016157439591808062,0.001745378640807556,125.82799980496729,0.001336697502752703,6.73804615658909e-05
ES112,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES112,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES112,Li-Ion_BESS,2020-2025,6.511715267471982e-05,6.511715267471982e-05,0.00013023430534943965,0.00013023430534943965,29.22927925783189,0.00021235525238344393,1.0704433887395938e-05
ES112,Li-Ion_BESS,2025-2030,0.0011685348704117099,0.00123364960576371,0.0023370697408250695,0.00246729921152742,182.00211068197694,0.001675035066894007,8.443543672086992e-05
ES113,HydroPumpStorage,2020-2025,6.563284955518611e-07,326.0000006563285,1.5091063687577844e-07,61011.39900015091,0.5387825029930225,243.89152586446184,51.488211015472125
ES113,HydroPumpStorage,2025-2030,8.00632419346608e-07,326.00000145454356,5.010502413011384e-08,61011.39900019618,0.2872139006536993,630.6565211017901,133.1385988992092
ES113,Li-Ion_BESS,2020-2025,6.515931870564112e-05,6.515931870564112e-05,0.00013031863741128224,0.00013031863741128224,29.248206416688937,0.00021258779558783905,1.0716155962755267e-05
ES113,Li-Ion_BESS,2025-2030,0.0010213987954172691,0.0010865556968006665,0.002042797590836435,0.002173111393601333,159.08531385845276,0.001474515853391503,7.432763148196029e-05
ES114,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES114,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES114,Li-Ion_BESS,2020-2025,6.512670932699177e-05,6.512670932699177e-05,0.00013025341865398354,0.00013025341865398354,29.233568973314725,0.00021204220632296591,1.0688653809922924e-05
ES114,Li-Ion_BESS,2025-2030,0.0011763227198252164,0.0012414470118280298,0.0023526454396496253,0.0024828940236560596,183.21508691974645,0.0016756426164233154,8.446606215834325e-05
ES120,HydroPumpStorage,2020-2025,7.096148237906164e-07,187.00000070961482,3.987370291724801e-07,34997.33600039874,0.5886130985454056,107.40623264174909,22.67464899618787
ES120,HydroPumpStorage,2025-2030,2.7316178365984476e-07,187.0000009803593,6.777450530911235e-08,34997.336000461684,0.09856770696666262,339.60590093028134,71.69457908515055
ES120,Li-Ion_BESS,2020-2025,6.482362727379959e-05,6.482362727379959e-05,0.00012964725454759919,0.00012964725454759919,29.097523866811926,0.00021096123846591356,1.0634164206207637e-05
ES120,Li-Ion_BESS,2025-2030,0.0013095783979167463,0.0013743996078658667,0.0026191567958320236,0.0027487992157317334,203.9699786111097,0.0017617275128031583,8.880544370019651e-05
ES130,HydroPumpStorage,2020-2025,2.4431869860563893e-08,546.0000000244319,3.8348662201315165e-07,102184.73500038349,0.029821010320551233,302.6741969620793,63.897886025243686
ES130,HydroPumpStorage,2025-2030,2.141907829717119e-06,546.0000021639223,4.5858934752878055e-08,102184.73500042451,0.7673735728222999,1023.7098342016601,216.11652055348856
ES130,Li-Ion_BESS,2020-2025,6.496695700400836e-05,6.496695700400836e-05,0.00012993391400801672,0.00012993391400801672,29.161860597429573,0.00021174808706055114,1.0673827798325825e-05
ES130,Li-Ion_BESS,2025-2030,0.001452383041241065,0.0015173475809235363,0.0029047660824848766,0.0030346951618470727,226.21214455626966,0.001987673846174275,0.0001001949833486123
ES211,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES211,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES211,Li-Ion_BESS,2020-2025,6.477910850321155e-05,6.477910850321155e-05,0.0001295582170064231,0.0001295582170064231,29.07754062853624,0.00021173980948817827,1.0673410541523324e-05
ES211,Li-Ion_BESS,2025-2030,0.0019896790181077573,0.002054455709289184,0.003979358036219273,0.004108911418578368,309.8972825241513,0.0025735702893096295,0.00012972894691429447
ES212,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES212,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES212,Li-Ion_BESS,2020-2025,6.460696940856315e-05,6.460696940856315e-05,0.0001292139388171263,0.0001292139388171263,29.000272175263987,0.00021182803663276635,1.067785790962516e-05
ES212,Li-Ion_BESS,2025-2030,0.00174649517250996,0.0018110997245960657,0.0034929903450218076,0.0036221994491921314,272.02081490360234,0.002338688095892518,0.00011788896698194448
ES213,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES213,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
