ES111,ES112,ES113,ES120,ES213,ES241,ES243,ES413,ES415,ES419,ES425,ES431,ES432,ES512,ES513,ES514,ES523,ES617,FR,PT,time,EU
92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,92.1111111111111,3732.0,704.5,01/01/2015 00:00,17486.46
76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,76.16666666666666,3046.0,473.8,01/01/2015 01:00,16898.414999999997
43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,43.27777777777778,1726.0,400.5,01/01/2015 02:00,16638.73
40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,810.0,167.6,01/01/2015 03:00,16931.454999999998
41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,41.27777777777778,1090.0,151.7,01/01/2015 04:00,18492.93
47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,47.11111111111111,1269.0,124.8,01/01/2015 05:00,22629.71
56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,56.22222222222222,1086.0,248.5,01/01/2015 06:00,26436.395
56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,56.388888888888886,916.0,419.2,01/01/2015 07:00,28750.585000000003
75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,75.38888888888889,803.0,383.7,01/01/2015 08:00,29278.145
100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,100.94444444444444,819.0,259.2,01/01/2015 09:00,28956.189999999995
