Model Version,Region,Unit,Year,Value
Go RES v1.2.0,EE,€/tCO2,2035,1734.97
Go RES v1.2.0,EE,€/tCO2,2040,970.64
Go RES v1.2.0,EE,€/tCO2,2045,1483.08
Go RES v1.2.0,EE,€/tCO2,2050,6509.37
Go RES v1.2.0,EE,€/tCO2,2055,5255.44
Go RES v1.2.0,ES,€/tCO2,2018,589.35
Go RES v1.2.0,ES,€/tCO2,2025,1368.31
Go RES v1.2.0,ES,€/tCO2,2030,1396.31
Go RES v1.2.0,ES,€/tCO2,2035,1702.98
Go RES v1.2.0,ES,€/tCO2,2040,2097.15
Go RES v1.2.0,ES,€/tCO2,2045,2760.82
Go RES v1.2.0,ES,€/tCO2,2050,3914.3
Go RES v1.2.0,ES,€/tCO2,2055,5645.09
Go RES v1.2.0,FI,€/tCO2,2018,988.36
Go RES v1.2.0,FI,€/tCO2,2025,1384.94
Go RES v1.2.0,FI,€/tCO2,2030,1396.85
Go RES v1.2.0,FI,€/tCO2,2035,1734.92
Go RES v1.2.0,FI,€/tCO2,2040,591.93
Go RES v1.2.0,FI,€/tCO2,2045,4714.22
Go RES v1.2.0,FI,€/tCO2,2050,3746.19
Go RES v1.2.0,FI,€/tCO2,2055,6441.92
Go RES v1.2.0,FR,€/tCO2,2018,589.34
Go RES v1.2.0,FR,€/tCO2,2025,1369.27
Go RES v1.2.0,FR,€/tCO2,2030,1395.53
Go RES v1.2.0,FR,€/tCO2,2035,1696.11
Go RES v1.2.0,FR,€/tCO2,2040,1967.96
Go RES v1.2.0,FR,€/tCO2,2045,2982.12
Go RES v1.2.0,FR,€/tCO2,2050,3869.66
Go RES v1.2.0,FR,€/tCO2,2055,5640.44
Go RES v1.2.0,GR,€/tCO2,2018,626.19
Go RES v1.2.0,GR,€/tCO2,2025,1375.48
Go RES v1.2.0,GR,€/tCO2,2030,1386.9
Go RES v1.2.0,GR,€/tCO2,2035,1687.54
Go RES v1.2.0,GR,€/tCO2,2040,1986.47
Go RES v1.2.0,GR,€/tCO2,2045,2913.8
Go RES v1.2.0,GR,€/tCO2,2050,3915.44
