Date,Price,Open,High,Low,Vol.,Change %
11/5/2025,81.49,82,82.23,80.89,26.68K,-1.00%
11/4/2025,82.31,81.2,82.41,81.06,34.67K,1.37%
11/3/2025,81.2,78.78,81.75,78.78,47.92K,3.39%
10/31/2025,78.54,78.79,79.13,78.01,20.29K,-0.17%
10/30/2025,78.67,78.86,79.54,78.54,22.19K,-0.18%
10/29/2025,78.81,78.65,79.13,78.18,21.72K,0.63%
10/28/2025,78.32,77.94,78.88,77.5,23.63K,0.71%
10/27/2025,77.77,78.3,78.3,77.01,23.00K,-0.70%
10/24/2025,78.32,78.49,78.89,77.91,17.20K,-0.15%
10/23/2025,78.44,78.48,79.19,78.02,25.44K,-0.03%
10/22/2025,78.46,79.4,79.64,78.15,24.52K,-1.41%
10/21/2025,79.58,79.81,79.99,78.92,22.99K,-0.30%
10/20/2025,79.82,79.5,79.96,78.65,25.31K,0.45%
10/17/2025,79.46,78.99,79.9,78.12,32.20K,-0.06%
10/16/2025,79.51,78.06,79.69,77.61,27.00K,2.09%
10/15/2025,77.88,76.73,78.3,76.68,26.10K,1.25%
10/14/2025,76.92,77.9,77.9,76.69,32.10K,-1.54%
10/13/2025,78.12,79.54,79.74,77.76,32.33K,-1.96%
10/10/2025,79.68,79.22,80.37,79.01,31.64K,0.57%
10/9/2025,79.23,78.9,79.54,78.04,25.18K,0.28%
10/8/2025,79.01,78.14,79.29,77.9,19.36K,0.89%
10/7/2025,78.31,78.75,79.13,78,27.64K,-0.56%
10/6/2025,78.75,79.72,80.11,78.61,31.03K,-0.52%
10/3/2025,79.16,77.65,79.55,77.52,33.99K,2.23%
10/2/2025,77.43,76.35,77.8,76.11,31.99K,1.44%
10/1/2025,76.33,75.61,76.56,74.51,33.97K,0.81%
