,DA,ID2,ID3,CID,BE
2024-05-09 00:00:00+00:00,1.0,1.0947631606108699,1.0947631606108699,1.098194477627017,1.0861522272626372
2024-05-09 01:00:00+00:00,1.0,1.066301557502869,1.066301557502869,1.0564266980904617,1.0038106534923765
2024-05-09 02:00:00+00:00,1.0,1.046650045956224,1.046650045956224,0.9669455403613362,1.0421502115147059
2024-05-09 03:00:00+00:00,1.0,1.0373251716407639,1.0373251716407639,1.0509708788461127,0.9781277721386884
2024-05-09 04:00:00+00:00,1.0,1.0182992241289053,1.0182992241289053,0.9354427316295011,0.9345150336215248
2024-05-09 05:00:00+00:00,1.0,0.9925501026970227,0.9925501026970227,0.8946640509390145,0.98188838468495
2024-05-09 06:00:00+00:00,1.0,0.9461396833977629,0.9461396833977629,0.9673325358463719,1.0146655201304957
2024-05-09 07:00:00+00:00,1.0,0.9228349777397632,0.9228349777397632,1.0216449958704266,0.9611624615542934
2024-05-09 08:00:00+00:00,1.0,0.9370964092591642,0.9370964092591642,0.9520833415543218,0.9317786160886087
2024-05-09 09:00:00+00:00,1.0,1.0041139309851401,1.0041139309851401,0.9739614638411641,0.9407935550873262
2024-05-09 10:00:00+00:00,1.0,1.057587943983906,1.057587943983906,0.9609730365561612,0.9222238974108483
2024-05-09 11:00:00+00:00,1.0,1.093341122066946,1.093341122066946,0.9361470610908924,0.8824509450349991
2024-05-09 12:00:00+00:00,1.0,1.0851120113314336,0.9220875069073318,0.8649279630840178,0.9642906430661353
2024-05-09 13:00:00+00:00,1.0,1.0,0.8564074501219835,0.9128305739113484,0.8549886916147803
2024-05-09 14:00:00+00:00,1.0,1.0,0.8676723145072182,0.8469118765447301,1.058529277904069
2024-05-09 15:00:00+00:00,1.0,1.0,0.8893455420331279,1.095634721793085,1.1054686026459646
2024-05-09 16:00:00+00:00,1.0,1.0,0.8993359391173202,1.0870224011491396,1.0810382428847962
2024-05-09 17:00:00+00:00,1.0,1.0,0.9092769598322588,1.0475688621423649,1.1133441251983784
2024-05-09 18:00:00+00:00,1.0,1.0,0.9380359402439555,1.116129610320049,1.1252026564147029
2024-05-09 19:00:00+00:00,1.0,1.0,0.95223993753178,1.1206045295603617,1.0547839291223424
2024-05-09 20:00:00+00:00,1.0,1.0,0.957279299003247,1.0199639601371655,1.1011857007845192
2024-05-09 21:00:00+00:00,1.0,1.0,0.9675567288230762,1.102733234941365,1.086756985941983
2024-05-09 22:00:00+00:00,1.0,1.0,0.9780492901673007,1.0782947972531114,1.1181174195286812
2024-05-09 23:00:00+00:00,1.0,1.0,1.0,1.135954252361808,1.18438360248839
