date,hour,load_mw,solar_mw,wind_mw
2024-07-08,0,24201.31972340143,653.6731652216179,5731.059908972914
2024-07-08,1,22967.95358668035,768.2313231663669,6016.736813551835
2024-07-08,2,21709.075046842452,720.5684777763611,5783.29908980455
2024-07-08,3,21286.09036417128,873.6526374349362,5513.388955037417
2024-07-08,4,20944.17800789749,1220.5244660462524,5409.363188906912
2024-07-08,5,21322.120971281838,835.176685796587,5412.855049684786
2024-07-08,6,23742.815737799177,652.6717629938696,5326.645176971248
2024-07-08,7,26051.4962785933,2339.7580720928286,4778.965095599544
2024-07-08,8,28204.617029107285,7741.992602090173,4521.486902554939
2024-07-08,9,31643.361653532196,16144.012702912267,4130.77655144507
2024-07-08,10,34232.73873320281,21199.038463513112,3370.1546471446304
2024-07-08,11,36448.05301964398,21835.936487422256,3867.2255327096013
2024-07-08,12,37981.430769159015,22588.88256136601,4383.036741140245
2024-07-08,13,38583.16313450095,22817.06889589865,5361.646053814746
2024-07-08,14,38986.60383950466,23321.907911999628,6424.231197275323
2024-07-08,15,39221.7142608898,23469.87362971963,6609.669833632022
2024-07-08,16,38993.593661407074,22841.766637784596,6831.3619362974
2024-07-08,17,38058.049422258315,20945.432549655856,8113.403762691153
2024-07-08,18,36983.215237237266,19344.21363033768,9198.965219895366
2024-07-08,19,34787.97851779359,14123.747298340057,9116.42384093797
2024-07-08,20,33047.38384998808,7759.440035415405,9363.884609605626
2024-07-08,21,31114.208006343502,2139.2815367573726,9265.426690503076
2024-07-08,22,30277.972441500155,1019.7748140925512,9189.00437283045
2024-07-08,23,28947.649657238217,1134.3497887901567,9350.97980799125
2024-12-02,0,23255.555138583408,0.0,4374.517019472574
2024-12-02,1,22239.978357936132,0.0,3944.0224702448113
2024-12-02,2,21877.708536083497,0.0,3932.105006846514
2024-12-02,3,21291.29731573941,0.0,4286.122379032892
2024-12-02,4,21118.298492455662,0.0,4805.535238095231
2024-12-02,5,21222.045519864583,0.0,5728.1316461028555
2024-12-02,6,23298.88186845203,0.0,5579.8044436274195
2024-12-02,7,27746.930674811465,0.0,4584.840543818657
2024-12-02,8,29895.058851683843,978.6183297458479,3784.9076554204944
2024-12-02,9,31788.927676554064,4419.426150049065,4462.311937587964
2024-12-02,10,32315.946842123234,9547.479557441764,3113.79144020567
2024-12-02,11,32684.48297256575,11867.7577682882,2248.7336326272903
2024-12-02,12,32766.973886986427,12129.744862015055,1903.0083215357154
2024-12-02,13,33105.343309949356,11369.572119188773,1964.3578085769905
2024-12-02,14,33125.99605248873,10007.619148462752,2162.30672637021
2024-12-02,15,31845.790619953535,7588.291149931268,2159.8131633846265
2024-12-02,16,31246.94961965025,4356.58189796786,2471.416667426986
2024-12-02,17,31934.419959665058,5045.625333652106,3562.7083907768874
2024-12-02,18,32832.72490219273,0.0,4326.81372733746
2024-12-02,19,33621.78020560839,0.0,4322.1714776933195
2024-12-02,20,34438.80147885412,0.0,4390.87771763721
2024-12-02,21,34124.444133598976,0.0,3918.207545933273
2024-12-02,22,31541.277005972905,0.0,4081.5337093735693
2024-12-02,23,27614.707279919116,0.0,4325.77344176692
