date,hour,bus_id,vm_pu,va_deg
2024-07-08,0,ES00001,1.0,-2.1
2024-07-08,0,ES00522,1.0,-2.206
2024-07-08,0,ES00797,1.0,-1.945
2024-07-08,0,ES01184,1.0,6.267
2024-07-08,0,ES00783,1.0,3.555
2024-07-08,0,ES00604,1.0,-1.978
2024-07-08,0,ES00494,1.0,-2.658
2024-07-08,0,ES01215,1.0,-1.762
2024-07-08,0,ES00231,1.0,-1.785
2024-07-08,0,ES00335,1.0,-1.254
2024-07-08,0,ES00193,1.0,1.525
2024-07-08,0,ES00230,1.0,1.897
2024-07-08,0,ES00994,1.0,-5.786
2024-07-08,0,ES00300,1.0,2.818
2024-07-08,0,ES00610,1.0,3.866
2024-07-08,0,ES01124,1.0,-0.812
2024-07-08,0,ES00024,1.0,-1.507
2024-07-08,0,ES00939,1.0,-2.592
2024-07-08,0,ES00419,1.0,-4.906
2024-07-08,0,ES00868,1.0,-1.952
2024-07-08,0,ES00023,1.0,-1.282
2024-07-08,0,ES00163,1.0,-2.098
2024-07-08,0,ES00207,1.0,8.223
2024-07-08,0,ES00566,1.0,-1.47
2024-07-08,0,ES00900,1.0,3.59
2024-07-08,0,ES00995,1.0,-4.492
2024-07-08,0,ES00824,1.0,-1.386
2024-07-08,0,ES00256,1.0,1.349
2024-07-08,0,ES00927,1.0,-0.336
2024-07-08,0,ES00039,1.0,-2.424
2024-07-08,0,ES00852,1.0,6.575
2024-07-08,0,ES00112,1.0,2.236
2024-07-08,0,ES00800,1.0,-2.851
2024-07-08,0,ES00375,1.0,-1.14
2024-07-08,0,ES00034,1.0,-0.423
2024-07-08,0,ES00140,1.0,-0.931
2024-07-08,0,ES00595,1.0,-3.122
2024-07-08,0,ES00055,1.0,-1.06
2024-07-08,0,ES00326,1.0,3.961
2024-07-08,0,ES00017,1.0,1.929
2024-07-08,0,ES00246,1.0,3.944
2024-07-08,0,ES00175,1.0,-0.125
2024-07-08,0,ES00336,1.0,-0.875
2024-07-08,0,ES00366,1.0,8.37
2024-07-08,0,ES00555,1.0,-5.632
2024-07-08,0,ES00344,1.0,-1.934
2024-07-08,0,ES00671,1.0,-2.193
2024-07-08,0,ES00923,1.0,0.019
2024-07-08,0,ES00603,1.0,-2.407
2024-07-08,0,ES00649,1.0,1.998
2024-07-08,0,ES01066,1.0,-1.981
2024-07-08,0,ES00014,1.0,0.789
2024-07-08,0,ES00170,1.0,-2.236
2024-07-08,0,ES01141,1.0,4.366
2024-07-08,0,ES00618,1.0,-2.613
2024-07-08,0,ES00096,1.0,-3.713
2024-07-08,0,ES00459,1.0,2.566
2024-07-08,0,ES01094,1.0,3.405
2024-07-08,0,ES00260,1.0,1.442
2024-07-08,0,ES00513,1.0,0.489
2024-07-08,0,ES00019,1.0,0.388
2024-07-08,0,ES00680,1.0,4.563
2024-07-08,0,ES00936,1.0,-2.526
2024-07-08,0,ES00200,1.0,1.39
2024-07-08,0,ES00404,1.0,-2.086
2024-07-08,0,ES00279,1.0,3.225
2024-07-08,0,ES00787,1.0,-2.205
2024-07-08,0,ES00021,1.0,0.469
2024-07-08,0,ES00247,1.0,0.834
2024-07-08,0,ES00083,1.0,-0.918
2024-07-08,0,ES00587,1.0,-5.417
2024-07-08,0,ES01057,1.0,2.225
2024-07-08,0,ES00877,1.0,-2.107
2024-07-08,0,ES00563,1.0,-2.05
2024-07-08,0,ES00880,1.0,2.659
2024-07-08,0,ES00550,1.0,-1.376
2024-07-08,0,ES00003,1.0,-0.861
2024-07-08,0,ES00081,1.0,3.721
2024-07-08,0,ES01001,1.0,-2.009
2024-07-08,0,ES00975,1.0,-2.428
2024-07-08,0,ES00760,1.0,3.739
2024-07-08,0,ES01085,1.0,-3.005
2024-07-08,0,ES01189,1.0,-1.311
2024-07-08,0,ES01033,1.0,-5.265
2024-07-08,0,ES00306,1.0,-5.739
2024-07-08,0,ES01231,1.0,-1.466
2024-07-08,0,ES00711,1.0,1.705
2024-07-08,0,ES00117,1.0,1.603
2024-07-08,0,ES01186,1.0,-2.121
2024-07-08,0,ES01064,1.0,-6.666
2024-07-08,0,ES00502,1.0,0.225
2024-07-08,0,ES01165,1.0,3.41
2024-07-08,0,ES00861,1.0,-5.577
