rep,t,b,pES,pFR,pPT,fFR,fPT,coal,peak,nuc,res,turb,shed,dem
1,1,1,62.48117116,24.8301628768272,62.48117116,-5652.894,-1099.4259579942627,0.0,0.0,7408.0,2296.311843245,6940.97,0.0,23890.601801239263
1,1,2,62.48117116,24.8301628768272,62.48117116,-5652.894,968.6181823363222,0.0,0.0,7408.0,1991.9731432449996,6940.97,0.0,21518.218960908678
1,1,3,29.56906756247584,24.8301628768272,29.56906756247584,-5652.894,984.3685013792692,0.0,0.0,7408.0,1702.8513782449998,5570.717585569166,0.0,19843.094462434896
1,1,4,29.56906756247584,0.0,29.56906756247584,-5652.894,-896.4802853801793,0.0,0.0,7408.0,3281.691348245001,2865.9000634786257,0.0,20597.965697103806
1,1,5,29.558,0.0,29.558,-5652.894,-3892.0115287501485,0.0,0.0,5037.729174013957,10980.658608245001,0.0,0.0,26056.293311009107
1,1,6,29.558,0.0,29.558,-5652.894,-4714.322403100732,0.0,0.0,47.53598732175669,18379.81906324501,0.0,0.0,29287.571453667497
1,1,7,29.557999999999996,0.0,29.557999999999996,-5652.894,-6085.39550579802,0.0,0.0,0.0,21850.820723245008,0.0,0.0,29784.901000838003
1,1,8,29.558,0.0,29.558,-5652.894,-2440.710593607968,0.0,0.0,3398.8619556128697,21321.706958245006,0.0,0.0,29681.97384445457
1,1,9,29.557999999999993,24.8301628768272,29.557999999999993,-5652.894,429.1642039533326,0.0,0.0,7408.0,16524.076998245004,0.0,0.0,29648.80679429167
1,1,10,29.56906756247584,24.8301628768272,29.56906756247584,-5652.894,-1038.9064966724945,0.0,0.0,7408.0,7959.524308245001,6434.586487806965,0.0,28986.91129272446
1,1,11,34.13163972286374,24.8301628768272,34.13163972286374,-5652.894,-2907.9537836946056,0.0,0.0,7408.0,5180.568648245,6940.97,0.0,28583.386431939605
1,1,12,34.13163972286374,24.8301628768272,34.13163972286374,-5652.894,-2065.354235436447,0.0,0.0,7408.0,4381.031938245,6940.97,0.0,29306.324541745245
1,1,13,34.13163972286374,24.8301628768272,34.13163972286374,-5652.894,1288.2909080975805,0.0,0.0,7408.0,3650.464780871749,6940.97,0.0,26244.85410105744
1,1,14,34.13163972286374,24.8301628768272,34.13163972286374,-5652.894,1641.3929392917726,0.0,0.0,7408.0,3574.3801058717495,6940.97,0.0,23535.766670026223
1,1,15,29.56906756247584,24.8301628768272,29.56906756247584,-5652.894,1810.4366350784985,0.0,0.0,7408.0,3756.983325871749,6091.781808842728,0.0,21592.22249963598
1,1,16,29.56906756247584,19.443872158,29.56906756247584,-5652.894,-377.9864847335284,0.0,0.0,7408.0,5384.226130871751,2488.8912455858263,0.0,21804.997861191106
1,1,17,29.558,0.0,29.558,-5652.894,-6336.015333758241,0.0,0.0,458.0546974929339,14039.027495871753,0.0,0.0,26978.991527122926
1,1,18,25.606812509104078,0.0,25.606812509104078,-5652.894,-8845.937390540854,0.0,0.0,0.0,23341.43853087175,0.0,0.0,30157.269921412608
1,1,19,0.0,0.0,0.0,-5652.894,-7250.216385735043,0.0,0.0,0.0,26025.404038654815,0.0,0.0,30752.514424389858
1,1,20,25.606812509104078,0.0,25.606812509104078,-5652.894,-5817.353629823778,0.0,0.0,0.0,26694.425980871754,0.0,0.0,30481.673610695532
1,1,21,25.606812509104078,22.452508265588914,25.606812509104078,-5652.894,-4762.564877779945,0.0,0.0,0.0,20887.13579087175,0.0,0.0,30309.979398392745
1,1,22,29.56906756247584,22.452508265588914,29.56906756247584,-5652.894,-2525.5250013447003,0.0,0.0,7408.0,10929.50515587175,0.0,0.0,29580.270463093897
1,1,23,29.56906756247584,22.452508265588914,29.56906756247584,-5652.894,-50.52117978252136,0.0,0.0,7408.0,7158.61592087175,3140.307288858934,0.0,28960.124118613323
1,1,24,29.56906756247584,22.452508265588914,29.56906756247584,-5652.894,-1514.3683297072748,0.0,0.0,7408.0,5628.666330871749,6940.97,0.0,29754.132106612553
1,1,25,29.56906756247584,22.452508265588914,29.56906756247584,-5652.894,-1204.1651598548833,0.0,0.0,7408.0,4731.536091167249,6940.97,0.0,26430.565251022133
1,1,26,29.56906756247584,22.452508265588914,29.56906756247584,-5652.894,766.161072585619,0.0,0.0,7408.0,3925.0385361672493,6940.97,0.0,23653.74146358163
1,1,27,29.56906756247584,19.443872158,29.56906756247584,-5652.894,936.5528759161461,0.0,0.0,7408.0,3544.6151611672494,5529.530710852546,0.0,21691.48699610365
