rep,t,b,pES,pFR,pPT,fFR,fPT,coal,peak,nuc,res,turb,shed,dem
1,1,1,90.264,24.78714138931618,90.264,-2800.0,-2540.3581122337355,1411.9618457605266,0.0,7408.0,2296.311843245,6940.97,0.0,23890.601801239263
1,1,2,87.35086711149353,24.78714138931618,87.35086711149353,-2800.0,-2233.930565519425,0.0,0.0,7408.0,1991.9731432449996,6591.315252144254,0.0,21518.218960908678
1,1,3,87.35086711149353,24.78714138931618,87.35086711149353,-2800.0,-2481.29149862073,0.0,0.0,7408.0,1702.8513782449998,4957.951585569166,0.0,19843.094462434896
1,1,4,87.35086711149353,0.0,62.48117116,-2800.0,-3000.0,0.0,0.0,7408.0,3281.691348245001,3615.2743488588058,0.0,20597.965697103806
1,1,5,87.35086711149353,0.0,26.10507842,-2800.0,-3000.0,0.0,0.0,7408.0,10980.658608245001,1374.634702764105,0.0,26056.293311009107
1,1,6,75.64585091855339,0.0,26.10507842,-2800.0,-3000.0,0.0,0.0,7408.0,18379.81906324501,0.0,0.0,29287.571453667497
1,1,7,75.64585091855339,0.0,26.10507842,-2800.0,-3000.0,0.0,0.0,7408.0,21850.820723245008,0.0,0.0,29784.901000838003
1,1,8,75.64585091855339,0.0,26.10507842,-2800.0,-3000.0,0.0,0.0,7408.0,21321.706958245006,0.0,0.0,29681.97384445457
1,1,9,75.64585091855339,24.78714138931618,62.48117116,-2800.0,-3000.0,0.0,0.0,7408.0,16524.076998245004,0.0,0.0,29648.80679429167
1,1,10,87.35086711149353,24.78714138931618,62.48117116,-2800.0,-3000.0,0.0,0.0,7408.0,7959.524308245001,6940.97,0.0,28986.91129272446
1,1,11,87.35086711149353,24.78714138931618,62.48117116,-2800.0,-3000.0,0.0,0.0,7408.0,5180.568648245,6940.97,0.0,28583.386431939605
1,1,12,87.35086711149353,24.78714138931618,62.48117116,-2800.0,-3000.0,0.0,0.0,7408.0,4381.031938245,6940.97,0.0,29306.324541745245
1,1,13,87.35086711149353,24.78714138931618,62.48117116,-2800.0,-3000.0,0.0,0.0,7408.0,3650.464780871749,6940.97,0.0,26244.85410105744
1,1,14,87.35086711149353,24.78714138931618,62.48117116,-2800.0,-3000.0,0.0,0.0,7408.0,3574.3801058717495,5824.935203669136,0.0,23535.766670026223
1,1,15,87.35086711149353,24.78714138931618,62.48117116,-2800.0,-3000.0,0.0,0.0,7408.0,3756.983325871749,4134.23917376423,0.0,21592.22249963598
1,1,16,87.35086711149353,16.838393288828,62.48117116,-2800.0,-3000.0,0.0,0.0,7408.0,5384.226130871751,0.0,0.0,21804.997861191106
1,1,17,75.64585091855339,0.0,0.0,-2800.0,-3000.0,0.0,0.0,7408.0,14039.027495871753,0.0,0.0,26978.991527122926
1,1,18,75.64585091855339,0.0,0.0,-2800.0,-3000.0,0.0,0.0,7408.0,23341.43853087175,0.0,0.0,30157.269921412608
1,1,19,29.558,0.0,0.0,-2800.0,-3000.0,0.0,0.0,5389.958438518101,27245.555985871757,0.0,0.0,30752.514424389858
1,1,20,29.558,0.0,0.0,-2800.0,-3000.0,0.0,0.0,5670.247629823778,26694.425980871754,0.0,0.0,30481.673610695532
1,1,21,75.64585091855339,19.443872158,0.0,-2800.0,-3000.0,0.0,0.0,7408.0,20887.13579087175,0.0,0.0,30309.979398392745
