date,hour,gen_id,fuel,technology,dispatch_mw
2024-07-08,14,LS_ES00275,LoadShed,LoadShed,0.0
2024-07-08,14,G0814,Gas,Combined_cycle,0.0
2024-07-08,14,LS_ES00194,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES01159,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES01142,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00886,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES01089,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00738,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00175,LoadShed,LoadShed,0.0
2024-07-08,14,G0530,Gas,Combined_cycle,0.0
2024-07-08,14,LS_ES00883,LoadShed,LoadShed,0.0
2024-07-08,14,G0746,Biomass,Biomass,0.0
2024-07-08,14,LS_ES00936,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES01201,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00842,LoadShed,LoadShed,0.0
2024-07-08,14,G0572,Wind,Onshore,0.0
2024-07-08,14,LS_ES00131,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES01011,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00583,LoadShed,LoadShed,0.0
2024-07-08,14,G0626,Wind,Onshore,0.0
2024-07-08,14,LS_ES00891,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00493,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00365,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00042,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00302,LoadShed,LoadShed,0.0
2024-07-08,14,G0262,Gas,Combined_cycle,0.0
2024-07-08,14,LS_ES00673,LoadShed,LoadShed,0.0
2024-07-08,14,G0369,Hydro,reservoir,0.0
2024-07-08,14,LS_ES01154,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00678,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00730,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00615,LoadShed,LoadShed,0.0
2024-07-08,14,G0811,Wind,Onshore,0.0
2024-07-08,14,LS_ES00101,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00389,LoadShed,LoadShed,0.0
2024-07-08,14,G0448,Gas,Combined_cycle,0.0
2024-07-08,14,LS_ES00881,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00648,LoadShed,LoadShed,0.0
2024-07-08,14,G0033,Wind,Onshore,0.0
2024-07-08,14,LS_ES01000,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00897,LoadShed,LoadShed,0.0
2024-07-08,14,G0840,Wind,Onshore,0.0
2024-07-08,14,G0416,Wind,Onshore,0.0
2024-07-08,14,G0477,Wind,Onshore,0.0
2024-07-08,14,LS_ES00445,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00381,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00931,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00712,LoadShed,LoadShed,0.0
2024-07-08,14,G0784,Wind,Onshore,0.0
2024-07-08,14,G0165,Wind,Onshore,0.0
2024-07-08,14,LS_ES01131,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00050,LoadShed,LoadShed,0.0
2024-07-08,14,G0463,Wind,Onshore,0.0
2024-07-08,14,LS_ES00354,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00729,LoadShed,LoadShed,0.0
2024-07-08,14,G0788,Gas,Combined_cycle,0.0
2024-07-08,14,G0736,Gas,Combined_cycle,0.0
2024-07-08,14,G0329,Gas,Combined_cycle,0.0
2024-07-08,14,G0508,Wind,Onshore,0.0
2024-07-08,14,LS_ES00466,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES01169,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES01037,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00028,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES01113,LoadShed,LoadShed,0.0
2024-07-08,14,G0039,Coal,Coal,0.0
2024-07-08,14,LS_ES00900,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES01063,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES01162,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES01244,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00919,LoadShed,LoadShed,0.0
2024-07-08,14,G0113,Gas,Combined_cycle,0.0
2024-07-08,14,G0161,Hydro,reservoir,0.0
2024-07-08,14,LS_ES00473,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00822,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00025,LoadShed,LoadShed,0.0
2024-07-08,14,G0167,Wind,Onshore,0.0
2024-07-08,14,G0220,Wind,Onshore,0.0
2024-07-08,14,LS_ES00239,LoadShed,LoadShed,0.0
2024-07-08,14,G0286,Gas,Combined_cycle,0.0
2024-07-08,14,LS_ES00221,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00765,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00896,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES01060,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00292,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00710,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES01014,LoadShed,LoadShed,0.0
2024-07-08,14,G0807,Wind,Onshore,0.0
2024-07-08,14,G0852,Wind,Onshore,0.0
2024-07-08,14,G0383,Wind,Onshore,0.0
2024-07-08,14,LS_ES00975,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00211,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00884,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00492,LoadShed,LoadShed,0.0
2024-07-08,14,G0674,Hydro,reservoir,0.0
2024-07-08,14,LS_ES00565,LoadShed,LoadShed,0.0
2024-07-08,14,G0110,Gas,Gas_turbine,0.0
2024-07-08,14,LS_ES00816,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00753,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00953,LoadShed,LoadShed,0.0
2024-07-08,14,G0713,Wind,Onshore,0.0
2024-07-08,14,G0670,Wind,Onshore,0.0
2024-07-08,14,LS_ES00087,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES01259,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00860,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00803,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00261,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES00024,LoadShed,LoadShed,0.0
2024-07-08,14,LS_ES01114,LoadShed,LoadShed,0.0
