date,hour,load_mw,solar_mw,wind_mw
2024-07-08,0,23938.634992460036,638.2019492115325,5390.757901033671
2024-07-08,1,23117.15827195188,839.3493116722444,5882.707035453542
2024-07-08,2,21865.954715976135,730.073047732615,6073.108435180691
2024-07-08,3,21485.420278219666,873.560104099143,5627.784513379362
2024-07-08,4,21323.9037906697,953.3517296523391,5316.900248535692
2024-07-08,5,21426.907234497936,1277.5590502866305,5211.519703851236
2024-07-08,6,23456.909699844706,747.5957348444535,5293.86180417965
2024-07-08,7,26066.798525256938,2242.9273486857255,4986.326742824295
2024-07-08,8,28369.845737753545,7924.636446705682,4336.115681188384
2024-07-08,9,31386.50067326292,15158.80603888786,4246.388615453107
2024-07-08,10,34258.594975481166,20763.494753338553,3737.7976101842623
2024-07-08,11,36662.29669625249,22111.631682205032,3512.7215979675166
2024-07-08,12,37663.58227423102,22169.425783891213,4416.965479945503
2024-07-08,13,38096.21793165747,22341.259503399608,5236.868626730756
2024-07-08,14,39214.1773165803,22575.230000734682,6138.762903631376
2024-07-08,15,39423.96449859293,22852.80545909429,7004.367096611735
2024-07-08,16,39038.81764953042,22317.46911960515,6892.083023275646
2024-07-08,17,38025.794411398514,20920.01593737141,7077.704828383279
2024-07-08,18,36621.85760006236,18631.89425452056,8926.483651297234
2024-07-08,19,34912.21116870432,17794.04574183901,9797.878511947363
2024-07-08,20,32865.38227655065,5002.999079742681,9369.821181582107
2024-07-08,21,30868.679695671057,2523.9969655335567,9153.54180719633
2024-07-08,22,30440.71896341452,901.1775193177173,9073.339066847528
2024-07-08,23,28901.708732904935,1132.8181906380782,9066.39943934052
2024-12-02,0,23387.507006564203,0.0,4160.639972297993
2024-12-02,1,22117.67220296676,0.0,4389.631982787114
2024-12-02,2,21915.61738247011,0.0,3854.2229604861773
2024-12-02,3,21524.060374321747,0.0,3922.381187185551
2024-12-02,4,21367.51473472833,0.0,4439.2867238562285
2024-12-02,5,21803.976479283625,0.0,5036.61529134765
2024-12-02,6,23980.1932467587,0.0,5768.233296873519
2024-12-02,7,27106.31998984195,0.0,4735.931251245233
2024-12-02,8,29631.444697330284,1640.3901624103885,4077.385338553401
2024-12-02,9,31553.249131629418,4434.649992895699,3391.1782579443466
2024-12-02,10,32370.85630159364,8697.289772710848,4069.742340229155
2024-12-02,11,32316.780462669405,12048.347474766739,2529.565116155238
2024-12-02,12,33126.880621439486,12499.21631125356,2175.239836029337
2024-12-02,13,32995.82622850692,12008.668515777861,2259.549557804896
2024-12-02,14,32915.42131542955,10895.930283506515,2410.6409897098774
2024-12-02,15,32666.49806470605,8511.986377706142,2676.505569517878
2024-12-02,16,31062.807846117856,3477.3913383980303,2771.3533716251663
2024-12-02,17,31741.02068287088,0.0,3582.53735088419
2024-12-02,18,32990.26575555712,0.0,4622.693176719628
2024-12-02,19,33491.94842730819,0.0,5210.909212702914
2024-12-02,20,33940.348066753395,0.0,4741.809475379157
2024-12-02,21,33745.22085222116,0.0,4593.581887423124
2024-12-02,22,31429.501463258348,0.0,3757.052129952291
2024-12-02,23,28515.19960757205,0.0,4270.6020995045255
