date,hour,branch_id,branch_name,from_bus,to_bus,flow_mw,flow_mvar,limit_mw,loading_pct
2024-07-08,0,550,LTGES0381b,817,815,-1.43,-0.1,135.35,1.1
2024-07-08,0,341,LTGES0236a,257,757,-1.44,-5.79,135.35,4.4
2024-07-08,0,664,LTGES0459a,387,896,0.22,-12.1,1429.98,0.8
2024-07-08,0,912,LTGES0615a,466,266,-75.04,66.88,393.24,25.6
2024-07-08,0,1748,LTGES1150b,968,526,-11.01,-8.06,393.24,3.5
2024-07-08,0,1966,LTGES1291,1169,1168,-3.24,-5.54,1429.98,0.4
2024-07-08,0,2321,TR_23eddb22,757,758,-2.79,1.4,160.0,2.0
2024-07-08,0,1598,LTGES1052b,467,479,161.32,-17.55,393.24,41.3
2024-07-08,0,2049,LTGES1353,666,406,-95.05,9.51,1429.98,6.7
2024-07-08,0,2275,TR_7644f0c2,97,98,-105.82,7.14,384.0,27.6
2024-07-08,0,2239,TR_9925636e,192,193,-158.6,-1.52,384.0,41.3
2024-07-08,0,1685,LTGES1113a,301,625,0.19,-1.68,393.24,0.4
2024-07-08,0,1990,LTGES1311,470,626,71.19,-21.25,393.24,18.9
2024-07-08,0,598,LTGES0414,345,1064,-215.23,-3.43,1429.98,15.1
2024-07-08,0,1318,LTGES0868a,527,558,11.07,-0.48,393.24,2.8
2024-07-08,0,643,LTGES0445b,369,371,-9.3,-0.74,393.24,2.4
2024-07-08,0,1052,LTGES0695a,923,922,16.84,-0.18,393.24,4.3
2024-07-08,0,14,LTGES0009b,14,17,-109.07,-72.07,1429.98,9.1
2024-07-08,0,167,LTGES0124a,160,714,62.19,1.68,1429.98,4.4
2024-07-08,0,1121,LTGES0741a,511,937,-20.06,-2.79,393.24,5.2
2024-07-08,0,613,LTGES0427,359,75,-270.01,11.26,1429.98,18.9
2024-07-08,0,1556,LTGES1023,96,575,61.02,-13.99,393.24,15.9
2024-07-08,0,96,LTGES0066a,44,38,-60.4,6.23,393.24,15.4
2024-07-08,0,2334,TR_9e433286,366,367,65.57,-48.56,160.0,51.0
