Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
ES111,Bio,2020-2025,5.929567975117016e-07,143.5090005929568,0.11004064260493511,0.7429093883667204,138.33636636880678
ES111,Bio,2025-2030,6.887330337770489e-07,120.4712560026407,0.13630309838230775,0.35571255192493306,143.8445038223123
ES111,BioCCS,2020-2025,0.0004263454873338148,0.0004263454873338148,0.6673089819599594,452.4756875046811,0.0024922565564957197
ES111,BioCCS,2025-2030,3.894591255395261e-07,0.0004266670704003747,0.7458411854702931,-0.025207104351530216,0.0027876586526357065
ES111,Coal,2020-2025,0.0,816.762,0.041764321624836745,0.0,298.8168351243583
ES111,Coal,2025-2030,3.452425310446783e-09,646.9291877526773,0.004335008029415622,0.0016159215794745252,24.566922636731643
ES111,CoalCCS,2020-2025,0.0,0.0,0,0.0,0.0
ES111,CoalCCS,2025-2030,1.3151201275438277e-07,1.315120141933067e-07,0.8169116959169093,0.14767449691708154,9.411192343213813e-07
ES111,GasCCGT,2020-2025,4.195774412405844e-07,1129.2600004195774,0.11019527764177434,0.4224445262385167,1090.086684857626
ES111,GasCCGT,2025-2030,9.976742473241897e-06,946.032028358321,0.08475661031953323,4.28653738375103,702.3984194817091
ES111,GasCCS,2020-2025,3.074937990775121e-05,3.074937990775121e-05,0.4030712318733229,61.83988586888653,0.0001085731082435204
ES111,GasCCS,2025-2030,2.23282791173943e-08,3.061191532443924e-05,0.40127865939844726,0.020252118089053615,0.00010760703708476557
ES111,GasOCGT,2020-2025,2.661717025747551e-06,214.06000266171702,2.2150842776502088e-07,2.040491582894746,0.00041536498901988486
ES111,GasOCGT,2025-2030,1.668600356937458e-06,183.20732605271718,0.0006230659463462613,0.5524031349789047,0.9999561548251344
ES111,Hydroregulated,2020-2025,7.706377118665841e-07,334.0940007706377,0.2843042905215404,0.8524983960019478,832.0629748238089
ES111,Hydroregulated,2025-2030,4.848388367810652e-08,334.0940006833704,0.2733763778455103,0.02356214002823866,800.0806520366077
ES111,Hydrorun-of-the-river,2020-2025,0.0,0.0,0,0.0,0.0
ES111,Hydrorun-of-the-river,2025-2030,0.0,0.0,0,0.0,0.0
ES111,Lignite,2020-2025,0.00011112702140613767,0.00011112702140613767,0.2259294932853509,133.8704074081445,0.0002199361955366081
ES111,Lignite,2025-2030,1.9042720766454958e-05,0.0001301018661131586,0.15118973579900238,9.90828162574077,0.00017230978485794585
ES111,Oil,2020-2025,1.0967771833936526e-06,249.0970010967772,3.9323056572107015e-08,5.494668768803278,8.580643788277982e-05
ES111,Oil,2025-2030,8.169791815218449e-06,196.36182085517768,3.65831695354069e-05,17.975316985780847,0.06292779097580518
ES111,Solar,2020-2025,0.0,0.0,0,0.0,0.0
ES111,Solar,2025-2030,0.0,0.0,0,0.0,0.0
ES111,Waste,2020-2025,2.7467760028870424e-08,110.73000002746777,0.8591900057637775,0.04792415530269985,833.4098380095713
ES111,Waste,2025-2030,3.203472483446069e-05,110.7300319264405,0.6248921682224083,23.508566279512966,606.1423285035632
ES111,Windonshore,2020-2025,1570.7619872938747,3203.6489872938746,0.3770198346126911,1204575593.737603,10580.671491396672
ES111,Windonshore,2025-2030,325.77212169887855,3203.6489877275317,0.4308413891076107,107374499.24212144,12091.117721550963
ES112,BioCCS,2020-2025,0.0006362712652531702,0.0006362712652531702,0.6827049421350989,675.2675628990232,0.0038052173069835615
ES112,BioCCS,2025-2030,3.6168360476144047e-07,0.0006365650727978607,0.7697439305983127,-0.023409379238011868,0.004292330806661117
ES112,CoalCCS,2020-2025,0.0,0.0,0,0.0,0.0
ES112,CoalCCS,2025-2030,0.0,0.0,0,0.0,0.0
ES112,GasCCS,2020-2025,3.090633287481474e-05,3.090633287481474e-05,0.4043110824620908,62.15553300060462,0.0001094629706000583
ES112,GasCCS,2025-2030,2.2438691791204348e-08,3.0769254390850646e-05,0.40223036718083705,0.020352264208545075,0.00010841663758564898
ES112,GasOCGT,2020-2025,1.4494132179884728e-07,98.87900014494133,4.998422601005633e-07,0.11111306885115782,0.00043295338948223723
ES112,GasOCGT,2025-2030,8.121575685068003e-07,84.62747342636514,0.0006944337585305381,0.26887108412431965,0.5148092081505856
ES112,Hydroregulated,2020-2025,2.6803051014212542e-06,461.2390026803051,0.2295876230614922,2.9650194437318658,927.638152688351
ES112,Hydroregulated,2025-2030,1.1288742890654849e-06,461.23900367342725,0.2295807422079954,0.5486089821069816,927.610352915927
ES112,Hydrorun-of-the-river,2020-2025,2.5559882902807933,7.650988290280793,0.42570762191747413,2098453.5575569733,28.53205610607521
ES112,Hydrorun-of-the-river,2025-2030,3.405449806553581e-06,7.650991559978483,0.42612219359055087,1.2090612307257593,28.559854006523892
ES112,Lignite,2020-2025,0.00011173336404964535,0.00011173336404964535,0.22833586040207055,134.60084484530614,0.00022349154822722648
ES112,Lignite,2025-2030,1.8773848673816825e-05,0.00013043933666486614,0.15231391009940926,9.768382477513287,0.00017404127448822362
ES112,Solar,2020-2025,1.7773273497390107e-07,1.438000177732735,0.13665684071330614,0.058924890879372735,1.7214500364109626
ES112,Solar,2025-2030,5.216914032139964e-06,1.3853273581245253,0.13356930469442194,0.6938791513643621,1.620925977109951
ES112,Waste,2020-2025,0.0007465108432475932,0.0007465108432475932,0.8006676927558306,1302.4688416290317,0.005235914322847075
ES112,Waste,2025-2030,1.9690324573142073e-06,0.0007483441235874872,0.639444139962868,1.4449673055873657,0.004191872557052125
ES112,Windonshore,2020-2025,2601.491889001168,4127.609889001168,0.2687942464477652,1995014943.1588302,9719.025438161025
ES112,Windonshore,2025-2030,304.47102700525625,4127.609940232219,0.3230543162621654,100353657.91257751,11680.953733658436
ES113,BioCCS,2020-2025,0.0005215721114203328,0.0005215721114203328,0.676489215277046,553.5386364096868,0.003090860077278555
ES113,BioCCS,2025-2030,4.458876733194382e-07,0.0005219501230356617,0.7588401889038533,-0.02885934973241087,0.003469632154473879
ES113,CoalCCS,2020-2025,0.0,0.0,0,0.0,0.0
ES113,CoalCCS,2025-2030,0.0,0.0,0,0.0,0.0
ES113,GasCCS,2020-2025,3.080053194122003e-05,3.080053194122003e-05,0.40284564923309235,61.942757403895136,0.00010869285611048869
ES113,GasCCS,2025-2030,2.2464030719608776e-08,3.066372862909449e-05,0.40124476343844034,0.02037524703528235,0.00010778006632971318
ES113,GasOCGT,2020-2025,8.628854407919493e-07,145.07000086288542,3.360902331621735e-07,0.6614942392097051,0.0004271079072340319
ES113,GasOCGT,2025-2030,5.519397466414279e-07,124.16091965076731,0.0006213417586794392,0.18272394890516921,0.6758021501735627
ES113,Hydroregulated,2020-2025,1.0240728443022817e-06,2625.411001024073,0.018455643713328862,1.132854574482579,424.45397431495763
ES113,Hydroregulated,2025-2030,1.9038734462214668e-06,2625.411002792194,0.01919694725298829,0.925242149200442,441.5029184730298
ES113,Hydrorun-of-the-river,2020-2025,1.966257173080521e-06,506.9370019662572,0.11973519502212482,1.61428727025563,531.7162389586032
ES113,Hydrorun-of-the-river,2025-2030,9.603046404466249e-06,506.93701143355145,0.11589600476368452,3.409438330923718,514.6672947978406
ES113,Lignite,2020-2025,0.00011155679622722462,0.00011155679622722462,0.2276302975780107,134.38814044611013,0.0002224488708851819
ES113,Lignite,2025-2030,1.8782453923377053e-05,0.0001302713740919148,0.15170896518595534,9.772859948834125,0.00017312681772589062
ES113,Solar,2020-2025,0.0,0.0,0,0.0,0.0
ES113,Solar,2025-2030,0.0,0.0,0,0.0,0.0
ES113,Waste,2020-2025,0.0006202384420122567,0.0006202384420122567,0.7894462916055881,1082.1560763767297,0.004289289656510361
ES113,Waste,2025-2030,1.800683398649234e-06,0.0006219033732932718,0.6354784413023659,1.3214249613290567,0.0034620061919975608
ES113,Windonshore,2020-2025,0.0,526.555,0.1619152654480419,0.0,746.8538831584266
ES113,Windonshore,2025-2030,0.0,421.5036773874219,0.18646612803556153,0.0,688.5023499946002
ES114,BioCCS,2020-2025,0.0007378442513940877,0.0007378442513940877,0.687816861047378,783.0658347264682,0.004445715040357028
ES114,BioCCS,2025-2030,8.8092939888491e-07,0.0007386573047341343,0.7771795565818921,-0.05701671325138603,0.005028847563459052
ES114,CoalCCS,2020-2025,0.0,0.0,0,0.0,0.0
ES114,CoalCCS,2025-2030,0.0,0.0,0,0.0,0.0
ES114,GasCCS,2020-2025,3.09478395038128e-05,3.09478395038128e-05,0.40475297074491917,62.23900672292822,0.00010972977460119412
ES114,GasCCS,2025-2030,2.2425530080956912e-08,3.081079720000001e-05,0.4024314604569152,0.020340326319880055,0.00010861729084773224
ES114,GasOCGT,2020-2025,2.3545734120712434e-07,28.117000235457343,1.7691008821066793e-06,0.1805033060300533,0.0004357382548881749
ES114,GasOCGT,2025-2030,9.977916424340722e-07,24.064470317840396,0.0006691113252878856,0.33032668909886315,0.14105185233007753
ES114,Lignite,2020-2025,0.00011192539249391592,0.00011192539249391592,0.22912013183115135,134.8321740552784,0.00022464459958710504
ES114,Lignite,2025-2030,1.8663788743801572e-05,0.00013052130517896902,0.15265613953302481,9.711116249873092,0.00017454193632079513
ES114,Solar,2020-2025,1.9472884371651844e-06,8.630001947288438,0.1418730579862633,0.6455972147588466,10.725435356197545
ES114,Solar,2025-2030,6.566355504581739e-06,8.313869744610558,0.1391399199486841,0.8733625198740183,10.133490655585174
ES114,Waste,2020-2025,0.0008695722169774149,0.0008695722169774149,0.8089880591280024,1517.1791922434531,0.006162428211137565
ES114,Waste,2025-2030,1.804105492947574e-06,0.0008712405703526453,0.6408186286079695,1.323936252780536,0.004890770962333627
ES114,Windonshore,2020-2025,2.540168338782678e-06,519.6140025401684,0.23808864274227248,1.947987543392302,1083.736327304493
ES114,Windonshore,2025-2030,281.7084818594003,697.655938200338,0.2825219411182605,92851122.47840172,1726.623242663044
