Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
ES425,Windonshore,2025-2030,11.019084226519292
ES431,Windonshore,2020-2025,1.2053967342205856
ES431,Windonshore,2025-2030,1.871505451490313
ES432,Windonshore,2020-2025,3.6088440338306063
ES432,Windonshore,2025-2030,8.395918267682342
ES511,Windonshore,2020-2025,0.01461712529075595
ES511,Windonshore,2025-2030,0.016778698702273755
ES512,Windonshore,2020-2025,0.00017644222172959062
ES512,Windonshore,2025-2030,0.0002557037896003728
ES513,Windonshore,2020-2025,0.06389208728130004
ES513,Windonshore,2025-2030,0.027359551768317388
ES514,Windonshore,2020-2025,0.07030573519818742
ES514,Windonshore,2025-2030,0.04581476526609245
ES521,Windonshore,2020-2025,5.1765104885843405
ES521,Windonshore,2025-2030,6.011754411801251
ES522,Windonshore,2020-2025,31.34231803616085
ES522,Windonshore,2025-2030,12.185995667936456
ES523,Windonshore,2020-2025,14.048972938189545
ES523,Windonshore,2025-2030,17.201406786346315
ES532,Windonshore,2020-2025,0.0005135875537834812
ES532,Windonshore,2025-2030,0.0011041010291918088
ES611,Windonshore,2020-2025,52.9751795783177
ES611,Windonshore,2025-2030,72.22583812851778
ES612,Windonshore,2020-2025,315.9748349582829
ES612,Windonshore,2025-2030,701.4217428441652
ES613,Windonshore,2020-2025,0.00017543299335861845
ES613,Windonshore,2025-2030,0.0002870491684916818
ES614,Windonshore,2020-2025,29.66067027097134
ES614,Windonshore,2025-2030,55.932608004434194
ES615,Windonshore,2020-2025,17.23715203007172
ES615,Windonshore,2025-2030,350.9023460381935
ES616,Windonshore,2020-2025,9.98706203388496e-05
ES616,Windonshore,2025-2030,0.00016767984021120406
ES617,Windonshore,2020-2025,24.773386436432645
ES617,Windonshore,2025-2030,69.71859267765808
ES618,Windonshore,2020-2025,6.737312198866547
ES618,Windonshore,2025-2030,18.50836737780782
ES620,Windonshore,2020-2025,26.15501455009684
ES620,Windonshore,2025-2030,30.09588229242539
EU,Windonshore,2020-2025,1273.0231222978957
EU,Windonshore,2025-2030,2442.2972107369105
France,Windonshore,2020-2025,0.0004990760452886514
France,Windonshore,2025-2030,0.0015350201817730176
Italy,Windonshore,2020-2025,1297.4789064468284
Italy,Windonshore,2025-2030,1642.2309966508742
Portugal,Windonshore,2020-2025,490.2695544503304
Portugal,Windonshore,2025-2030,2461.7381575715253
ES111,Solar,2020-2025,0.0
ES111,Solar,2025-2030,0.0
ES112,Solar,2020-2025,0.0016930803809772177
ES112,Solar,2025-2030,0.0034292760581443238
ES113,Solar,2020-2025,0.0
ES113,Solar,2025-2030,0.0
ES114,Solar,2020-2025,0.0019120678555075129
ES114,Solar,2025-2030,0.0042743983485930784
ES120,Solar,2020-2025,0.00024226431133598811
ES120,Solar,2025-2030,0.0004426513187441412
