Period,genInstalledCap_MW
,Lignite,LigniteCCS,Coal,CoalCCS,GasOCGT,GasCCGT,GasCCS,Oil,Nuclear,Wave,Geo,Hydroregulated,Hydrorun-of-the-river,Bio,Windonshore,Windoffshoregrounded,Windoffshorefloating,Solar,BioCCS,Waste
Initial,52316.56,0.0,61704.909999999996,0.0,42023.587,184781.344,0.0,14774.309,103746.79999999999,251.09,953.8,96552.03899999999,59624.759,32864.97,217423.16999999998,45085.9,0.0,216154.15899999999,0.0,6831.319
2020-2025,52316.565261612894,2.7120143765953702e-05,61704.909999999996,0.0,42023.587051518836,184781.34404148837,0.001592398406509642,14774.30903317953,103746.80025604025,251.09026246262457,2042.0999913257835,96552.03902401321,74401.36856182796,32864.97001838141,433883.58109269815,45085.900067859744,0.00025301268742809486,436751.5960031053,2251.8833485095397,7129.16801263631
2025-2030,32369.456894352053,3.299340141507482e-05,48874.34443034891,8.545185351903376e-07,35966.68624209279,154799.6634186084,0.0015857040658918949,11646.507590334726,95494.48546254648,2307.0899950722064,2042.0999912216078,96583.30918885823,74432.59935094559,86429.10257680416,427730.5039125805,181455.3405584412,0.0004045873767548751,574906.9541058202,8167.114146239107,7129.169933582185
""
Period,genExpectedAnnualProduction_GWh
,Lignite,LigniteCCS,Coal,CoalCCS,GasOCGT,GasCCGT,GasCCS,Oil,Nuclear,Wave,Geo,Hydroregulated,Hydrorun-of-the-river,Bio,Windonshore,Windoffshoregrounded,Windoffshorefloating,Solar,BioCCS,Waste
2020-2025,1778.2915987496763,0.00010075247258961263,24742.197115164956,0.0,2586.1504519364485,450766.3772381524,0.005639468220948463,0.0005689984393513305,689630.0106664869,1011.7904848073202,15887.681442921375,224116.59186315056,289863.8394595952,53394.2095939898,908741.780775944,143148.16775133487,0.0006314322937195912,521789.9156434393,15433.839201213255,53840.058310797525
2025-2030,162.81775210496457,0.0001179982520027792,2799.1813310945054,6.356483125909535e-06,1252.1667875266526,270239.21081908734,0.005589274901868572,12.492012279490195,559212.9824164765,9296.638715170244,15961.851571795125,224070.97654468362,294168.0305476605,161159.66760557957,884582.9380709762,562645.701500164,0.0009957141095550284,711654.3748670929,61242.24492389934,40306.29715959006
""
Period,storPWInstalledCap_MW
,HydroPumpStorage,Li-Ion_BESS
2020-2025,61047.00012398914,0.0782996027575375
2025-2030,61047.00043976611,9940.833411878888
""
Period,storENInstalledCap_MW
,HydroPumpStorage,Li-Ion_BESS
2020-2025,2604873.3947733305,0.156599205515075
2025-2030,2604873.3952173297,19881.666823757776
""
Period,storExpectedAnnualDischarge_GWh
,HydroPumpStorage,Li-Ion_BESS
2020-2025,94402.09304553742,0.27247162637858713
2025-2030,119622.21527450104,7515.321622514371
