Node	Storage	Period	storENInvCap
ES514	HydroPumpStorage	2	0.0
ES514	Li-Ion_BESS	1	0.0030293172935195126
ES514	Li-Ion_BESS	2	0.031157375424017836
ES521	HydroPumpStorage	1	0.0
ES521	HydroPumpStorage	2	0.0
ES521	Li-Ion_BESS	1	0.0031799622919238754
ES521	Li-Ion_BESS	2	0.08257172878475197
ES522	HydroPumpStorage	1	0.0
ES522	HydroPumpStorage	2	0.0
ES522	Li-Ion_BESS	1	0.003088935599990546
ES522	Li-Ion_BESS	2	0.0404954700517328
ES523	HydroPumpStorage	1	2.8636641379968275e-07
ES523	HydroPumpStorage	2	1.6414775234398098e-07
ES523	Li-Ion_BESS	1	0.00306148237101366
ES523	Li-Ion_BESS	2	0.02995679056884699
ES532	HydroPumpStorage	1	0.0
ES532	HydroPumpStorage	2	0.0
ES532	Li-Ion_BESS	1	0.0031635642783398896
ES532	Li-Ion_BESS	2	0.051857634329618804
ES611	HydroPumpStorage	1	0.0
ES611	HydroPumpStorage	2	0.0
ES611	Li-Ion_BESS	1	0.0033388120269036794
ES611	Li-Ion_BESS	2	756.9227488621433
ES612	HydroPumpStorage	1	0.0
ES612	HydroPumpStorage	2	0.0
ES612	Li-Ion_BESS	1	0.003151749947378457
ES612	Li-Ion_BESS	2	0.03530920350561312
ES613	HydroPumpStorage	1	0.0
ES613	HydroPumpStorage	2	0.0
ES613	Li-Ion_BESS	1	0.0032678058092986666
ES613	Li-Ion_BESS	2	0.19070490314152627
ES614	HydroPumpStorage	1	0.0
ES614	HydroPumpStorage	2	0.0
ES614	Li-Ion_BESS	1	0.00332114711911995
ES614	Li-Ion_BESS	2	244.65451839355276
ES615	HydroPumpStorage	1	0.0
ES615	HydroPumpStorage	2	0.0
ES615	Li-Ion_BESS	1	0.0031155340041160505
ES615	Li-Ion_BESS	2	0.02875507026159339
ES616	HydroPumpStorage	1	0.0
ES616	HydroPumpStorage	2	0.0
ES616	Li-Ion_BESS	1	0.0031982047758092776
ES616	Li-Ion_BESS	2	0.08835093643416804
ES617	HydroPumpStorage	1	8.776257049297895e-06
ES617	HydroPumpStorage	2	1.7425887248481225e-06
ES617	Li-Ion_BESS	1	0.003186485665915747
ES617	Li-Ion_BESS	2	0.05213985175611747
ES618	HydroPumpStorage	1	1.0858202585950494e-06
ES618	HydroPumpStorage	2	8.865961429533058e-07
ES618	Li-Ion_BESS	1	0.003210356350351346
ES618	Li-Ion_BESS	2	0.05463505912312783
ES620	HydroPumpStorage	1	0.0
ES620	HydroPumpStorage	2	0.0
ES620	Li-Ion_BESS	1	0.0032100122421194607
ES620	Li-Ion_BESS	2	0.0666980810497492
EU	HydroPumpStorage	1	3.771856427192688e-07
EU	HydroPumpStorage	2	0.0002112540474087821
EU	Li-Ion_BESS	1	0.0028547077904505875
EU	Li-Ion_BESS	2	6833.821202337571
France	HydroPumpStorage	1	1.3524375390261412e-05
France	HydroPumpStorage	2	8.873564208653886e-06
France	Li-Ion_BESS	1	0.0024299045350187187
France	Li-Ion_BESS	2	0.02149947100641841
Italy	HydroPumpStorage	1	3862.5997112212935
Italy	HydroPumpStorage	2	0.0001642133644311269
Italy	Li-Ion_BESS	1	0.002954416707900276
Italy	Li-Ion_BESS	2	12043.445178969978
Portugal	HydroPumpStorage	1	1.2406802852638066e-05
Portugal	HydroPumpStorage	2	6.682258263485749e-07
Portugal	Li-Ion_BESS	1	0.0029070645862603905
Portugal	Li-Ion_BESS	2	0.017288917205975158
