FromNode	ToNode	Period	transmissionInstalledCap
ES612	ES618	2	9116.130306952893
ES613	ES614	1	0.002977339889283736
ES613	ES614	2	0.003767054345088689
ES613	ES616	1	6345.541411887337
ES613	ES616	2	6345.541528984949
ES613	ES617	1	1787.4764336851247
ES613	ES617	2	1787.4764373201174
ES613	ES618	1	4066.508906891557
ES613	ES618	2	4066.50892572675
ES614	ES616	1	491.55601952024466
ES614	ES616	2	491.55603135596397
ES614	ES617	1	2770.588612361499
ES614	ES617	2	2770.5886124816006
ES614	ES620	1	0.0035296375119007167
ES614	ES620	2	0.004272563590607789
ES615	ES618	1	9466.129998773482
ES615	ES618	2	9466.13028108956
ES615	Portugal	1	1787.47643341108
ES615	Portugal	2	1787.47643341108
ES617	ES618	1	983.1120471391646
ES617	ES618	2	983.1120496236534
EU	France	1	12200.0
EU	France	2	13900.0
EU	Italy	1	6300.0
EU	Italy	2	7899.999928142507
France	Italy	1	5100.0
France	Italy	2	6300.0
ES113	ES111	1	1513.0000001686453
ES113	ES111	2	1513.0001148728877
ES422	ES432	1	2140.000016553737
ES422	ES432	2	2140.0000385298385
ES618	ES422	1	1920.0000025083464
ES618	ES422	2	1920.0000106987338
ES213	France	1	0.0
ES213	France	2	2000.0
ES511	Italy	1	0.0
ES511	Italy	2	2000.0
ES523	Italy	1	0.0
ES523	Italy	2	2000.0
