Node	Storage	Period	storPWInstalledCap
ES514	Li-Ion_BESS	1	0.0015146586467597563
ES514	Li-Ion_BESS	2	0.017093278482709754
ES521	HydroPumpStorage	1	0.0
ES521	HydroPumpStorage	2	0.0
ES521	Li-Ion_BESS	1	0.0015899811459619377
ES521	Li-Ion_BESS	2	0.04287577766227875
ES522	HydroPumpStorage	1	0.0
ES522	HydroPumpStorage	2	0.0
ES522	Li-Ion_BESS	1	0.001544467799995273
ES522	Li-Ion_BESS	2	0.02179213494980246
ES523	HydroPumpStorage	1	2301.000022361821
ES523	HydroPumpStorage	2	2301.0000324634825
ES523	Li-Ion_BESS	1	0.00153074118550683
ES523	Li-Ion_BESS	2	0.016509068593871377
ES532	HydroPumpStorage	1	0.0
ES532	HydroPumpStorage	2	0.0
ES532	Li-Ion_BESS	1	0.0015817821391699448
ES532	Li-Ion_BESS	2	0.027510531427920648
ES611	HydroPumpStorage	1	0.0
ES611	HydroPumpStorage	2	0.0
ES611	Li-Ion_BESS	1	0.0016694060134518397
ES611	Li-Ion_BESS	2	378.463043769209
ES612	HydroPumpStorage	1	0.0
ES612	HydroPumpStorage	2	0.0
ES612	Li-Ion_BESS	1	0.0015758749736892285
ES612	Li-Ion_BESS	2	0.019230408850437468
ES613	HydroPumpStorage	1	0.0
ES613	HydroPumpStorage	2	0.0
ES613	Li-Ion_BESS	1	0.0016339029046493333
ES613	Li-Ion_BESS	2	0.0969862865993542
ES614	HydroPumpStorage	1	0.0
ES614	HydroPumpStorage	2	0.0
ES614	Li-Ion_BESS	1	0.001660573559559975
ES614	Li-Ion_BESS	2	122.32891970245987
ES615	HydroPumpStorage	1	0.0
ES615	HydroPumpStorage	2	0.0
ES615	Li-Ion_BESS	1	0.0015577670020580252
ES615	Li-Ion_BESS	2	0.015935234256795782
ES616	HydroPumpStorage	1	0.0
ES616	HydroPumpStorage	2	0.0
ES616	Li-Ion_BESS	1	0.0015991023879046388
ES616	Li-Ion_BESS	2	0.04577450272892902
ES617	HydroPumpStorage	1	572.0000142579083
ES617	HydroPumpStorage	2	572.0000547641064
ES617	Li-Ion_BESS	1	0.0015932428329578736
ES617	Li-Ion_BESS	2	0.027663100834957478
ES618	HydroPumpStorage	1	314.00000090192697
ES618	HydroPumpStorage	2	314.0000237772222
ES618	Li-Ion_BESS	1	0.001605178175175673
ES618	Li-Ion_BESS	2	0.02892263986068099
ES620	HydroPumpStorage	1	0.0
ES620	HydroPumpStorage	2	0.0
ES620	Li-Ion_BESS	1	0.0016050061210597304
ES620	Li-Ion_BESS	2	0.03495397876987574
EU	HydroPumpStorage	1	37739.000002888075
EU	HydroPumpStorage	2	37739.000025106725
EU	Li-Ion_BESS	1	0.0014273538952252938
EU	Li-Ion_BESS	2	3416.9120284548044
France	HydroPumpStorage	1	5049.000000015518
France	HydroPumpStorage	2	5049.000003849188
France	Li-Ion_BESS	1	0.0012149522675093593
France	Li-Ion_BESS	2	0.011964619894648604
Italy	HydroPumpStorage	1	7256.000000900729
Italy	HydroPumpStorage	2	7256.000001689728
Italy	Li-Ion_BESS	1	0.001477208353950138
Italy	Li-Ion_BESS	2	6021.724066625468
Portugal	HydroPumpStorage	1	2827.0000005675115
Portugal	HydroPumpStorage	2	2827.000054415303
Portugal	Li-Ion_BESS	1	0.0014535322931301952
Portugal	Li-Ion_BESS	2	0.01009792302005079
