Generator,Period,MarginalCost_EurperMWh
Lignite,1,15.04295411567328
Lignite,2,14.110752562743603
Lignite,3,13.4549969788512
LigniteCCS,1,35.5917781536408
LigniteCCS,2,34.07240394416088
LigniteCCS,3,33.1362301183983
Coal,1,29.84484794765867
Coal,2,17.884606128521114
Coal,3,16.2609317245058
CoalCCS,1,46.03090587698231
CoalCCS,2,32.47673385615368
CoalCCS,3,30.56006683759646
GasOCGT,1,80.73698878330934
GasOCGT,2,51.66552885667218
GasOCGT,3,48.4728035747413
GasCCGT,1,63.602397369355046
GasCCGT,2,41.33467465127399
GasCCGT,3,39.014004311243774
GasCCS,1,74.06187895607087
GasCCS,2,49.24779140393247
GasCCS,3,46.62334156250359
Oil,1,125.42073477110277
Oil,2,115.11737781086609
Oil,3,108.43163622515348
Nuclear,1,15.407351426718616
Nuclear,2,15.407351426718616
Nuclear,3,15.407351426718616
Wave,1,0.104048964
Wave,2,0.104048964
Wave,3,0.104048964
Geo,1,0.003600000000000001
Geo,2,0.003600000000000001
Geo,3,0.003600000000000001
Hydroregulated,1,0.320256
Hydroregulated,2,0.320256
Hydroregulated,3,0.320256
Hydrorun-of-the-river,1,0.003600000000000001
Hydrorun-of-the-river,2,0.003600000000000001
Hydrorun-of-the-river,3,0.003600000000000001
Bio,1,50.1362032517786
Bio,2,50.56374126554816
Bio,3,52.9790361865912
Windonshore,1,0.18
Windonshore,2,0.18
Windonshore,3,0.18
Windoffshoregrounded,1,0.3931200000000001
Windoffshoregrounded,2,0.3931200000000001
Windoffshoregrounded,3,0.3931200000000001
Windoffshorefloating,1,0.3931200000000001
Windoffshorefloating,2,0.3931200000000001
Windoffshorefloating,3,0.3931200000000001
Solar,1,0.003600000000000001
Solar,2,0.003600000000000001
Solar,3,0.003600000000000001
BioCCS,1,58.16895432344468
BioCCS,2,58.69222122598426
BioCCS,3,61.01925301966184
Waste,1,0.82
Waste,2,0.82
Waste,3,0.82
