FromNode	ToNode	Period	transmisionInvCap
ES421	ES523	1	4.747396360471612e-07
ES421	ES523	2	6.023915917956059e-07
ES421	ES614	1	5.294277170185772e-05
ES421	ES614	2	3.660120446420202e-05
ES421	ES616	1	4.560865452522559e-05
ES421	ES616	2	4.671369551455405e-06
ES421	ES620	1	3.535201358317863e-07
ES421	ES620	2	1.0154750001358065e-06
ES422	ES423	1	3.76272088234287e-05
ES422	ES423	2	2.0889518381777844e-05
ES422	ES425	1	6.445297913160175e-07
ES422	ES425	2	3.9145153339818344e-07
ES422	ES431	1	6.429254426620901e-07
ES422	ES431	2	2.9702663034743863e-07
ES422	ES613	1	5.283048949422664e-07
ES422	ES613	2	7.130212952689782e-07
ES422	ES616	1	7.665289558644872e-07
ES422	ES616	2	2.809942697850938e-07
ES423	ES424	1	7.679464033572003e-07
ES423	ES424	2	3.581654057400482e-07
ES423	ES425	1	3.7945061034591427e-05
ES423	ES425	2	1.8274446204750274e-05
ES423	ES523	1	1.0473722795723006e-06
ES423	ES523	2	7.058622496791541e-07
ES425	ES431	1	3.060488228754974e-05
ES425	ES431	2	7.569464109847355e-06
ES425	ES432	1	6.892294095450779e-07
ES425	ES432	2	4.6597226069211637e-07
ES431	ES432	1	8.514034561812878e-07
ES431	ES432	2	2.5853192020439594e-07
ES431	ES613	1	4.4156152627298524e-05
ES431	ES613	2	1.1546647304245018e-05
ES431	ES615	1	4.494041130791188e-05
ES431	ES615	2	1.670183882561368e-05
ES431	ES618	1	2.977176336571574e-07
ES431	ES618	2	7.017068120986608e-07
ES431	Portugal	1	0.0
ES431	Portugal	2	0.0
ES432	ES616	1	4.398605142341694e-07
ES432	ES616	2	7.489380908394942e-07
ES432	Portugal	1	0.0
ES432	Portugal	2	0.0
ES511	ES512	1	8.462548066745512e-07
ES511	ES512	2	8.738259780195074e-07
ES511	ES513	1	9.684881661087275e-07
ES511	ES513	2	1.5168668492588488e-06
ES511	ES514	1	1.569587766425684e-07
ES511	ES514	2	1.268911571512786e-06
ES512	ES513	1	6.39451063249306e-05
ES512	ES513	2	4.899420468515954e-06
ES512	France	1	0.0
ES512	France	2	0.0
ES513	ES514	1	4.3560396534303436e-07
ES513	ES514	2	2.647243577095227e-07
ES513	France	1	0.0
ES513	France	2	0.0
ES514	ES522	1	5.216513727646088e-07
ES514	ES522	2	9.021462977825443e-07
ES521	ES523	1	8.993761184683535e-07
ES521	ES523	2	5.103654981842011e-07
ES521	ES620	1	9.083978511625901e-07
ES521	ES620	2	1.4384905619598074e-07
ES522	ES523	1	1.080062247638125e-06
ES522	ES523	2	1.1709904652313797e-06
ES523	ES532	1	1500.0
ES523	ES532	2	0.0
ES611	ES614	1	6.972318260523025e-07
ES611	ES614	2	6.813851538136323e-07
ES611	ES620	1	7.315202310564928e-07
ES611	ES620	2	2.0400784537880903e-06
ES612	ES615	1	5.166710342760584e-05
ES612	ES615	2	1.0722945302639886e-05
ES612	ES617	1	7.991775419213809e-07
ES612	ES617	2	1.3943332138822683e-06
ES612	ES618	1	6.300342647591606e-07
ES612	ES618	2	6.731585949524967e-07
ES613	ES614	1	4.121936361404409e-05
ES613	ES614	2	1.0320365738799609e-05
ES613	ES616	1	5.874017006135546e-07
ES613	ES616	2	7.268293383294934e-07
ES613	ES617	1	4.42703822045587e-07
ES613	ES617	2	5.823874255643193e-07
ES613	ES618	1	1.1060706128773745e-06
ES613	ES618	2	1.5291659719442412e-06
ES614	ES616	1	3.3612809602345806e-07
ES614	ES616	2	1.4604524120950937e-07
ES614	ES617	1	2.2710401026415639e-07
ES614	ES617	2	4.829470979716378e-07
ES614	ES620	1	5.338037861600505e-05
ES614	ES620	2	2.297184768843106e-05
ES615	ES618	1	6.699137884424999e-07
ES615	ES618	2	1.1961034154228813e-06
ES615	Portugal	1	0.0
ES615	Portugal	2	0.0
ES617	ES618	1	4.322403128753649e-07
ES617	ES618	2	3.1782912488973895e-07
EU	France	1	0.0
EU	France	2	1000.0
ES113	ES111	1	6.655413926637266e-07
ES113	ES111	2	1.3519354503868468e-08
ES422	ES432	1	4.0900204112404026e-07
ES422	ES432	2	4.2154623382976317e-07
ES618	ES422	1	6.021423359925393e-08
ES618	ES422	2	3.743394821950259e-07
ES213	France	1	0.0
ES213	France	2	0.0
