Node	Storage	Period	storPWInvCap
ES513	HydroPumpStorage	2	3.8950313397686634e-07
ES513	Li-Ion_BESS	1	1.2912095042888833e-05
ES513	Li-Ion_BESS	2	0.0002559905332989204
ES514	HydroPumpStorage	1	0.0
ES514	HydroPumpStorage	2	0.0
ES514	Li-Ion_BESS	1	1.2925543037348814e-05
ES514	Li-Ion_BESS	2	0.00026038350676952374
ES521	HydroPumpStorage	1	0.0
ES521	HydroPumpStorage	2	0.0
ES521	Li-Ion_BESS	1	1.3247511403168613e-05
ES521	Li-Ion_BESS	2	0.0004759459507010942
ES522	HydroPumpStorage	1	0.0
ES522	HydroPumpStorage	2	0.0
ES522	Li-Ion_BESS	1	1.3056757725100399e-05
ES522	Li-Ion_BESS	2	0.00025444557807130356
ES523	HydroPumpStorage	1	1.066428012563847e-08
ES523	HydroPumpStorage	2	8.698330651409649e-08
ES523	Li-Ion_BESS	1	1.2862223675491433e-05
ES523	Li-Ion_BESS	2	0.00015705505224779097
ES532	HydroPumpStorage	1	0.0
ES532	HydroPumpStorage	2	0.0
ES532	Li-Ion_BESS	1	1.3202938424636108e-05
ES532	Li-Ion_BESS	2	0.00026922456597203333
ES611	HydroPumpStorage	1	0.0
ES611	HydroPumpStorage	2	0.0
ES611	Li-Ion_BESS	1	1.3662407417079603e-05
ES611	Li-Ion_BESS	2	364.36054058534387
ES612	HydroPumpStorage	1	0.0
ES612	HydroPumpStorage	2	0.0
ES612	Li-Ion_BESS	1	1.325329371911798e-05
ES612	Li-Ion_BESS	2	0.0001924655783122484
ES613	HydroPumpStorage	1	0.0
ES613	HydroPumpStorage	2	0.0
ES613	Li-Ion_BESS	1	1.3531386705070865e-05
ES613	Li-Ion_BESS	2	225.5712497852471
ES614	HydroPumpStorage	1	0.0
ES614	HydroPumpStorage	2	0.0
ES614	Li-Ion_BESS	1	1.3809897123118719e-05
ES614	Li-Ion_BESS	2	607.9822171476895
ES615	HydroPumpStorage	1	0.0
ES615	HydroPumpStorage	2	0.0
ES615	Li-Ion_BESS	1	1.3046169517299048e-05
ES615	Li-Ion_BESS	2	0.00016343224061096407
ES616	HydroPumpStorage	1	0.0
ES616	HydroPumpStorage	2	0.0
ES616	Li-Ion_BESS	1	1.3445089884544199e-05
ES616	Li-Ion_BESS	2	0.0009876363972625795
ES617	HydroPumpStorage	1	1.2885504929727176e-07
ES617	HydroPumpStorage	2	1.9210772945790446e-07
ES617	Li-Ion_BESS	1	1.3298371742066841e-05
ES617	Li-Ion_BESS	2	0.0003378901758423035
ES618	HydroPumpStorage	1	4.003027243015822e-08
ES618	HydroPumpStorage	2	4.905923656381883e-07
ES618	Li-Ion_BESS	1	1.3327010461625205e-05
ES618	Li-Ion_BESS	2	0.0003706480780528704
ES620	HydroPumpStorage	1	0.0
ES620	HydroPumpStorage	2	0.0
ES620	Li-Ion_BESS	1	1.3213513963635327e-05
ES620	Li-Ion_BESS	2	0.0002961250091563065
EU	HydroPumpStorage	1	3.8562575355172157e-10
EU	HydroPumpStorage	2	8.171857754473777e-09
EU	Li-Ion_BESS	1	1.301620033768776e-05
EU	Li-Ion_BESS	2	6766.751306415541
France	HydroPumpStorage	1	1.4915713109076023e-09
France	HydroPumpStorage	2	3.6678818262739795e-08
France	Li-Ion_BESS	1	8.17100952515185e-06
France	Li-Ion_BESS	2	67.97551766854896
Portugal	HydroPumpStorage	1	3.05385583487805e-08
Portugal	HydroPumpStorage	2	4.8666870104995335e-09
Portugal	Li-Ion_BESS	1	9.770934767167042e-06
Portugal	Li-Ion_BESS	2	9.361668732200276e-05
