BetweenNode,AndNode,Period,transmisionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_Euro,transmisionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
ES111,ES112,2020-2025,0.00011442579852882773,7641.461867258168,3.9040929644759963,1751.3001845014471,52.53900553504374
ES111,ES112,2025-2030,8.645456861509221e-05,7641.461953576984,1.2958602436433724,2571.2770427525966,77.13831128257796
ES111,ES114,2020-2025,4.2272779865015764e-05,5049.62096665908,1.3162984156835786,2447.6622216916408,73.42986665074977
ES111,ES114,2025-2030,2.3718975276442832e-05,5049.620990242303,0.3244617395413558,1864.5570436932499,55.936711310797705
ES112,ES113,2020-2025,8.602319212513976e-07,1474.668058424372,0.03254667758014089,2134.319203467356,64.02957610402045
ES112,ES113,2025-2030,0.00011763757885482868,1474.6681759261987,1.9552901132322118,2761.7753425119868,82.85326027535955
ES112,ES114,2020-2025,0.003951408165041363,0.003951408165041363,169.99166287437018,0.012233906044031132,0.0003670171813209347
ES112,ES114,2025-2030,0.001077835774857549,0.005029108187781923,20.370530672083497,0.016464798309287234,0.0004939439492786197
ES112,ES120,2020-2025,3.170176341882325e-05,4027.4764651128435,1.6058923744268172,4831.616856476478,144.94850569429454
ES112,ES120,2025-2030,9.787595860868413e-06,4027.4764747646877,0.21781263209234597,7173.201300330542,215.19603900991615
ES112,ES413,2020-2025,5.1815386996167945e-05,4066.508937825597,2.9273272668757495,1551.3616038836565,46.54084811650975
ES112,ES413,2025-2030,1.1322544357765096e-05,4066.50894901239,0.2810156986408607,1862.7390595082352,55.88217178524721
ES113,ES114,2020-2025,8.453945247310912e-05,6863.733047301843,2.646214568358826,1569.1473867701113,47.07442160310329
ES113,ES114,2025-2030,0.00022600541875599314,6863.733273171509,3.107838887720994,2122.7323075137174,63.68196922541143
ES113,ES413,2020-2025,2.9028955850662896e-05,2770.588500816126,1.8083174414416718,1994.119607544425,59.823588226332824
ES113,ES413,2025-2030,1.2955473931012894e-05,2770.5885136358474,0.35454435936681333,4649.093048661915,139.47279145985817
ES113,ES419,2020-2025,0.00012849335143982898,6618.0650336916015,7.526857433446676,577.1628911397096,17.31488673419121
ES113,ES419,2025-2030,1.1665902106824176e-06,6618.065034722439,0.030021015616038895,1563.4311132305388,46.90293339691631
ES113,Portugal,2020-2025,0.0,8666.90573364432,0.0,8492.771160860735,254.78313482582183
ES113,Portugal,2025-2030,0.0,8666.90573364432,0.0,12675.588409810107,380.2676522943045
ES114,Portugal,2020-2025,0.0,0.0,0.0,0.0,0.0
ES114,Portugal,2025-2030,0.0,0.0,0.0,0.0,0.0
ES120,ES130,2020-2025,6.01419906161027e-05,5049.620984528291,3.886438018590847,1837.4786668331885,55.12436000499594
ES120,ES130,2025-2030,9.309244783197847e-05,5049.621077484987,2.6427885512500144,3389.145855486379,101.67437566459158
ES120,ES413,2020-2025,4.357020588940941e-05,5853.985362991496,1.35847702144747,2261.118475817975,67.83355427453941
ES120,ES413,2025-2030,0.00014133424931853575,5853.985504189992,1.9359053517220859,2518.3563459501847,75.55069037850596
ES130,ES213,2020-2025,7.553844716312597e-05,5362.429375771687,2.9566819440611254,804.4601170342606,24.133803511027917
ES130,ES213,2025-2030,9.43834699804243e-06,5362.429385074281,0.16229551398093423,5105.4643152582785,153.16392945774834
ES130,ES412,2020-2025,2.9313742970771273e-06,983.1120413074683,0.11904720338514334,3482.8081131965696,104.48424339589681
ES130,ES412,2025-2030,1.4881660108039587e-06,983.1120426598819,0.026550537803775708,3085.4643642510905,92.56393092753255
ES130,ES413,2020-2025,1.1908463420695625e-05,2279.0324645075834,0.7807211646359381,600.8726453723311,18.026179361169895
ES130,ES413,2025-2030,6.203225443690493e-06,2279.032470575057,0.17866184321148842,1986.9534627349326,59.608603882048264
ES130,ES414,2020-2025,2.195854904130101e-06,1787.476435606935,0.09123897698365606,1128.0427698226392,33.841283094679376
ES130,ES414,2025-2030,1.5998701063606356e-06,1787.476437071053,0.02920354075853796,2169.0091764148306,65.07027529244523
ES211,ES212,2020-2025,2.717324696277501e-05,4558.064932371497,0.5953660240692252,5745.742800697124,172.37228402091404
ES211,ES212,2025-2030,1.1735829551203156e-05,4558.064943971575,0.112961466976764,8743.09329138894,262.29279874166804
ES211,ES213,2020-2025,1.5551283922832226e-06,1474.6680591192685,0.030326365575906136,86.55538872650725,2.5966616617952263
ES211,ES213,2025-2030,3.990326224788224e-06,1474.6680629738428,0.03418507501520561,938.2069596610025,28.146208789830133
ES211,ES220,2020-2025,0.006076678482440373,0.006076678482440373,225.19531776582085,0.021611895077219053,0.0006483568523165721
ES211,ES220,2025-2030,0.0028908658365561315,0.00896740856687979,47.06467392720349,0.03321546792656568,0.0009964640377969688
ES211,ES230,2020-2025,8.70193338187164e-06,491.5560278899804,0.23152164248227244,280.07292658753346,8.402187797626002
ES211,ES230,2025-2030,1.5126686497064162e-05,491.5560428809147,0.17680464316349945,345.3094458860165,10.359283376580509
ES211,ES412,2020-2025,8.448430435237242e-06,3262.1444994236504,0.3079153653679045,4931.277823947061,147.93833471841268
ES211,ES412,2025-2030,2.3900195322018858e-06,3262.1445016779185,0.03826756234024643,4558.789506112779,136.7636851833831
ES211,ES414,2020-2025,2.3046050046104938e-06,4867.476435715686,0.14949059347776367,1788.7243927296422,53.6617317818893
ES211,ES414,2025-2030,3.979361427950157e-05,4867.476475373548,1.1339783699730372,6352.342244000474,190.57026732001455
ES212,ES213,2020-2025,1.3750658581557218e-05,5049.620938136959,0.3113836065081206,3735.9867658423664,112.07960297527111
ES212,ES213,2025-2030,8.919936591516967e-06,5049.620946921142,0.08873767218472847,712.830777153316,21.38492331459942
ES212,ES220,2020-2025,7.446541303579579e-06,983.1120458226353,0.21484441186866396,2023.3588389595918,60.70076516878784
ES212,ES220,2025-2030,3.1360737229434885e-06,983.1120488229569,0.039749323545071075,1575.6902320559925,47.270706961679586
ES212,France,2020-2025,0.0,2290.20418030794,0.0,12135.179961620415,364.0553988486118
ES212,France,2025-2030,0.0,2290.20418030794,0.0,11667.794746288477,350.0338423886543
ES213,ES412,2020-2025,1.140234417107422e-06,1787.4764345513145,0.053197226399448,4726.879046701634,141.806371401049
ES213,ES412,2025-2030,6.613345421043383e-06,1787.4764410289076,0.13554704997345227,5098.042006720469,152.9412602016133
