date,hour,stage,price_eur_mwh
2025-06-25,6,DA,56.31
2025-06-25,7,DA,56.31
2025-06-25,8,DA,42.24
2025-06-25,9,DA,15.91
2025-06-25,10,DA,14.91
2025-06-25,11,DA,0.18
2025-06-25,12,DA,0.18
2025-06-25,13,DA,0.18
2025-06-25,14,DA,0.18
2025-06-25,15,DA,0.18
2025-06-25,16,DA,15.91
2025-06-25,17,DA,42.24
2025-06-25,18,DA,56.31
2025-06-25,19,DA,56.31
2025-06-25,20,DA,56.31
2025-06-25,21,DA,56.31
2025-06-25,22,DA,56.31
2025-06-25,23,DA,56.31
2025-06-26,0,DA,114.76
2025-06-26,1,DA,114.76
2025-06-26,2,DA,114.76
2025-06-26,3,DA,114.76
2025-06-26,4,DA,114.76
2025-06-26,5,DA,114.76
2025-06-26,6,DA,114.76
2025-06-26,7,DA,114.76
2025-06-26,8,DA,114.76
2025-06-26,9,DA,86.08
2025-06-26,10,DA,50.06
2025-06-26,11,DA,0.18
2025-06-26,12,DA,0.18
2025-06-26,13,DA,0.18
2025-06-26,14,DA,0.18
2025-06-26,15,DA,0.18
2025-06-26,16,DA,54.48
2025-06-26,17,DA,86.08
2025-06-26,18,DA,114.76
2025-06-26,19,DA,114.76
2025-06-26,20,DA,114.76
2025-06-26,21,DA,114.76
2025-06-26,22,DA,114.76
2025-06-26,23,DA,114.76
2025-06-27,0,DA,56.31
2025-06-27,1,DA,56.31
2025-06-27,2,DA,56.31
2025-06-27,3,DA,56.31
2025-06-27,4,DA,56.31
2025-06-27,5,DA,56.31
2025-06-27,6,DA,56.31
2025-06-27,7,DA,56.31
2025-06-27,8,DA,54.48
2025-06-27,9,DA,42.24
2025-06-27,10,DA,0.18
2025-06-27,11,DA,0.18
2025-06-27,12,DA,0.18
2025-06-27,13,DA,0.18
2025-06-27,14,DA,0.18
2025-06-27,15,DA,0.18
2025-06-27,16,DA,0.18
2025-06-27,17,DA,0.18
2025-06-27,18,DA,42.24
2025-06-27,19,DA,54.48
2025-06-27,20,DA,54.48
2025-06-27,21,DA,54.48
2025-06-27,22,DA,54.48
2025-06-27,23,DA,54.48
2025-06-28,0,DA,0.23
2025-06-28,1,DA,0.23
2025-06-28,2,DA,0.23
2025-06-28,3,DA,0.23
2025-06-28,4,DA,0.23
2025-06-28,5,DA,0.23
2025-06-28,6,DA,0.23
2025-06-28,7,DA,0.23
2025-06-28,8,DA,0.18
2025-06-28,9,DA,0.18
2025-06-28,10,DA,0.18
2025-06-28,11,DA,0.18
2025-06-28,12,DA,0.18
2025-06-28,13,DA,0.18
2025-06-28,14,DA,0.18
2025-06-28,15,DA,0.18
2025-06-28,16,DA,0.18
2025-06-28,17,DA,0.18
2025-06-28,18,DA,0.18
2025-06-28,19,DA,0.18
2025-06-28,20,DA,0.23
2025-06-28,21,DA,0.23
2025-06-28,22,DA,0.23
2025-06-28,23,DA,0.23
2025-06-29,0,DA,0.23
2025-06-29,1,DA,0.23
2025-06-29,2,DA,0.23
2025-06-29,3,DA,0.23
2025-06-29,4,DA,0.23
2025-06-29,5,DA,0.23
2025-06-29,6,DA,14.91
2025-06-29,7,DA,0.23
2025-06-29,8,DA,0.18
2025-06-29,9,DA,0.18
2025-06-29,10,DA,0.18
2025-06-29,11,DA,0.0
2025-06-29,12,DA,0.0
2025-06-29,13,DA,0.0
2025-06-29,14,DA,0.0
2025-06-29,15,DA,0.18
2025-06-29,16,DA,0.18
2025-06-29,17,DA,0.18
2025-06-29,18,DA,0.18
2025-06-29,19,DA,0.23
2025-06-29,20,DA,0.23
2025-06-29,21,DA,0.23
2025-06-29,22,DA,0.23
2025-06-29,23,DA,0.23
2025-06-30,0,DA,14.91
2025-06-30,1,DA,14.91
