date,hour,load_mw,solar_mw,wind_mw,line_rating_factor,reliability_margin,cache_version,crossborder_split,fr_commercial_cap_mw,pt_commercial_cap_mw,base_emergency_mw,fr_import_mw,fr_export_mw,pt_import_mw,pt_export_mw,joint_scale
2024-08-20,0,27796.74053228767,0.0,10321.859430940849,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3907.6794665127713,4807.781637000433,7251.1889427300885,7279.801023045102,0.9954193489242967
2024-08-20,1,26924.804441659802,0.0,9425.646555600462,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3906.285813032017,4800.840738294712,7248.417890190977,7279.875615782365,0.995049137102712
2024-08-20,2,26331.574495533026,0.0,9362.849185675284,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3901.7319257612353,4796.381809628434,7246.463459611482,7279.926365654958,0.994787767092873
2024-08-20,3,26051.74904924681,0.0,9693.428854349302,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3900.487434696497,4794.577290029218,7245.654104040603,7279.950304274105,0.9946799283006993
2024-08-20,4,26337.171004458745,0.0,9975.998727962948,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3901.77464160179,4796.941401788333,7246.682466090215,7279.9258868825755,0.994817766713852
2024-08-20,5,26573.34368112431,0.0,9894.96310440153,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3903.581565934308,4798.631645827746,7247.429890068218,7279.905682688014,0.9949176128596792
2024-08-20,6,27679.213844847447,0.0,9526.43862751425,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3908.366250532431,4806.327445264018,7250.933147743829,7279.613820267094,0.9953586366609449
2024-08-20,7,29991.691332956736,3101.7578197320854,8974.767391032277,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3876.1962539699493,4824.231266161643,7262.71975698146,7275.865754576637,0.9964633254594535
2024-08-20,8,32101.575197954822,12064.282327731273,9692.145801698704,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3796.863492292861,4843.695315370703,7271.159075473709,7275.113267905521,0.9975180628436305
2024-08-20,9,33107.82750280004,22137.494327560024,10236.903936403121,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3784.2101276336466,4853.108694272696,7272.1139916758475,7275.667997227555,0.9977251462302404
