date,hour,branch_id,branch_name,from_bus,to_bus,from_bus_id,to_bus_id,from_nuts3,to_nuts3,asset_class,reinforcement_eligible,diagnostic_multiplier,capacity_policy,base_line_rating_factor,flow_mw,flow_mvar,limit_mw,loading_pct
2024-08-20,20,1074,LTGES0710a,498,925,ES00501,ES00936,ES617,ES617,intra_nuts3,true,10.0,intra_diagnostic,0.8,28.45,0.0,7864.9,0.4
2024-08-20,10,1397,LTGES0917c,998,977,ES01012,ES00988,ES120,ES120,intra_nuts3,true,10.0,intra_diagnostic,0.8,155.44,0.0,42899.43,0.4
2025-06-27,17,463,LTGES0321a,788,311,ES00797,ES00314,ES113,ES112,inter_nuts3,false,5.0,inter_allowance,0.8,13.91,0.0,3932.45,0.4
2024-08-22,8,1757,LTGES1155a,1056,485,ES01070,ES00488,ES300,ES300,intra_nuts3,true,10.0,intra_diagnostic,0.8,-41.54,0.0,11797.34,0.4
2024-08-22,11,519,LTGES0361a,806,511,ES00815,ES00514,ES523,ES523,intra_nuts3,true,10.0,intra_diagnostic,0.8,-28.05,0.0,7864.9,0.4
2024-08-22,19,1767,LTGES1160a,380,1185,ES00383,ES01205,ES241,ES241,intra_nuts3,true,10.0,intra_diagnostic,0.8,28.57,0.0,7864.9,0.4
2024-08-22,6,1485,LTGES0974b,291,293,ES00294,ES00296,ES213,ES213,intra_nuts3,true,10.0,intra_diagnostic,0.8,-28.74,0.0,7864.9,0.4
2025-06-27,17,1658,LTGES1092,1232,616,ES01255,ES00621,ES413,ES413,intra_nuts3,true,10.0,intra_diagnostic,0.8,14.27,0.0,3932.45,0.4
2024-08-22,19,1187,LTGES0778a,870,12,ES00879,ES00012,ES511,ES511,intra_nuts3,true,10.0,intra_diagnostic,0.8,103.72,0.0,28599.62,0.4
2024-08-22,6,1484,LTGES0974a,291,293,ES00294,ES00296,ES213,ES213,intra_nuts3,true,10.0,intra_diagnostic,0.8,-28.74,0.0,7864.9,0.4
2024-08-22,8,1828,LTGES1202,1124,1125,ES01144,ES01145,ES620,ES620,intra_nuts3,true,10.0,intra_diagnostic,0.8,13.94,0.0,3932.45,0.4
2024-08-20,7,230,LTGES0165a,203,53,ES00206,ES00053,ES511,ES511,intra_nuts3,true,10.0,intra_diagnostic,0.8,105.99,0.0,28599.62,0.4
2024-08-22,8,1758,LTGES1155b,1056,485,ES01070,ES00488,ES300,ES300,intra_nuts3,true,10.0,intra_diagnostic,0.8,-41.54,0.0,11797.34,0.4
2024-08-20,12,209,LTGES0150b,182,742,ES00185,ES00751,ES612,ES612,intra_nuts3,true,10.0,intra_diagnostic,0.8,28.39,0.0,7864.9,0.4
2025-06-28,17,1773,LTGES1165,628,1103,ES00634,ES01121,ES300,ES300,intra_nuts3,true,10.0,intra_diagnostic,0.8,5.55,0.0,1353.49,0.4
2024-08-22,6,1440,LTGES0946a,1011,1012,ES01025,ES01026,ES213,ES213,intra_nuts3,true,10.0,intra_diagnostic,0.8,104.2,0.0,28599.62,0.4
