Source:_data/IAMC/Spain/Spain_IAMC.xlsx_+_reference	Unnamed:_1
ES512	GasCCS
ES512	GasOCGT
ES512	Hydroregulated
ES512	Hydrorun-of-the-river
ES512	Lignite
ES512	Solar
ES512	Waste
ES512	Windonshore
ES513	BioCCS
ES513	CoalCCS
ES513	GasCCS
ES513	GasOCGT
ES513	Hydroregulated
ES513	Hydrorun-of-the-river
ES513	Lignite
ES513	Solar
ES513	Waste
ES513	Windonshore
ES514	BioCCS
ES514	CoalCCS
ES514	GasCCGT
ES514	GasCCS
ES514	GasOCGT
ES514	Hydroregulated
ES514	Hydrorun-of-the-river
ES514	Lignite
ES514	Nuclear
ES514	Solar
ES514	Waste
ES514	Windonshore
ES521	BioCCS
ES521	CoalCCS
ES521	GasCCS
ES521	GasOCGT
ES521	Lignite
ES521	Solar
ES521	Waste
ES521	Windonshore
ES522	BioCCS
ES522	CoalCCS
ES522	GasCCGT
ES522	GasCCS
ES522	GasOCGT
ES522	Lignite
ES522	Solar
ES522	Waste
ES522	Windonshore
ES523	BioCCS
ES523	CoalCCS
ES523	GasCCGT
ES523	GasCCS
ES523	GasOCGT
ES523	Hydroregulated
ES523	Hydrorun-of-the-river
ES523	Lignite
ES523	Nuclear
ES523	Solar
ES523	Waste
ES523	Windonshore
ES532	Bio
ES532	BioCCS
ES532	Coal
ES532	CoalCCS
ES532	GasCCGT
ES532	GasCCS
ES532	GasOCGT
ES532	Lignite
ES532	Solar
ES532	Waste
ES532	Windonshore
ES611	BioCCS
ES611	CoalCCS
ES611	GasCCS
ES611	GasOCGT
ES611	Lignite
ES611	Solar
ES611	Waste
ES611	Windonshore
ES612	BioCCS
ES612	Coal
ES612	CoalCCS
ES612	GasCCGT
ES612	GasCCS
ES612	GasOCGT
ES612	Lignite
ES612	Solar
ES612	Waste
ES612	Windonshore
ES613	BioCCS
ES613	CoalCCS
ES613	GasCCS
ES613	GasOCGT
ES613	Hydrorun-of-the-river
ES613	Lignite
ES613	Solar
ES613	Waste
ES613	Windonshore
ES614	BioCCS
ES614	CoalCCS
ES614	GasCCGT
ES614	GasCCS
ES614	GasOCGT
ES614	Hydrorun-of-the-river
ES614	Lignite
ES614	Solar
ES614	Waste
ES614	Windonshore
ES615	Bio
ES615	BioCCS
ES615	CoalCCS
ES615	GasCCGT
ES615	GasCCS
ES615	GasOCGT
ES615	Hydrorun-of-the-river
ES615	Lignite
ES615	Solar
ES615	Waste
ES615	Windonshore
ES616	BioCCS
ES616	CoalCCS
ES616	GasCCGT
ES616	GasCCS
ES616	GasOCGT
ES616	Hydrorun-of-the-river
ES616	Lignite
ES616	Solar
ES616	Waste
ES616	Windonshore
ES617	BioCCS
ES617	CoalCCS
ES617	GasCCGT
ES617	GasCCS
ES617	GasOCGT
ES617	Hydroregulated
ES617	Hydrorun-of-the-river
ES617	Lignite
ES617	Solar
ES617	Waste
ES617	Windonshore
ES618	BioCCS
ES618	CoalCCS
ES618	GasCCS
ES618	GasOCGT
ES618	Hydrorun-of-the-river
ES618	Lignite
ES618	Solar
ES618	Waste
ES618	Windonshore
ES620	BioCCS
ES620	CoalCCS
ES620	GasCCGT
ES620	GasCCS
ES620	GasOCGT
ES620	Lignite
ES620	Solar
ES620	Waste
ES620	Windonshore
EU	Bio
EU	BioCCS
EU	Coal
EU	CoalCCS
EU	GasCCGT
EU	GasCCS
EU	GasOCGT
EU	Geo
EU	Hydroregulated
EU	Hydrorun-of-the-river
EU	Lignite
EU	LigniteCCS
EU	Nuclear
EU	Oil
EU	Solar
EU	Waste
EU	Wave
EU	Windoffshorefloating
EU	Windoffshoregrounded
EU	Windonshore
France	Bio
France	BioCCS
France	Coal
France	CoalCCS
France	GasCCGT
France	GasCCS
France	GasOCGT
France	Geo
France	Hydroregulated
France	Hydrorun-of-the-river
France	Nuclear
France	Oil
France	Solar
France	Waste
France	Wave
France	Windoffshorefloating
France	Windoffshoregrounded
France	Windonshore
Italy	Bio
Italy	BioCCS
Italy	Coal
Italy	CoalCCS
Italy	GasCCGT
Italy	GasCCS
Italy	GasOCGT
Italy	Geo
Italy	Hydroregulated
Italy	Hydrorun-of-the-river
Italy	Nuclear
Italy	Oil
