Source:_See_reference_Generator.xlsx	Unnamed:_1	Unnamed:_2
ES212	Solar	0.0
ES212	Waste	714.0
ES212	Gas_CCGT	200000.0
ES213	CCS	800000.0
ES213	Lignite	200000.0
ES213	Hcoal	0.0
ES213	Coal	400000.0
ES213	Gas_OCGT	200000.0
ES213	Oil	200000.0
ES213	Bio	200000.0
ES213	Geo	0.0
ES213	Nuclear	200000.0
ES213	Hydro_reg	312.462
ES213	Hydro_ror	0.0
ES213	Wave	0.0
ES213	Wind_onshr	97.213
ES213	Wind_offshr_grounded	0.0
ES213	Wind_offshr_floating	0.0
ES213	Solar	0.0
ES213	Waste	714.0
ES213	Gas_CCGT	200000.0
ES220	CCS	800000.0
ES220	Lignite	200000.0
ES220	Hcoal	0.0
ES220	Coal	400000.0
ES220	Gas_OCGT	200000.0
ES220	Oil	200000.0
ES220	Bio	200000.0
ES220	Geo	0.0
ES220	Nuclear	200000.0
ES220	Hydro_reg	0.0
ES220	Hydro_ror	0.0
ES220	Wave	0.0
ES220	Wind_onshr	1720.888
ES220	Wind_offshr_grounded	0.0
ES220	Wind_offshr_floating	0.0
ES220	Solar	4915.097
ES220	Waste	714.0
ES220	Gas_CCGT	200000.0
ES230	CCS	800000.0
ES230	Lignite	200000.0
ES230	Hcoal	0.0
ES230	Coal	400000.0
ES230	Gas_OCGT	200000.0
ES230	Oil	200000.0
ES230	Bio	200000.0
ES230	Geo	0.0
ES230	Nuclear	200000.0
ES230	Hydro_reg	0.0
ES230	Hydro_ror	7.002
ES230	Wave	0.0
ES230	Wind_onshr	2069.979
ES230	Wind_offshr_grounded	0.0
ES230	Wind_offshr_floating	0.0
ES230	Solar	2015.869
ES230	Waste	714.0
ES230	Gas_CCGT	200000.0
ES241	CCS	800000.0
ES241	Lignite	200000.0
ES241	Hcoal	0.0
ES241	Coal	400000.0
ES241	Gas_OCGT	200000.0
ES241	Oil	200000.0
ES241	Bio	200000.0
ES241	Geo	0.0
ES241	Nuclear	200000.0
ES241	Hydro_reg	327.224
ES241	Hydro_ror	471.086
ES241	Wave	0.0
ES241	Wind_onshr	4634.825
ES241	Wind_offshr_grounded	0.0
ES241	Wind_offshr_floating	0.0
ES241	Solar	1003.956
ES241	Waste	714.0
ES241	Gas_CCGT	200000.0
ES242	CCS	800000.0
ES242	Lignite	200000.0
ES242	Hcoal	0.0
ES242	Coal	400000.0
ES242	Gas_OCGT	200000.0
ES242	Oil	200000.0
ES242	Bio	200000.0
ES242	Geo	0.0
ES242	Nuclear	200000.0
ES242	Hydro_reg	0.0
ES242	Hydro_ror	0.0
ES242	Wave	0.0
ES242	Wind_onshr	6581.186
ES242	Wind_offshr_grounded	0.0
ES242	Wind_offshr_floating	0.0
ES242	Solar	7276.364
ES242	Waste	714.0
ES242	Gas_CCGT	200000.0
ES243	CCS	800000.0
ES243	Lignite	200000.0
ES243	Hcoal	0.0
ES243	Coal	400000.0
ES243	Gas_OCGT	200000.0
ES243	Oil	200000.0
ES243	Bio	200000.0
ES243	Geo	0.0
ES243	Nuclear	200000.0
ES243	Hydro_reg	1200.643
ES243	Hydro_ror	31.641
ES243	Wave	0.0
ES243	Wind_onshr	9217.015
ES243	Wind_offshr_grounded	0.0
ES243	Wind_offshr_floating	0.0
ES243	Solar	12498.422
ES243	Waste	714.0
ES243	Gas_CCGT	200000.0
ES300	CCS	800000.0
ES300	Lignite	200000.0
ES300	Hcoal	0.0
ES300	Coal	400000.0
ES300	Gas_OCGT	200000.0
ES300	Oil	200000.0
ES300	Bio	200000.0
ES300	Geo	0.0
ES300	Nuclear	200000.0
ES300	Hydro_reg	0.0
ES300	Hydro_ror	0.0
ES300	Wave	0.0
ES300	Wind_onshr	2094.545
ES300	Wind_offshr_grounded	0.0
ES300	Wind_offshr_floating	0.0
ES300	Solar	1885.631
ES300	Waste	714.0
ES300	Gas_CCGT	200000.0
ES412	CCS	800000.0
ES412	Lignite	200000.0
ES412	Hcoal	0.0
ES412	Coal	400000.0
ES412	Gas_OCGT	200000.0
ES412	Oil	200000.0
ES412	Bio	200000.0
ES412	Geo	0.0
ES412	Nuclear	200000.0
ES412	Hydro_reg	0.0
ES412	Hydro_ror	0.0
ES412	Wave	0.0
ES412	Wind_onshr	10194.267
ES412	Wind_offshr_grounded	0.0
ES412	Wind_offshr_floating	0.0
ES412	Solar	662.725
ES412	Waste	714.0
ES412	Gas_CCGT	200000.0
ES413	CCS	800000.0
ES413	Lignite	200000.0
ES413	Hcoal	0.0
ES413	Coal	400000.0
ES413	Gas_OCGT	200000.0
