Source:_See_reference_Generator.xlsx	Unnamed:_1	Unnamed:_2
Spain	Bio	200000
Spain	Gas_CCGT	200000
Spain	Gas_OCGT	200000
Spain	Geo	0
Spain	Nuclear	200000
Spain	Oil	200000
Spain	Waste	714
Spain	Coal	400000
Spain	CCS	800000
Spain	Lignite	200000
Spain	Lignite	200000
