branch_id,branch_name,peak_pct,limit_mw,peak_flow,nominal_mw,req_factor
675,LTGES0465,12.9,4915.56,635.2,491.55600000000004,1.29
916,LTGES0617,12.9,4915.56,632.43,491.55600000000004,1.29
1110,LTGES0733,12.8,4915.56,631.12,491.55600000000004,1.28
2310,TR_60f77458,12.7,3000.0,380.94,300.0,1.27
1101,LTGES0727,12.6,4915.56,617.66,491.55600000000004,1.26
612,LTGES0426,12.4,17874.76,2222.48,1787.4759999999999,1.24
1003,LTGES0668,12.4,4915.56,608.62,491.55600000000004,1.24
242,LTGES0172,12.4,4915.56,607.68,491.55600000000004,1.24
10,LTGES0006,12.4,4915.56,611.78,491.55600000000004,1.24
1653,LTGES1089b,12.3,17874.76,2200.75,1787.4759999999999,1.23
1652,LTGES1089a,12.3,17874.76,2200.75,1787.4759999999999,1.23
83,LTGES0056,12.3,4915.56,602.62,491.55600000000004,1.23
2149,LTGES1429,12.3,4915.56,603.39,491.55600000000004,1.23
2212,TR_9425d6c7,12.2,7500.0,913.49,750.0,1.22
1820,LTGES1197,12.2,17874.76,2174.56,1787.4759999999999,1.22
2175,TR_519b8abe,12.2,7500.0,916.9,750.0,1.22
355,LTGES0242,12.2,17874.76,2181.17,1787.4759999999999,1.22
932,LTGES0626,12.1,4915.56,593.47,491.55600000000004,1.21
1048,LTGES0692,12.1,4915.56,592.64,491.55600000000004,1.21
747,LTGES0515,11.9,4915.56,582.88,491.55600000000004,1.19
602,LTGES0418,11.8,4915.56,578.33,491.55600000000004,1.18
601,LTGES0417,11.8,4915.56,581.13,491.55600000000004,1.18
181,LTGES0133a,11.7,17874.76,2099.49,1787.4759999999999,1.17
182,LTGES0133b,11.7,17874.76,2099.49,1787.4759999999999,1.17
2193,TR_ec3a7de9,11.7,7500.0,880.48,750.0,1.17
1198,LTGES0790,11.7,4915.56,576.41,491.55600000000004,1.17
2174,LTGES1450,11.7,4915.56,576.57,491.55600000000004,1.17
613,LTGES0427,11.6,17874.76,2079.81,1787.4759999999999,1.16
23,LTGES0014,11.6,4915.56,568.93,491.55600000000004,1.16
764,LTGES0528b,11.6,17874.76,2069.15,1787.4759999999999,1.16
763,LTGES0528a,11.6,17874.76,2069.15,1787.4759999999999,1.16
576,LTGES0399,11.6,4915.56,568.87,491.55600000000004,1.16
436,LTGES0300,11.6,4915.56,569.19,491.55600000000004,1.16
701,LTGES0480,11.5,4915.56,564.6,491.55600000000004,1.15
2183,TR_b8345e3b,11.4,3000.0,342.99,300.0,1.14
2036,LTGES1342,11.4,4915.56,561.09,491.55600000000004,1.14
1732,LTGES1140,11.4,4915.56,559.39,491.55600000000004,1.14
1958,LTGES1283,11.3,4915.56,555.51,491.55600000000004,1.13
120,LTGES0084,11.3,17874.76,2013.65,1787.4759999999999,1.13
2290,TR_531ab7c5,11.2,3000.0,336.91,300.0,1.12
1522,LTGES1003a,11.2,4915.56,552.33,491.55600000000004,1.12
1523,LTGES1003b,11.2,4915.56,552.33,491.55600000000004,1.12
1009,LTGES0671b,11.1,17874.76,1991.42,1787.4759999999999,1.11
1002,LTGES0667b,11.1,17874.76,1986.29,1787.4759999999999,1.11
1008,LTGES0671a,11.1,17874.76,1991.42,1787.4759999999999,1.11
1001,LTGES0667a,11.1,17874.76,1986.29,1787.4759999999999,1.11
2278,TR_59f3a3c3,11.1,4800.0,533.83,480.0,1.11
1519,LTGES1000,11.0,4915.56,542.16,491.55600000000004,1.1
122,LTGES0085b,11.0,4915.56,543.12,491.55600000000004,1.1
121,LTGES0085a,11.0,4915.56,543.12,491.55600000000004,1.1
2285,TR_023fe59e,11.0,4800.0,529.44,480.0,1.1
718,LTGES0494,10.9,4915.56,536.33,491.55600000000004,1.09
1011,LTGES0672b,10.9,17874.76,1942.53,1787.4759999999999,1.09
183,LTGES0134,10.9,4915.56,537.78,491.55600000000004,1.09
1010,LTGES0672a,10.9,17874.76,1942.53,1787.4759999999999,1.09
297,LTGES0214,10.8,17874.76,1927.92,1787.4759999999999,1.08
2200,TR_ae86a0a4,10.6,9450.0,1002.18,945.0,1.06
1861,LTGES1222a,10.6,17874.76,1890.15,1787.4759999999999,1.06
1862,LTGES1222b,10.6,17874.76,1890.15,1787.4759999999999,1.06
2179,TR_10cbc112,10.4,4800.0,497.95,480.0,1.04
2343,TR_5d89fb1a,10.4,3000.0,310.99,300.0,1.04
667,LTGES0461a,10.3,17874.76,1844.65,1787.4759999999999,1.03
668,LTGES0461b,10.3,17874.76,1844.65,1787.4759999999999,1.03
864,LTGES0586b,10.3,17874.76,1832.24,1787.4759999999999,1.03
1723,LTGES1134,10.3,4915.56,507.98,491.55600000000004,1.03
84,LTGES0057,10.3,4915.56,505.43,491.55600000000004,1.03
863,LTGES0586a,10.3,17874.76,1832.24,1787.4759999999999,1.03
28,LTGES0017,10.2,4915.56,501.1,491.55600000000004,1.02
739,LTGES0508b,10.2,17874.76,1826.24,1787.4759999999999,1.02
738,LTGES0508a,10.2,17874.76,1826.24,1787.4759999999999,1.02
2272,TR_4422f4c8,10.1,30000.0,3020.96,3000.0,1.01
1814,LTGES1191,10.1,17874.76,1802.6,1787.4759999999999,1.01
632,LTGES0438,10.1,4915.56,494.79,491.55600000000004,1.01
