,DA,ID2,ID3,CID,BE
2024-07-08 00:00:00+00:00,1.0,0.9477380295656924,0.9477380295656924,0.8314251553042371,0.8515804653746976
2024-07-08 01:00:00+00:00,1.0,1.1299486078883023,1.1299486078883023,1.097906228479064,1.004880736646654
2024-07-08 02:00:00+00:00,1.0,1.0258870023192035,1.0258870023192035,0.9553429046488028,0.9429056238895068
2024-07-08 03:00:00+00:00,1.0,1.2265644441829604,1.2265644441829604,1.1438524343317311,1.1439735988410846
2024-07-08 04:00:00+00:00,1.0,1.1192317877463427,1.1192317877463427,1.256062884917443,1.6080691252256292
2024-07-08 05:00:00+00:00,1.0,1.1848660457696283,1.1848660457696283,1.7301720616016123,1.1310626839065372
2024-07-08 06:00:00+00:00,1.0,1.0414434255059895,1.0414434255059895,1.0128651061434137,0.8842592643190215
2024-07-08 07:00:00+00:00,1.0,1.0428485577469122,1.0428485577469122,0.987290848087739,1.0299137565335101
2024-07-08 08:00:00+00:00,1.0,1.0389282446012822,1.0389282446012822,1.0328623586452501,1.0090573609762363
2024-07-08 09:00:00+00:00,1.0,1.0411478715067977,1.0411478715067977,1.0155429187024587,1.0815454553495905
2024-07-08 10:00:00+00:00,1.0,1.0490654056056103,1.0490654056056103,1.094416817940911,1.1173737607400887
2024-07-08 11:00:00+00:00,1.0,1.0327731347625755,1.0327731347625755,1.088267252128881,1.074698373252663
2024-07-08 12:00:00+00:00,1.0,1.0237056059209124,1.0606421796957224,1.045022733905489,1.0647950939397486
2024-07-08 13:00:00+00:00,1.0,1.0,1.020524025963741,1.0335902283300458,1.0556029505116145
2024-07-08 14:00:00+00:00,1.0,1.0,1.0114491813786173,1.0428851244628414,1.0773786506150824
2024-07-08 15:00:00+00:00,1.0,1.0,1.0039208300348221,1.0634900276470804,1.0922062326230138
2024-07-08 16:00:00+00:00,1.0,1.0,0.9984655009352853,1.0665202322336456,1.0915756678590522
2024-07-08 17:00:00+00:00,1.0,1.0,0.9877688166732589,1.0670211127905442,1.068317481875745
2024-07-08 18:00:00+00:00,1.0,1.0,0.9761934940635627,1.0612352054201541,1.101807483729249
2024-07-08 19:00:00+00:00,1.0,1.0,1.0051602706973595,1.2746177189486623,1.0117080075886662
2024-07-08 20:00:00+00:00,1.0,1.0,1.092723642069434,0.702313307841917,1.0892582451871813
2024-07-08 21:00:00+00:00,1.0,1.0,1.0168265074508271,1.3238903569543965,1.1220988915590728
2024-07-08 22:00:00+00:00,1.0,1.0,0.9363889923298915,0.9580879431402479,1.0841747970365205
2024-07-08 23:00:00+00:00,1.0,1.0,1.0,1.236296180986662,1.2379676839355633
