from,to,initial_mw,installed_mw,factor,n_lines,kind,note
ES421,ES422,1970.0,1970.000010048816,1.000000005100922,0,intra,no physical line found between regions
ES422,ES425,1966.22407675218,1966.224083384674,1.0000000033732137,4,intra,
ES422,ES618,1920.0,1920.0000095229145,1.0000000049598514,0,intra,no physical line found between regions
ES523,ES532,400.0,1900.0,4.75,1,intra,border mismatch: applied to ES522-ES532 lines
ES432,ES616,1787.47643341108,1787.4764425166572,1.0000000050940963,1,intra,
ES613,ES617,1787.47643341108,1787.4764422971775,1.000000004971309,1,intra,
ES417,ES418,1787.47643341108,1787.4764410078192,1.00000000424998,1,intra,
ES130,ES414,1787.47643341108,1787.4764407615612,1.0000000041122115,2,intra,
ES421,ES523,1787.47643341108,1787.476439160684,1.000000003216604,1,intra,
ES300,ES414,1787.47643341108,1787.4764388332628,1.000000003033429,1,intra,
ES213,ES412,1787.47643341108,1787.4764383571533,1.0000000027670704,2,intra,
ES514,ES522,1787.47643341108,1787.4764376389853,1.0000000023652929,1,intra,
ES432,Portugal,1787.47643341108,1787.47643341108,1.0,0,xborder,cross-border: enters the chain as zonal NTC; bus-grid border flows stay the fixed crossborder.csv schedule
ES431,Portugal,1787.47643341108,1787.47643341108,1.0,0,xborder,cross-border: enters the chain as zonal NTC; bus-grid border flows stay the fixed crossborder.csv schedule
ES615,Portugal,1787.47643341108,1787.47643341108,1.0,0,xborder,cross-border: enters the chain as zonal NTC; bus-grid border flows stay the fixed crossborder.csv schedule
ES425,ES432,1613.112038376094,1613.1120467707838,1.0000000052040339,2,intra,
ES111,ES113,1513.0,1513.0000037499756,1.0000000024785034,0,intra,no physical line found between regions
ES112,ES113,1474.66805756414,1474.6680607751541,1.0000000021774487,6,intra,
ES211,ES213,1474.66805756414,1474.668059910396,1.0000000015910402,3,intra,
ES421,ES521,1440.0,1440.0000031834331,1.0000000022107174,0,intra,no physical line found between regions
ES513,ES514,983.112038376094,983.1120459620018,1.000000007716219,2,intra,
ES617,ES618,983.112038376094,983.1120450460918,1.0000000067845753,2,intra,
ES422,ES613,983.112038376094,983.1120425813132,1.0000000042774566,2,intra,
ES212,ES220,983.112038376094,983.1120414202542,1.0000000030964529,2,intra,
ES130,ES412,983.112038376094,983.1120397779285,1.0000000014259154,2,intra,
ES412,ES418,0.0,514.2550133626917,NaN,0,intra,synthetic line ES00691 - ES00089 (173.0 km)
ES241,France,502.727746896866,502.727746896866,1.0,0,xborder,cross-border: enters the chain as zonal NTC; bus-grid border flows stay the fixed crossborder.csv schedule
ES211,ES230,491.556019188047,491.5560220671513,1.0000000058571235,3,intra,
ES614,ES616,491.556019188047,491.55602205790444,1.000000005838312,1,intra,
ES220,ES241,491.556019188047,491.556019975225,1.0000000016014003,1,intra,
ES415,Portugal,491.556019188047,491.556019188047,1.0,0,xborder,cross-border: enters the chain as zonal NTC; bus-grid border flows stay the fixed crossborder.csv schedule
ES412,ES416,0.0,384.5133428491993,NaN,0,intra,synthetic line ES00691 - ES00916 (209.0 km)
