bus_id,power_mw,energy_mwh
ES00001,59.08565804490753,118.17131608981506
ES00002,18.180202475356165,36.36040495071233
ES00003,157.67167979919682,315.34335959839365
ES00004,53.751709022453454,107.50341804490691
ES00005,59.12687992469879,118.25375984939758
ES00009,0.0011974755542983454,0.002394951108596691
ES00011,19.7089599748996,39.4179199497992
ES00012,161.25512706736035,322.5102541347207
ES00013,27.270303713034245,54.54060742606849
ES00014,173.53829635567243,347.07659271134486
ES00015,4.545050618839041,9.090101237678082
ES00016,4.545050618839041,9.090101237678082
ES00018,18.180202475356165,36.36040495071233
ES00019,99.16474077467,198.32948154934
ES00020,20.452727784775682,40.905455569551364
ES00021,66.10982718311334,132.21965436622668
ES00022,45.45050618839041,90.90101237678083
ES00023,4.545050618839041,9.090101237678082
ES00024,47.723031497809934,95.44606299561987
ES00028,18.180202475356165,36.36040495071233
ES00029,132.21965436622665,264.4393087324533
ES00030,11.362626547097603,22.725253094195207
ES00031,173.53829635567251,347.0765927113451
ES00032,9.090101237678082,18.180202475356165
ES00033,107.42846917255915,214.8569383451183
ES00035,0.0031433733300331554,0.006286746660066311
ES00036,0.006479624989493268,0.012959249978986537
ES00041,0.0013262944399298373,0.0026525888798596747
ES00043,0.0011368238056541464,0.0022736476113082928
ES00046,0.0012712529073913169,0.0025425058147826337
ES00047,59.12687992469879,118.25375984939758
ES00048,64.0541199184237,128.1082398368474
ES00049,2.8843060730259893,5.768612146051979
ES00050,83.90708576075606,167.81417152151212
ES00051,59.12687992469879,118.25375984939758
ES00052,24.636199968624496,49.27239993724899
ES00053,71.66894536327128,143.33789072654255
ES00054,4.78965592289589,9.57931184579178
ES00055,27.093003200219172,54.18600640043834
ES00060,1.0643679828657533,2.1287359657315066
ES00061,5.80564354290411,11.61128708580822
ES00065,2.8886155386262544,5.777231077252509
ES00066,15.756084756143208,31.512169512286416
ES00074,0.0011651742235392454,0.002330348447078491
ES00075,0.0017707631156985363,0.0035415262313970726
ES00076,0.003098835452472438,0.006197670904944876
ES00080,12.391278214415488,24.782556428830976
ES00083,2.1287359657315066,4.257471931463013
ES00084,3.8704290286027403,7.740858057205481
ES00085,2.9031408752901906,5.806281750580381
ES00086,1.5965519742986303,3.1931039485972605
ES00087,4.257471931463013,8.514943862926026
ES00088,10.643679828657532,21.287359657315065
ES00089,35.39062035494886,70.78124070989772
ES00093,0.0014037768799128937,0.0028075537598257873
ES00097,34.586559225758265,69.17311845151653
ES00098,27.948734727885473,55.897469455770946
ES00100,0.9601942332039886,1.9203884664079771
ES00101,2.1604370247089744,4.320874049417949
ES00102,0.7201456749029914,1.4402913498059828
ES00103,1.6803399081069799,3.3606798162139597
ES00104,4.3645192418363115,8.729038483672623
ES00105,39.4179199497992,78.8358398995984
ES00106,14.7817199811747,29.5634399623494
ES00111,15.481716114410961,30.963432228821922
ES00135,0.0017542024322246407,0.0035084048644492814
ES00136,6.499384961909071,12.998769923818141
ES00137,10.504056504095471,21.008113008190943
ES00141,5.055077192595944,10.110154385191889
ES00142,4.332923307939382,8.665846615878763
ES00143,27.270303713034245,54.54060742606849
ES00144,9.090101237678082,18.180202475356165
ES00145,115.89879078039559,231.79758156079117
ES00146,173.5382963556725,347.076592711345
ES00147,11.362626547097603,22.725253094195207
ES00148,41.31864198944582,82.63728397889165
ES00149,18.180202475356165,36.36040495071233
ES00150,66.10982718311334,132.21965436622668
ES00153,0.0035084048644492814,0.007016809728898563
ES00163,0.0014221600287391304,0.002844320057478261
ES00165,0.0016117813659043475,0.003223562731808695
ES00171,0.0011694682881497607,0.0023389365762995214
ES00172,4.9272399937249,9.8544799874498
ES00173,2.8805826996119652,5.7611653992239305
ES00174,0.8729038483672623,1.7458076967345246
ES00193,20.180516226998243,40.361032453996486
ES00194,73.38369537090271,146.76739074180543
ES00195,171.53438792948506,343.0687758589701
ES00196,220.15108611270813,440.30217222541626
ES00197,10.090258113499122,20.180516226998243
ES00199,3.1931039485972605,6.386207897194521
ES00201,13.635151856517123,27.270303713034245
ES00202,2.2725253094195206,4.545050618839041
ES00203,66.10982718311334,132.21965436622668
ES00205,44.34515994352409,88.69031988704818
ES00206,304.5930177939028,609.1860355878056
ES00209,44.3451599435241,88.6903198870482
ES00210,9.8544799874498,19.7089599748996
ES00211,286.67578145308505,573.3515629061701
ES00212,49.27239993724899,98.54479987449798
ES00213,29.563439962349396,59.12687992469879
ES00214,143.33789072654255,286.6757814530851
ES00216,9.8544799874498,19.7089599748996
ES00219,9.8544799874498,19.7089599748996
ES00220,0.0040660943295439955,0.008132188659087991
ES00221,0.0029571595123956337,0.0059143190247912675
ES00222,0.0016264377318175986,0.003252875463635197
ES00228,78.83583989959838,157.67167979919677
ES00229,35.83447268163564,71.66894536327128
ES00230,29.06927293413283,58.138545868265666
ES00233,44.3451599435241,88.6903198870482
ES00234,0.29820278355968716,0.5964055671193743
ES00235,0.08210978970573712,0.16421957941147425
ES00236,0.29820278355968716,0.5964055671193743
ES00237,0.4771244536954995,0.954248907390999
ES00238,1.7349980134381802,3.46999602687636
ES00239,0.23856222684774975,0.4771244536954995
ES00240,3.9037455302359048,7.8074910604718095
ES00260,0.16421957941147425,0.3284391588229485
ES00261,0.7156866805432491,1.4313733610864983
ES00262,0.16421957941147425,0.3284391588229485
ES00263,1.6699355879342486,3.3398711758684967
ES00264,3.686870778556132,7.373741557112265
ES00265,0.29820278355968716,0.5964055671193743
ES00266,0.954248907390999,1.908497814781998
ES00267,1.7349980134381802,3.46999602687636
ES00271,83.90708576075606,167.81417152151212
ES00274,0.0019126393977020341,0.0038252787954040682
ES00276,0.0016735594729892801,0.0033471189459785603
ES00285,21.906334391446663,43.812668782893326
ES00286,29.20844585526222,58.41689171052444
ES00287,14.60422292763111,29.20844585526222
ES00288,21.906334391446663,43.812668782893326
ES00289,14.60422292763111,29.20844585526222
ES00290,7.302111463815555,14.60422292763111
ES00291,7.302111463815555,14.60422292763111
ES00292,21.906334391446663,43.812668782893326
ES00297,0.0011123462939674018,0.0022246925879348036
ES00298,18.180202475356165,36.36040495071233
ES00299,54.54060742606849,109.08121485213698
ES00309,0.001148544719928731,0.002297089439857462
ES00311,3.1931039485972597,6.386207897194519
ES00312,11.362626547097603,22.725253094195207
ES00328,0.0013706899016235762,0.0027413798032471523
ES00330,0.005482759606494304,0.010965519212988608
ES00331,0.0024921634574974114,0.004984326914994823
ES00332,0.0012336209114612185,0.002467241822922437
ES00337,0.0011974755542983454,0.002394951108596691
ES00351,475.67901164944624,951.3580232988926
ES00353,396.6808080817785,793.3616161635568
ES00354,317.1193410996308,634.2386821992616
ES00357,31.167777777854027,62.335555555708055
ES00358,31.167777777854027,62.335555555708055
ES00362,0.006197670904944876,0.012395341809889751
ES00364,0.00629777955753166,0.01259555911506332
ES00365,0.0070850020022231175,0.014170004004446235
ES00367,77.91944444463508,155.83888888927015
ES00368,46.75166666678104,93.50333333356208
ES00385,1.6141270305620175,3.228254061124035
ES00386,5.217380300806521,10.434760601613043
ES00387,0.7173897913608966,1.4347795827217933
ES00390,0.001439943470445751,0.0028798869408915026
ES00392,0.004319830411337253,0.008639660822674505
ES00393,0.0035415262313970726,0.007083052462794145
ES00394,0.005538954804960303,0.011077909609920606
ES00395,0.004431163843968243,0.008862327687936485
ES00396,0.010124820277161148,0.020249640554322296
ES00397,0.040908364756206655,0.08181672951241331
ES00398,0.0013838825924118716,0.0027677651848237433
ES00401,0.0033749400923870493,0.0067498801847740994
ES00412,1.0760846870413452,2.1521693740826904
ES00413,0.3586948956804483,0.7173897913608966
ES00414,1.793474478402242,3.586948956804484
ES00415,5.217380300806521,10.434760601613043
ES00416,0.5367650104074368,1.0735300208148737
ES00417,1.4347795827217933,2.8695591654435866
ES00418,2.6453802405231133,5.2907604810462265
ES00419,17.293279612879132,34.586559225758265
ES00420,21.13623063796339,42.27246127592678
ES00421,1.9214755125421261,3.8429510250842522
ES00422,24.636199968624496,49.27239993724899
ES00423,83.7630798933233,167.5261597866466
ES00432,0.003712467781587818,0.007424935563175636
ES00435,78.83583989959838,157.67167979919677
ES00436,143.33789072654255,286.6757814530851
ES00437,39.4179199497992,78.8358398995984
ES00450,88.23967876916225,176.4793575383245
ES00451,16.177274441013083,32.354548882026165
ES00453,19.7089599748996,39.4179199497992
ES00458,0.040283307672438574,0.08056661534487715
ES00462,2.3950912221144067,4.7901824442288135
ES00463,3.1934549628192093,6.3869099256384185
ES00470,31.815354331873284,63.63070866374657
ES00471,66.10982718311334,132.21965436622668
ES00473,4.545050618839041,9.090101237678082
ES00474,13.635151856517123,27.270303713034245
ES00476,0.0011713790158500777,0.0023427580317001554
ES00480,82.63728397889165,165.2745679577833
ES00481,20.976771440189015,41.95354288037803
ES00482,18.180202475356165,36.36040495071233
ES00483,99.16474077467,198.32948154934
ES00485,11.362626547097603,22.725253094195207
ES00486,66.10982718311334,132.21965436622668
ES00487,3.1286860073868747,6.257372014773749
ES00488,40.905455569551364,81.81091113910273
