Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
ES431,Windonshore,2020-2025,1.9762786990391878
ES431,Windonshore,2025-2030,2.1737720936123863
ES432,Windonshore,2020-2025,8.568501947771272
ES432,Windonshore,2025-2030,12.261579375744349
ES511,Windonshore,2020-2025,0.7868950323167508
ES511,Windonshore,2025-2030,0.7092289537788766
ES512,Windonshore,2020-2025,0.0001008645072086907
ES512,Windonshore,2025-2030,0.0001315748957642898
ES513,Windonshore,2020-2025,8.147289797826579
ES513,Windonshore,2025-2030,3.7445329902778908
ES514,Windonshore,2020-2025,28.92305741929236
ES514,Windonshore,2025-2030,15.19056889596116
ES521,Windonshore,2020-2025,12.838114768518393
ES521,Windonshore,2025-2030,10.832296342838818
ES522,Windonshore,2020-2025,93.88832644882957
ES522,Windonshore,2025-2030,43.91651314320734
ES523,Windonshore,2020-2025,63.60887977991256
ES523,Windonshore,2025-2030,40.969059526297755
ES532,Windonshore,2020-2025,0.000383778384371001
ES532,Windonshore,2025-2030,0.0004500961288056332
ES611,Windonshore,2020-2025,101.90778927064908
ES611,Windonshore,2025-2030,96.21819902536521
ES612,Windonshore,2020-2025,657.5031843929881
ES612,Windonshore,2025-2030,921.6910827785398
ES613,Windonshore,2020-2025,0.00010081516505242377
ES613,Windonshore,2025-2030,0.0001462923013514385
ES614,Windonshore,2020-2025,56.35266328864153
ES614,Windonshore,2025-2030,64.85603691852555
ES615,Windonshore,2020-2025,34.12134087284766
ES615,Windonshore,2025-2030,59.5279755911196
ES616,Windonshore,2020-2025,5.2264890191993795e-05
ES616,Windonshore,2025-2030,9.30126576028121e-05
ES617,Windonshore,2020-2025,82.22370035085706
ES617,Windonshore,2025-2030,104.42349447534892
ES618,Windonshore,2020-2025,11.078880953388246
ES618,Windonshore,2025-2030,20.72291595143761
ES620,Windonshore,2020-2025,51.15521171729578
ES620,Windonshore,2025-2030,44.01219814147664
EU,Windonshore,2020-2025,125.26301212189335
EU,Windonshore,2025-2030,1372.456578529662
France,Windonshore,2020-2025,0.00047135325226510126
