Node	Generator	Period	genInvCap
ES211	Waste	1	1.5618064348153872e-05
ES211	Waste	2	2.601041342508879e-05
ES211	Windonshore	1	7.138868340916815e-08
ES211	Windonshore	2	8.22935868490727e-09
ES212	BioCCS	1	3.20773537433508e-05
ES212	BioCCS	2	1.2481244839033687e-07
ES212	CoalCCS	1	0.0
ES212	CoalCCS	2	0.0
ES212	GasCCGT	1	1.630465438158744e-09
ES212	GasCCGT	2	4.32421084670385e-08
ES212	GasCCS	1	7.853511404480883e-07
ES212	GasCCS	2	8.070738856067846e-07
ES212	GasOCGT	1	9.045031632787103e-09
ES212	GasOCGT	2	5.2226467368806596e-08
ES212	Lignite	1	2.5398222367461933e-06
ES212	Lignite	2	1.2585802694597532e-06
ES212	Solar	1	0.0
ES212	Solar	2	0.0
ES212	Waste	1	1.4303107164468843e-05
ES212	Waste	2	1.7289903036444067e-05
ES212	Windonshore	1	1.826042108632464e-07
ES212	Windonshore	2	1.0418971429188115e-07
ES213	Bio	1	1.9005356593186273e-08
ES213	Bio	2	2.072661815716906e-09
ES213	BioCCS	1	4.2112410250980064e-05
ES213	BioCCS	2	9.19379527349742e-08
ES213	CoalCCS	1	0.0
ES213	CoalCCS	2	0.0
ES213	GasCCGT	1	9.742331501459388e-09
ES213	GasCCGT	2	4.830046709810374e-08
ES213	GasCCS	1	7.863935319380051e-07
ES213	GasCCS	2	8.091169850642663e-07
ES213	GasOCGT	1	3.630198743122156e-08
ES213	GasOCGT	2	4.751511512920035e-08
ES213	Hydroregulated	1	57.30866290795353
ES213	Hydroregulated	2	2.0831973497758073e-07
ES213	Hydrorun-of-the-river	1	0.0
ES213	Hydrorun-of-the-river	2	0.0
ES213	Lignite	1	2.5409348229283003e-06
ES213	Lignite	2	1.2510290705755267e-06
ES213	Solar	1	0.0
ES213	Solar	2	0.0
ES213	Waste	1	7.740811874161323e-07
ES213	Waste	2	1.6888127343399167e-08
ES213	Windonshore	1	4.0419145364012365e-08
ES213	Windonshore	2	60.698502835024804
ES220	Bio	1	3.726645852125973e-09
ES220	Bio	2	1.9843766340808288e-09
ES220	BioCCS	1	2.179516093891984e-05
ES220	BioCCS	2	1.1471515766837376e-06
ES220	CoalCCS	1	0.0
ES220	CoalCCS	2	0.0
ES220	GasCCGT	1	1.95643964575977e-09
ES220	GasCCGT	2	5.2580623070906844e-08
ES220	GasCCS	1	7.821112813989576e-07
ES220	GasCCS	2	8.05184615325946e-07
ES220	GasOCGT	1	2.435287796961552e-08
ES220	GasOCGT	2	7.22108975080122e-08
ES220	Lignite	1	2.537321667223693e-06
ES220	Lignite	2	1.2547773755955256e-06
ES220	Solar	1	3.210909369499859e-07
ES220	Solar	2	1.157993157002807e-07
ES220	Waste	1	6.919426901133542e-09
ES220	Waste	2	3.697646610756253e-09
ES220	Windonshore	1	243.87301096454894
ES220	Windonshore	2	413.17397544544446
ES230	BioCCS	1	4.048873889261982e-05
ES230	BioCCS	2	2.6217984083083327e-07
ES230	CoalCCS	1	0.0
ES230	CoalCCS	2	0.0
ES230	GasCCGT	1	2.446862819893339e-09
ES230	GasCCGT	2	3.269520984160515e-08
ES230	GasCCS	1	7.855703784497635e-07
ES230	GasCCS	2	8.119042123998606e-07
ES230	GasOCGT	1	4.8093887504661015e-09
ES230	GasOCGT	2	6.349062962718087e-08
ES230	Hydrorun-of-the-river	1	2.3389998879541656
ES230	Hydrorun-of-the-river	2	8.438643758565976e-09
ES230	Lignite	1	2.539866461048263e-06
ES230	Lignite	2	1.2506305545040454e-06
ES230	Solar	1	5.469464525731382e-08
ES230	Solar	2	1.379232671480146e-06
ES230	Waste	1	1.457700186843139e-05
ES230	Waste	2	2.9206189483215344e-05
ES230	Windonshore	1	2.0190088889648905e-07
ES230	Windonshore	2	1.1718820165792214e-07
ES241	BioCCS	1	1.2568059701426591e-05
ES241	BioCCS	2	5.575401721921188e-06
ES241	CoalCCS	1	0.0
ES241	CoalCCS	2	0.0
ES241	GasCCS	1	7.759213219594166e-07
ES241	GasCCS	2	8.041387043933158e-07
ES241	GasOCGT	1	1.9394362022524973e-09
ES241	GasOCGT	2	5.5877353489125477e-08
ES241	Hydroregulated	1	8.303501886075537e-08
ES241	Hydroregulated	2	2.8613386060495887e-09
ES241	Hydrorun-of-the-river	1	6.628283699683379e-09
ES241	Hydrorun-of-the-river	2	6.093296378246306e-09
ES241	Lignite	1	2.5320449133522868e-06
ES241	Lignite	2	1.2513314323947755e-06
ES241	Solar	1	2.1319995369140088e-07
ES241	Solar	2	928.9896240293559
ES241	Waste	1	9.041154481132774e-06
ES241	Waste	2	1.2456891543014936e-05
ES241	Windonshore	1	4332.377995454141
ES241	Windonshore	2	9.182828198213677e-08
ES242	BioCCS	1	1.6367120119696844e-05
ES242	BioCCS	2	9.438275055429449e-06
ES242	CoalCCS	1	0.0
ES242	CoalCCS	2	0.0
ES242	GasCCGT	1	2.6297096805854088e-09
ES242	GasCCGT	2	8.585905158641363e-08
ES242	GasCCS	1	7.79110710380556e-07
ES242	GasCCS	2	8.110929609739743e-07
ES242	GasOCGT	1	2.292327371333605e-09
ES242	GasOCGT	2	5.133531695454427e-09
ES242	Lignite	1	2.534417285239266e-06
ES242	Lignite	2	1.2443140629246867e-06
ES242	Solar	1	6712.366979837919
ES242	Solar	2	1.5610265481827526e-06
ES242	Waste	1	1.0272483123401581e-05
ES242	Waste	2	2.1566687484151574e-05
ES242	Windonshore	1	1.0391909199825022e-07
ES242	Windonshore	2	9.986474340735872e-08
ES243	BioCCS	1	1.5427783392365714e-05
ES243	BioCCS	2	7.0494104759558875e-06
ES243	CoalCCS	1	0.0
ES243	CoalCCS	2	0.0
ES243	GasCCGT	1	1.8887185807135876e-09
ES243	GasCCGT	2	4.760421323026618e-08
ES243	GasCCS	1	7.78455917541766e-07
ES243	GasCCS	2	8.082194236106519e-07
ES243	GasOCGT	1	5.143456075410356e-08
ES243	GasOCGT	2	1.158924702163773e-07
ES243	Hydroregulated	1	1.9203639567422215e-08
ES243	Hydroregulated	2	2.0897293929916596e-08
ES243	Hydrorun-of-the-river	1	10.568999769890127
ES243	Hydrorun-of-the-river	2	1.3394663503210611e-08
ES243	Lignite	1	2.5342280477580517e-06
ES243	Lignite	2	1.2506818050361098e-06
ES243	Solar	1	9.013456292450428e-08
ES243	Solar	2	3.577398375954166e-06
ES243	Waste	1	1.006077028551304e-05
ES243	Waste	2	1.712752214503178e-05
ES243	Windonshore	1	4935.5539942010355
ES243	Windonshore	2	854.1807435236452
ES300	BioCCS	1	0.030266855761268835
ES300	BioCCS	2	7.844622803928359e-07
ES300	CoalCCS	1	0.0
ES300	CoalCCS	2	0.0
ES300	GasCCGT	1	1.504396885628344e-08
ES300	GasCCGT	2	5.042243317730242e-09
ES300	GasCCS	1	7.889577261331101e-07
