Node	Storage	Period	storPWInvCap
ES514	HydroPumpStorage	1	0.0
ES514	HydroPumpStorage	2	0.0
ES514	Li-Ion_BESS	1	0.00010244290706551087
ES514	Li-Ion_BESS	2	0.0009238621550361665
ES521	HydroPumpStorage	1	0.0
ES521	HydroPumpStorage	2	0.0
ES521	Li-Ion_BESS	1	0.0001185391661933658
ES521	Li-Ion_BESS	2	596.07251045206
ES522	HydroPumpStorage	1	0.0
ES522	HydroPumpStorage	2	0.0
ES522	Li-Ion_BESS	1	0.0001063773591592742
ES522	Li-Ion_BESS	2	0.0023958860205127116
ES523	HydroPumpStorage	1	287.4749011236586
ES523	HydroPumpStorage	2	1.4227546076297436e-05
ES523	Li-Ion_BESS	1	0.0001019182550535175
ES523	Li-Ion_BESS	2	0.0010991988663685982
ES532	HydroPumpStorage	1	0.0
ES532	HydroPumpStorage	2	0.0
ES532	Li-Ion_BESS	1	0.00011280238150813518
ES532	Li-Ion_BESS	2	38.09586264608935
ES611	HydroPumpStorage	1	0.0
ES611	HydroPumpStorage	2	0.0
ES611	Li-Ion_BESS	1	0.0001383147620361132
ES611	Li-Ion_BESS	2	1108.0848957965238
ES612	HydroPumpStorage	1	0.0
ES612	HydroPumpStorage	2	0.0
ES612	Li-Ion_BESS	1	0.00010676365463681816
ES612	Li-Ion_BESS	2	0.0008427498281898191
ES613	HydroPumpStorage	1	0.0
ES613	HydroPumpStorage	2	0.0
ES613	Li-Ion_BESS	1	0.0001322433933321067
ES613	Li-Ion_BESS	2	332.24133399745887
ES614	HydroPumpStorage	1	0.0
ES614	HydroPumpStorage	2	0.0
ES614	Li-Ion_BESS	1	0.00013554032205847838
ES614	Li-Ion_BESS	2	1519.7999928902013
ES615	HydroPumpStorage	1	0.0
ES615	HydroPumpStorage	2	0.0
ES615	Li-Ion_BESS	1	0.00010926868898795821
ES615	Li-Ion_BESS	2	0.0014558627238582327
ES616	HydroPumpStorage	1	0.0
ES616	HydroPumpStorage	2	0.0
ES616	Li-Ion_BESS	1	0.00011903582150001385
ES616	Li-Ion_BESS	2	126.4725387677276
ES617	HydroPumpStorage	1	571.9999821803522
ES617	HydroPumpStorage	2	1.5257595479696276e-07
ES617	Li-Ion_BESS	1	0.0001121968550633554
ES617	Li-Ion_BESS	2	0.0011928238083784726
ES618	HydroPumpStorage	1	313.9999845246323
ES618	HydroPumpStorage	2	1.1670776254305807e-07
ES618	Li-Ion_BESS	1	0.00011662268082590021
ES618	Li-Ion_BESS	2	0.004385636267396334
ES620	HydroPumpStorage	1	0.0
ES620	HydroPumpStorage	2	0.0
ES620	Li-Ion_BESS	1	0.00011846942754115109
ES620	Li-Ion_BESS	2	0.0012547669866997276
EU	HydroPumpStorage	1	6.883055903017521e-09
EU	HydroPumpStorage	2	2.5945687438344426e-08
EU	Li-Ion_BESS	1	0.00015336428951925304
EU	Li-Ion_BESS	2	63182.47309816402
France	HydroPumpStorage	1	1.551688910694793e-08
France	HydroPumpStorage	2	2.777230274716811e-08
France	Li-Ion_BESS	1	3.760801479363988e-05
France	Li-Ion_BESS	2	345.87365212410236
Portugal	HydroPumpStorage	1	4.4602484194911085e-06
Portugal	HydroPumpStorage	2	2.631270283660154e-07
Portugal	Li-Ion_BESS	1	7.294320343907511e-05
Portugal	Li-Ion_BESS	2	0.0005982743311071624
