Period,genInstalledCap_MW
,Lignite,LigniteCCS,Coal,CoalCCS,GasOCGT,GasCCGT,GasCCS,Oil,Nuclear,Wave,Geo,Hydroregulated,Hydrorun-of-the-river,Bio,Windonshore,Windoffshoregrounded,Windoffshorefloating,Solar,BioCCS,Waste
Initial,52316.56,0.0,61704.909999999996,0.0,42023.587,184781.344,0.0,14774.309,103746.79999999999,251.09,953.8,96552.03899999999,59624.759,32864.97,217423.16999999998,45085.9,0.0,216154.15899999999,0.0,6831.319
2020-2025,52316.56196700811,1.6056296788157723e-05,61704.909999999996,0.0,42023.58704401682,184781.3461615467,0.0007313614749245253,14774.309015917617,104362.33083455134,2007.095174517193,2042.099994549476,96863.35570181685,74462.38624386438,51380.11462915951,249620.1584469541,295097.60301872506,0.0001571340539666525,573905.4819563142,12528.525236838055,6961.088765288687
2025-2030,32369.45397410167,2.1521167021312927e-05,48874.34443026213,4.1091876389456414e-07,37056.58799094867,211355.65332492662,0.0016361612136296278,11646.507535605677,91066.56629357976,2307.09000163361,2042.099994495737,96863.35570434543,74462.986230016,46104.24481995695,217087.03076652574,316607.85486260906,0.00025377396734002167,882291.3736693109,49489.75024918489,6961.121673458408
""
Period,genExpectedAnnualProduction_GWh
,Lignite,LigniteCCS,Coal,CoalCCS,GasOCGT,GasCCGT,GasCCS,Oil,Nuclear,Wave,Geo,Hydroregulated,Hydrorun-of-the-river,Bio,Windonshore,Windoffshoregrounded,Windoffshorefloating,Solar,BioCCS,Waste
2020-2025,510.87279732541214,5.607173181153308e-05,4398.8663921465,0.0,6115.346222352598,344013.90760616795,0.002694634351023008,187.81918429564098,593945.4637132394,8087.786534609598,15712.945566307964,226264.37274495448,289939.54279152653,65631.86029835888,518906.72782705387,913228.6626270381,0.00037093199747339405,681805.7068303617,85475.92175315936,32516.89897501799
2025-2030,223.6325528850294,7.399414907517995e-05,922.9656682074449,2.689663076121714e-06,4286.652974804278,400786.3853741282,0.006023828275634342,66.95380164377148,522057.1375998628,9251.989010923919,15682.884100356267,224262.58081598085,294001.7209524754,34281.71491190477,458579.0506063744,963391.8185527066,0.0006327349721929335,1085390.0532621343,304832.5428588046,36277.10518879834
""
Period,storPWInstalledCap_MW
,HydroPumpStorage,Li-Ion_BESS
2020-2025,63892.72853728328,2001.8000394861965
2025-2030,74742.97464690087,90287.64994348232
""
Period,storENInstalledCap_MW
,HydroPumpStorage,Li-Ion_BESS
2020-2025,2604873.394992514,4003.600078972393
2025-2030,2604873.3949976903,180575.29988696464
""
Period,storExpectedAnnualDischarge_GWh
,HydroPumpStorage,Li-Ion_BESS
2020-2025,127798.19485145458,1494.881055556337
2025-2030,166538.48267936282,68461.94052380152
