Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
ES111,Bio,2020-2025,1.4650775742685754e-07,143.50900014650773,0.062067559694792024,0.1858655823338182,78.0275400759994
ES111,Bio,2025-2030,1.1108762680396601e-06,120.47125606362472,0.05795283309323653,0.5891114577219312,61.159259213845154
ES111,BioCCS,2020-2025,0.00044173994297789555,0.00044173994297789555,0.7395323054683519,437.2130935078771,0.002861725196003616
ES111,BioCCS,2025-2030,0.0002458821799229447,0.0006875968917250558,0.702888101891196,-24.231195086774555,0.004233740185036387
ES111,Coal,2020-2025,0.0,816.762,1.086158818821641e-08,0.0,7.771287262802801e-05
ES111,Coal,2025-2030,1.8225743994437829e-09,646.9291877336221,0.0007854041423133868,0.0008530632924475627,4.450963567145734
ES111,CoalCCS,2020-2025,0.0,0.0,0,0.0,0.0
ES111,CoalCCS,2025-2030,6.48127189469588e-08,6.481271752866753e-08,0.7143940282817596,0.07061597203931372,4.056039288265249e-07
ES111,GasCCGT,2020-2025,2.7749968093753053e-06,1129.2600027749968,0.10640273114439047,1.8754133088368807,1052.569612574265
ES111,GasCCGT,2025-2030,1.5511835078965213e-06,946.0320223734711,0.1264528106476392,0.44090367597874275,1047.9448557601286
ES111,GasCCS,2020-2025,1.424416913601461e-05,1.424416913601461e-05,0.41961872712365156,27.849484214404676,5.23595722668669e-05
ES111,GasCCS,2025-2030,1.7762219292124658e-05,3.1955926077119613e-05,0.4192617490226723,13.766937857335277,0.00011736558173849541
ES111,GasOCGT,2020-2025,1.2041163984598957e-06,214.0600012041164,6.131670924157243e-08,0.6286903156813031,0.00011497898452177091
ES111,GasOCGT,2025-2030,2.175215363012078e-06,183.20732514437643,0.0016735781658898795,0.48648754756337165,2.6859191857281846
ES111,Hydroregulated,2020-2025,5.027472980145831e-07,334.0940005027473,0.2747950746872421,0.5561514295915286,804.2326997894388
ES111,Hydroregulated,2025-2030,4.147498635864474e-08,334.0940004937589,0.2726386852954822,0.02015596445903033,797.9216737632053
ES111,Hydrorun-of-the-river,2020-2025,0.0,0.0,0,0.0,0.0
ES111,Hydrorun-of-the-river,2025-2030,0.0,0.0,0,0.0,0.0
ES111,Lignite,2020-2025,4.183183278076771e-05,4.183183278076771e-05,0.10779848012481344,50.39318453901664,3.950241403271456e-05
ES111,Lignite,2025-2030,2.5819660403285393e-05,6.762626200840722e-05,0.09107133932786592,13.43444930450266,5.395121287242356e-05
ES111,Oil,2020-2025,2.5187912357207456e-07,249.09700025187914,1.5871267051752968e-08,1.2618719415028898,3.463252871202421e-05
ES111,Oil,2025-2030,1.2325390862153157e-06,196.36181311567177,0.0004846554644586428,2.7118537746353297,0.8336701534606503
