Node,StorageType,Period,storPWInvCap_MW,storPWInstalledCap_MW,storENInvCap_MWh,storENInstalledCap_MWh,DiscountedInvestmentCostPWEN_EuroPerMWMWh,ExpectedAnnualDischargeVolume_GWh,ExpectedAnnualLossesChargeDischarge_GWh
ES111,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES111,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES111,Li-Ion_BESS,2020-2025,0.001326610060528783,0.001326610060528783,0.002653220121057566,0.002653220121057566,595.4783698719502,0.003590261875265966,0.00012647919253986755
ES111,Li-Ion_BESS,2025-2030,0.01637203414541876,0.01769861897477177,0.03274406829083629,0.03539723794954354,2549.983612874644,0.02764801137931827,0.0009739958773663499
ES112,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES112,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES112,Li-Ion_BESS,2020-2025,0.001387096243121305,0.001387096243121305,0.00277419248624261,0.00277419248624261,622.6289354236809,0.0037063334197792743,0.00013056818752860716
ES112,Li-Ion_BESS,2025-2030,0.040128228440368105,0.041515299452314074,0.08025645688073625,0.08303059890462815,6250.067891854721,0.05699882936889002,0.002007978992776965
ES113,HydroPumpStorage,2020-2025,261.62259043198924,587.6225904319892,1.9786239136010408e-07,61011.39900019786,213212439.16536498,1364.4292003474584,288.04616451098053
ES113,HydroPumpStorage,2025-2030,62.49702620536234,650.1196166121204,4.060963590616096e-07,61011.399000553494,22375392.860835508,1676.4043772776806,353.9075907518151
ES113,Li-Ion_BESS,2020-2025,0.0014424713455761012,0.0014424713455761012,0.0028849426911522025,0.0028849426911522025,647.4852792148102,0.003700636588473239,0.00013036750688350812
ES113,Li-Ion_BESS,2025-2030,0.01879929398403924,0.020241740098440007,0.03759858796807882,0.040483480196880015,2928.0351584368113,0.029269859525039226,0.0010311310787911926
ES114,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES114,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES114,Li-Ion_BESS,2020-2025,0.00139849598055647,0.00139849598055647,0.00279699196111294,0.00279699196111294,627.7459605894289,0.003697067466030498,0.00013024175739106294
ES114,Li-Ion_BESS,2025-2030,0.10352355333591994,0.1049220240853007,0.20704710667183907,0.2098440481706014,16124.04190025604,0.12852936823767874,0.004527887320949514
ES120,HydroPumpStorage,2020-2025,186.9997869594132,373.9997869594132,6.075017154216766e-06,34997.33600607502,152397698.81989804,857.5855597424799,181.04584038442914
ES120,HydroPumpStorage,2025-2030,1.3122412268903796e-06,373.99978824642324,4.055848904876938e-07,34997.336006430145,0.4744174120781645,936.2014696718145,197.64253248194055
ES120,Li-Ion_BESS,2020-2025,0.0013755224914977378,0.0013755224914977378,0.0027510449829954756,0.0027510449829954756,617.4338001272115,0.003635130597109507,0.00012805982479459433
ES120,Li-Ion_BESS,2025-2030,208.91169525011983,208.9130707473802,417.82339050023967,417.8261414947604,32538497.946801823,202.61260391909448,7.13772320399232
ES130,HydroPumpStorage,2020-2025,166.4269281949821,712.4269281949821,1.7706770449876785e-07,102184.73500017707,135631602.93232304,1580.2941749694414,333.61765915509244
ES130,HydroPumpStorage,2025-2030,359.565153991177,1071.9920821609278,4.0563141491867077e-07,102184.73500053224,128732710.44629647,2637.489171676528,556.8032695687153
ES130,Li-Ion_BESS,2020-2025,0.0013488221902420384,0.0013488221902420384,0.002697644380484077,0.002697644380484077,605.4487772935263,0.0036088476633362003,0.00012713391895250424
ES130,Li-Ion_BESS,2025-2030,0.03562590429185314,0.03697470125091992,0.07125180858370664,0.07394940250183984,5548.820099638532,0.051307635615696824,0.0018074872004623626
ES211,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES211,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES211,Li-Ion_BESS,2020-2025,0.0013871151595904142,0.0013871151595904142,0.0027742303191808284,0.0027742303191808284,622.637426500693,0.003726247692761196,0.00013126973394732148
ES211,Li-Ion_BESS,2025-2030,0.09683922267141888,0.09822631259983405,0.1936784453428383,0.1964526251996681,15082.941356113692,0.12716658542517645,0.004479878628077726
ES212,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES212,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES212,Li-Ion_BESS,2020-2025,0.0014628870589072007,0.0014628870589072007,0.0029257741178144014,0.0029257741178144014,656.6493252716676,0.003906620852294018,0.00013762400296916743
ES212,Li-Ion_BESS,2025-2030,0.1901154555003393,0.19157831732807118,0.3802309110006792,0.38315663465614236,29610.938492681344,0.23854668064649348,0.008403624139907447
ES213,HydroPumpStorage,2020-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES213,HydroPumpStorage,2025-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES213,Li-Ion_BESS,2020-2025,0.0014120027989996215,0.0014120027989996215,0.002824005597999243,0.002824005597999243,633.8087958324229,0.0037674318645272175,0.0001327205943708633
