Node	Storage	Period	storENInvCap
ES514	HydroPumpStorage	2	0.0
ES514	Li-Ion_BESS	1	0.002911607680785349
ES514	Li-Ion_BESS	2	0.03367622259500352
ES521	HydroPumpStorage	1	0.0
ES521	HydroPumpStorage	2	0.0
ES521	Li-Ion_BESS	1	0.0031714546269122554
ES521	Li-Ion_BESS	2	387.3157894554016
ES522	HydroPumpStorage	1	0.0
ES522	HydroPumpStorage	2	0.0
ES522	Li-Ion_BESS	1	0.0030602851688386356
ES522	Li-Ion_BESS	2	0.13739618494226896
ES523	HydroPumpStorage	1	2.494853456463386e-06
ES523	HydroPumpStorage	2	4.0277587839323413e-07
ES523	Li-Ion_BESS	1	0.0027684144184892227
ES523	Li-Ion_BESS	2	0.03443783392167801
ES532	HydroPumpStorage	1	0.0
ES532	HydroPumpStorage	2	0.0
ES532	Li-Ion_BESS	1	0.003026224161994852
ES532	Li-Ion_BESS	2	165.22294951914273
ES611	HydroPumpStorage	1	0.0
ES611	HydroPumpStorage	2	0.0
ES611	Li-Ion_BESS	1	0.0035445689281395926
ES611	Li-Ion_BESS	2	2692.155450647546
ES612	HydroPumpStorage	1	0.0
ES612	HydroPumpStorage	2	0.0
ES612	Li-Ion_BESS	1	0.0030183913256749896
ES612	Li-Ion_BESS	2	0.032895156425188816
ES613	HydroPumpStorage	1	0.0
ES613	HydroPumpStorage	2	0.0
ES613	Li-Ion_BESS	1	0.003341067864633474
ES613	Li-Ion_BESS	2	273.57569864886153
ES614	HydroPumpStorage	1	0.0
ES614	HydroPumpStorage	2	0.0
ES614	Li-Ion_BESS	1	0.003407529834775768
ES614	Li-Ion_BESS	2	2485.938157247105
ES615	HydroPumpStorage	1	0.0
ES615	HydroPumpStorage	2	0.0
ES615	Li-Ion_BESS	1	0.003029620596208728
ES615	Li-Ion_BESS	2	0.04093339600233491
ES616	HydroPumpStorage	1	0.0
ES616	HydroPumpStorage	2	0.0
ES616	Li-Ion_BESS	1	0.0030721637042156096
ES616	Li-Ion_BESS	2	1.4560087533083879
ES617	HydroPumpStorage	1	1.77959790448917e-07
ES617	HydroPumpStorage	2	4.065793007942671e-07
ES617	Li-Ion_BESS	1	0.0030572595646654096
ES617	Li-Ion_BESS	2	0.03215011632913545
ES618	HydroPumpStorage	1	7.212220225483179e-07
ES618	HydroPumpStorage	2	4.061497805413235e-07
ES618	Li-Ion_BESS	1	0.003092856371558081
ES618	Li-Ion_BESS	2	0.22627962090285347
ES620	HydroPumpStorage	1	0.0
ES620	HydroPumpStorage	2	0.0
ES620	Li-Ion_BESS	1	0.0031426863867257617
ES620	Li-Ion_BESS	2	0.11270540911511624
EU	HydroPumpStorage	1	1.6670674085617065e-06
EU	HydroPumpStorage	2	6.057464370586842e-07
EU	Li-Ion_BESS	1	0.01028241283888843
EU	Li-Ion_BESS	2	96156.17892522091
France	HydroPumpStorage	1	2.0340667106211185e-07
France	HydroPumpStorage	2	4.467472326878876e-07
France	Li-Ion_BESS	1	0.0014808963469541531
France	Li-Ion_BESS	2	514.4406923844535
Italy	HydroPumpStorage	1	3862.5999799099445
Italy	HydroPumpStorage	2	3.5840099611999735e-07
Italy	Li-Ion_BESS	1	4003.4489949067115
Italy	Li-Ion_BESS	2	61119.67089858666
Portugal	HydroPumpStorage	1	1.800362952053547e-07
Portugal	HydroPumpStorage	2	4.125856123698229e-07
Portugal	Li-Ion_BESS	1	0.0021428192182800835
Portugal	Li-Ion_BESS	2	0.036916832524122464
