Node	Storage	Period	storENInvCap
ES514	HydroPumpStorage	1	0.0
ES514	HydroPumpStorage	2	0.0
ES514	Li-Ion_BESS	1	0.00042609837858896386
ES514	Li-Ion_BESS	2	0.00946468134581545
ES521	HydroPumpStorage	1	0.0
ES521	HydroPumpStorage	2	0.0
ES521	Li-Ion_BESS	1	0.00044592550231693914
ES521	Li-Ion_BESS	2	0.03321965135959532
ES522	HydroPumpStorage	1	0.0
ES522	HydroPumpStorage	2	0.0
ES522	Li-Ion_BESS	1	0.0004342777665300712
ES522	Li-Ion_BESS	2	0.012698909275610511
ES523	HydroPumpStorage	1	4.547009676498331e-08
ES523	HydroPumpStorage	2	1.9978989130464847e-07
ES523	Li-Ion_BESS	1	0.000428552595108493
ES523	Li-Ion_BESS	2	0.007303735815812498
ES532	HydroPumpStorage	1	0.0
ES532	HydroPumpStorage	2	0.0
ES532	Li-Ion_BESS	1	0.0004402303767027418
ES532	Li-Ion_BESS	2	0.017032427093562993
ES611	HydroPumpStorage	1	0.0
ES611	HydroPumpStorage	2	0.0
ES611	Li-Ion_BESS	1	0.00046691889445799663
ES611	Li-Ion_BESS	2	1009.9467559695871
ES612	HydroPumpStorage	1	0.0
ES612	HydroPumpStorage	2	0.0
ES612	Li-Ion_BESS	1	0.0004389779317438923
ES612	Li-Ion_BESS	2	0.005012700500001392
ES613	HydroPumpStorage	1	0.0
ES613	HydroPumpStorage	2	0.0
ES613	Li-Ion_BESS	1	0.00045652802219828357
ES613	Li-Ion_BESS	2	0.247272094751762
ES614	HydroPumpStorage	1	0.0
ES614	HydroPumpStorage	2	0.0
ES614	Li-Ion_BESS	1	0.00046900661297610325
ES614	Li-Ion_BESS	2	814.9198472241167
ES615	HydroPumpStorage	1	0.0
ES615	HydroPumpStorage	2	0.0
ES615	Li-Ion_BESS	1	0.00043441618246711935
ES615	Li-Ion_BESS	2	0.004190415550414144
ES616	HydroPumpStorage	1	0.0
ES616	HydroPumpStorage	2	0.0
ES616	Li-Ion_BESS	1	0.00044644641548693384
ES616	Li-Ion_BESS	2	0.04093472010647455
ES617	HydroPumpStorage	1	4.787597678444956e-07
ES617	HydroPumpStorage	2	1.0504229859061227e-07
ES617	Li-Ion_BESS	1	0.00044775953303677964
ES617	Li-Ion_BESS	2	0.008292844641960997
ES618	HydroPumpStorage	1	7.382404874078929e-07
ES618	HydroPumpStorage	2	1.0430397984132716e-07
ES618	Li-Ion_BESS	1	0.000450629980271486
ES618	Li-Ion_BESS	2	0.009555976528593132
ES620	HydroPumpStorage	1	0.0
ES620	HydroPumpStorage	2	0.0
ES620	Li-Ion_BESS	1	0.00045005942522717286
ES620	Li-Ion_BESS	2	0.015270601652741926
EU	HydroPumpStorage	1	2.3929285816848278e-05
EU	HydroPumpStorage	2	7.777954185796055e-06
EU	Li-Ion_BESS	1	0.0004396576533807956
EU	Li-Ion_BESS	2	16686.037163744408
