Node	Storage	Period	storPWInstalledCap
ES432	HydroPumpStorage	2	578.0000017474955
ES432	Li-Ion_BESS	1	0.00021487749964947987
ES432	Li-Ion_BESS	2	0.0037430867265661927
ES511	HydroPumpStorage	1	0.0
ES511	HydroPumpStorage	2	0.0
ES511	Li-Ion_BESS	1	0.00021819896419079268
ES511	Li-Ion_BESS	2	460.7983978811015
ES512	HydroPumpStorage	1	0.0
ES512	HydroPumpStorage	2	0.0
ES512	Li-Ion_BESS	1	0.00021608894258388843
ES512	Li-Ion_BESS	2	0.031242366781134814
ES513	HydroPumpStorage	1	1132.0000024518788
ES513	HydroPumpStorage	2	1132.0000033026986
ES513	Li-Ion_BESS	1	0.00021360745313217137
ES513	Li-Ion_BESS	2	0.005133187840653867
ES514	HydroPumpStorage	1	0.0
ES514	HydroPumpStorage	2	0.0
ES514	Li-Ion_BESS	1	0.00021304918929448193
ES514	Li-Ion_BESS	2	0.004945380738294116
ES521	HydroPumpStorage	1	0.0
ES521	HydroPumpStorage	2	0.0
ES521	Li-Ion_BESS	1	0.00022296275115846957
ES521	Li-Ion_BESS	2	0.016832779307047796
ES522	HydroPumpStorage	1	0.0
ES522	HydroPumpStorage	2	0.0
ES522	Li-Ion_BESS	1	0.0002171388832650356
ES522	Li-Ion_BESS	2	0.006566584397162074
ES523	HydroPumpStorage	1	2301.00000341343
ES523	HydroPumpStorage	2	2301.000005857197
ES523	Li-Ion_BESS	1	0.0002142762975542465
ES523	Li-Ion_BESS	2	0.0038661350815522816
ES532	HydroPumpStorage	1	0.0
ES532	HydroPumpStorage	2	0.0
ES532	Li-Ion_BESS	1	0.0002201151883513709
ES532	Li-Ion_BESS	2	0.00873631961122456
ES611	HydroPumpStorage	1	0.0
ES611	HydroPumpStorage	2	0.0
ES611	Li-Ion_BESS	1	0.00023345944722899832
ES611	Li-Ion_BESS	2	504.9736114351168
ES612	HydroPumpStorage	1	0.0
ES612	HydroPumpStorage	2	0.0
ES612	Li-Ion_BESS	1	0.00021948896587194614
ES612	Li-Ion_BESS	2	0.002725830091964331
ES613	HydroPumpStorage	1	0.0
ES613	HydroPumpStorage	2	0.0
ES613	Li-Ion_BESS	1	0.00022826401109914178
ES613	Li-Ion_BESS	2	0.12386430226307195
ES614	HydroPumpStorage	1	0.0
ES614	HydroPumpStorage	2	0.0
ES614	Li-Ion_BESS	1	0.00023450330648805163
ES614	Li-Ion_BESS	2	407.46015810624095
ES615	HydroPumpStorage	1	0.0
ES615	HydroPumpStorage	2	0.0
ES615	Li-Ion_BESS	1	0.00021720809123355967
ES615	Li-Ion_BESS	2	0.0023124067425324643
ES616	HydroPumpStorage	1	0.0
ES616	HydroPumpStorage	2	0.0
ES616	Li-Ion_BESS	1	0.00022322320774346692
ES616	Li-Ion_BESS	2	0.020690574137072638
ES617	HydroPumpStorage	1	572.0000012269065
ES617	HydroPumpStorage	2	572.0000027151431
ES617	Li-Ion_BESS	1	0.00022387976651838982
ES617	Li-Ion_BESS	2	0.004370292963590579
ES618	HydroPumpStorage	1	314.0000012984085
ES618	HydroPumpStorage	2	314.0000014392227
ES618	Li-Ion_BESS	1	0.000225314990135743
ES618	Li-Ion_BESS	2	0.00500329413052426
ES620	HydroPumpStorage	1	0.0
ES620	HydroPumpStorage	2	0.0
ES620	Li-Ion_BESS	1	0.00022502971261358643
ES620	Li-Ion_BESS	2	0.007860321415076296
EU	HydroPumpStorage	1	37739.00000103382
EU	HydroPumpStorage	2	37739.0000083907
EU	Li-Ion_BESS	1	0.0002198288266903978
EU	Li-Ion_BESS	2	8343.018801691906
France	HydroPumpStorage	1	5049.000000002642
France	HydroPumpStorage	2	5049.000001126875
France	Li-Ion_BESS	1	0.00017932585729149488
France	Li-Ion_BESS	2	0.0226735201749889
Italy	HydroPumpStorage	1	7256.000000048966
Italy	HydroPumpStorage	2	7256.000000489531
Italy	Li-Ion_BESS	1	0.00023164722825891215
Italy	Li-Ion_BESS	2	10717.983619699615
Portugal	HydroPumpStorage	1	2827.00000295714
Portugal	HydroPumpStorage	2	2827.000005429851
Portugal	Li-Ion_BESS	1	0.00022334081380356123
Portugal	Li-Ion_BESS	2	0.0023558460387888506
