Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
ES111,Bio,2020-2025,5.05058074062542e-07,143.50900050505805,0.10907636116791368,0.6486916247182136,137.12413063263966
ES111,Bio,2025-2030,4.7088849948652907e-07,120.47125581440181,0.09692462399084881,0.2562344564213652,102.28728906248192
ES111,BioCCS,2020-2025,9.297193415100396e-05,9.297193415100396e-05,0.869595551625514,-80.20926234092626,0.0007082283079863052
ES111,BioCCS,2025-2030,7.464297866609411e-07,9.370924002946952e-05,0.8628174145143789,-1.170332486051115,0.0007082807263774061
ES111,Coal,2020-2025,0.0,816.762,0.04265554589569098,0.0,305.1933978372627
ES111,Coal,2025-2030,9.967168608065176e-10,646.9291877357606,0.01612481089831548,0.0004665173433672128,91.3809107555182
ES111,CoalCCS,2020-2025,0.0,0.0,0,0.0,0.0
ES111,CoalCCS,2025-2030,3.352176364322699e-08,2.4384607458499136e-08,0.704369594862379,0.03764150116865948,1.50459798429449e-07
ES111,GasCCGT,2020-2025,5.513641226956354e-08,1129.2600000551365,0.1085428976154942,0.04240947786882201,1073.7408164891776
ES111,GasCCGT,2025-2030,5.068120640881203e-07,946.0320186414539,0.10125687255465056,0.16641113072090222,839.1400534471625
ES111,GasCCS,2020-2025,2.113420614376047e-06,2.113420614376047e-06,0.40516947375584367,4.250286996942723,7.5011312190071014e-06
ES111,GasCCS,2025-2030,2.5100303011854614e-08,2.119820511804023e-06,0.40309440171887445,0.022766389563408065,7.485312961183665e-06
ES111,GasOCGT,2020-2025,2.109494730048982e-06,214.06000210949475,3.123403785422325e-08,1.2691278633089242,5.856899391051677e-05
ES111,GasOCGT,2025-2030,5.083137940620489e-09,183.20732389572981,0.0007891439265558128,0.0013143307058139774,1.2664940553070438
ES111,Hydroregulated,2020-2025,5.318351554706169e-07,334.09400053183515,0.28411049354139606,0.5883291331253198,831.4957956915945
ES111,Hydroregulated,2025-2030,1.4233597562075027e-07,334.0940006559231,0.2800348618048529,0.06917226785911343,819.5677935787663
ES111,Hydrorun-of-the-river,2020-2025,0.0,0.0,0,0.0,0.0
ES111,Hydrorun-of-the-river,2025-2030,0.0,0.0,0,0.0,0.0
ES111,Lignite,2020-2025,1.2902890016851543e-05,1.2902890016851543e-05,0.23440366120600112,15.543610558817651,2.6494485622374105e-05
ES111,Lignite,2025-2030,4.82069979942828e-06,1.771446590807355e-05,0.23140735165190007,2.508299724166962,3.590949694142505e-05
ES111,Oil,2020-2025,1.0385495448244387e-07,249.09700010385495,4.981956783963247e-09,0.5202958116930069,1.0871076688302865e-05
ES111,Oil,2025-2030,7.915207019990941e-07,196.36181254273652,5.4803221805958376e-05,1.7415175124460702,0.09426863731091649
ES111,Solar,2020-2025,0.0,0.0,0,0.0,0.0
