Node	Generator	Period	genInstalledCap
ES212	GasCCS	1	2.1184776665212363e-06
ES212	GasCCS	2	2.124582313728708e-06
ES212	GasOCGT	1	3.620000052746131
ES212	GasOCGT	2	3.098246298220111
ES212	Lignite	1	1.289957509420461e-05
ES212	Lignite	2	1.7865784288457725e-05
ES212	Solar	1	0.0
ES212	Solar	2	0.0
ES212	Waste	1	0.00011206184487834552
ES212	Waste	2	0.00014719003169719918
ES212	Windonshore	1	18.841000005957632
ES212	Windonshore	2	15.082091666099696
ES213	Bio	1	81.80000007812409
ES213	Bio	2	68.66850624213959
ES213	BioCCS	1	0.00013627152661256883
ES213	BioCCS	2	0.00013687011976697846
ES213	CoalCCS	1	0.0
ES213	CoalCCS	2	0.0
ES213	GasCCGT	1	1746.270000029466
ES213	GasCCGT	2	1462.929115013891
ES213	GasCCS	1	2.1188399201754433e-06
ES213	GasCCS	2	2.1245734356702104e-06
ES213	GasOCGT	1	116.29700067370361
ES213	GasOCGT	2	99.53500010521556
ES213	Hydroregulated	1	171.78100083870822
ES213	Hydroregulated	2	171.78100102042046
ES213	Hydrorun-of-the-river	1	0.0
ES213	Hydrorun-of-the-river	2	0.0
ES213	Lignite	1	1.2929707709320162e-05
ES213	Lignite	2	1.7854072858945303e-05
ES213	Solar	1	0.0
ES213	Solar	2	0.0
ES213	Waste	1	63.11600841708812
ES213	Waste	2	63.11601078046024
ES213	Windonshore	1	45.61500678113072
ES213	Windonshore	2	36.514502362130116
ES220	Bio	1	43.053000017157714
ES220	Bio	2	36.14162846552734
ES220	BioCCS	1	0.00011152123363295743
ES220	BioCCS	2	0.00011273823609986899
ES220	CoalCCS	1	0.0
ES220	CoalCCS	2	0.0
ES220	GasCCGT	1	1781.7810000505933
ES220	GasCCGT	2	1492.6782810834866
ES220	GasCCS	1	2.1170385990794468e-06
ES220	GasCCS	2	2.1235866172730003e-06
ES220	GasOCGT	1	186.33300020580057
ES220	GasOCGT	2	159.4766421878574
ES220	Lignite	1	1.2883760677401107e-05
ES220	Lignite	2	1.7853978059016335e-05
ES220	Solar	1	125.78800003917172
ES220	Solar	2	121.18007478292654
ES220	Waste	1	33.21900557499126
ES220	Waste	2	33.21905022627436
ES220	Windonshore	1	1328.9820004701648
ES220	Windonshore	2	1063.841007181138
ES230	BioCCS	1	0.0001450756939101023
ES230	BioCCS	2	0.00014677835199609237
ES230	CoalCCS	1	0.0
ES230	CoalCCS	2	0.0
ES230	GasCCGT	1	18.64300004621112
ES230	GasCCGT	2	15.618081704877943
ES230	GasCCS	1	2.119001758399733e-06
ES230	GasCCS	2	2.125334676289369e-06
ES230	GasOCGT	1	26.45900003242185
ES230	GasOCGT	2	22.64543841733861
ES230	Hydrorun-of-the-river	1	7.00199900002745
ES230	Hydrorun-of-the-river	2	7.001999042456032
ES230	Lignite	1	1.2933872786084022e-05
ES230	Lignite	2	1.7891197412748233e-05
ES230	Solar	1	49.40900005407731
ES230	Solar	2	47.599028042907456
ES230	Waste	1	0.00012338421387416123
ES230	Waste	2	0.0001786703784209983
ES230	Windonshore	1	408.5510005223603
ES230	Windonshore	2	327.0422829878089
ES241	BioCCS	1	7.496661295625394e-05
ES241	BioCCS	2	9.986079407509935e-05
ES241	CoalCCS	1	0.0
ES241	CoalCCS	2	0.0
ES241	GasCCS	1	2.112030095224985e-06
ES241	GasCCS	2	2.121639472784909e-06
ES241	GasOCGT	1	38.18000000409688
ES241	GasOCGT	2	32.67707916568357
ES241	Hydroregulated	1	179.89700035112193
ES241	Hydroregulated	2	179.89700066941506
ES241	Hydrorun-of-the-river	1	313.73100010271986
ES241	Hydrorun-of-the-river	2	313.731000246772
ES241	Lignite	1	1.2802987202182684e-05
ES241	Lignite	2	1.782478756227735e-05
ES241	Solar	1	98.57205966115751
ES241	Solar	2	95.72143238913195
ES241	Waste	1	7.405283959824168e-05
ES241	Waste	2	0.00013468859396900538
ES241	Windonshore	1	2765.375622828008
ES241	Windonshore	2	2705.0353787700715
ES242	BioCCS	1	0.00010503181111021832
ES242	BioCCS	2	0.00013810433489468133
ES242	CoalCCS	1	0.0
ES242	CoalCCS	2	0.0
ES242	GasCCGT	1	22.195000015950036
ES242	GasCCGT	2	18.593752360631587
ES242	GasCCS	1	2.1161797180756973e-06
ES242	GasCCS	2	2.124807527424117e-06
ES242	GasOCGT	1	81.00400025095423
ES242	GasOCGT	2	69.32881420090058
ES242	Lignite	1	1.286619779461822e-05
ES242	Lignite	2	1.789395271942209e-05
ES242	Solar	1	563.9970004155914
ES242	Solar	2	543.3363968791233
ES242	Waste	1	9.390557542423565e-05
ES242	Waste	2	0.00018679720622689043
ES242	Windonshore	1	728.8480002720357
ES242	Windonshore	2	583.4378415463366
ES243	BioCCS	1	8.961226788345123e-05
ES243	BioCCS	2	0.00011034499329692171
ES243	CoalCCS	1	0.0
ES243	CoalCCS	2	0.0
ES243	GasCCGT	1	1805.751000132782
ES243	GasCCGT	2	1512.759030807374
ES243	GasCCS	1	2.1137841431468723e-06
ES243	GasCCS	2	2.1224912189273297e-06
ES243	GasOCGT	1	430.0850012656292
