Period,genInstalledCap_MW
,Lignite,LigniteCCS,Coal,CoalCCS,GasOCGT,GasCCGT,GasCCS,Oil,Nuclear,Wave,Geo,Hydroregulated,Hydrorun-of-the-river,Bio,Windonshore,Windoffshoregrounded,Windoffshorefloating,Solar,BioCCS,Waste
Initial,52316.56,0.0,61704.909999999996,0.0,42023.587,184781.344,0.0,14774.309,103746.79999999999,251.09,953.8,96552.03899999999,59624.759,32864.97,217423.16999999998,45085.9,0.0,216154.15899999999,0.0,6831.319
2020-2025,52316.56061303029,1.9900607031813947e-06,61704.909999999996,0.0,42023.58701973839,184781.34401203546,0.00010812267882582959,14774.309005280724,103746.80004434081,251.09004356868937,2042.0999970688845,96552.0390040591,74426.90654214394,32864.97000645884,465495.005104564,45085.90000262537,4.011141763504442e-05,415716.9584666949,1118.484890009621,6961.075205846171
2025-2030,32369.451577249587,2.011040823083068e-06,48874.34443022673,1.222999345103393e-07,35966.68614789574,154799.6633252531,0.00010848957956275847,11646.507522244352,95494.48513147746,2307.0899874897673,2042.099997125564,96552.03900680278,74426.90654921542,67585.06847729777,429320.1508086247,125304.47151517545,6.41908650630682e-05,564490.5879298248,6532.815849430826,7129.169988770277
""
Period,genExpectedAnnualProduction_GWh
,Lignite,LigniteCCS,Coal,CoalCCS,GasOCGT,GasCCGT,GasCCS,Oil,Nuclear,Wave,Geo,Hydroregulated,Hydrorun-of-the-river,Bio,Windonshore,Windoffshoregrounded,Windoffshorefloating,Solar,BioCCS,Waste
2020-2025,1181.1463059248467,7.2137430617608705e-06,19836.27720447194,0.0,2229.9610065474085,389032.52531606884,0.0003844451613348126,7.577833158800749e-05,672369.4702707666,1011.7917465297757,15937.851323941712,222400.69312495514,289916.5146492476,52050.81745036773,968482.7199641787,140256.4536209575,9.804473383945791e-05,498399.5919572136,8818.133577930514,51177.713304467536
2025-2030,576.6152941990404,7.245541979064008e-06,19069.278303997573,8.782098347667104e-07,2249.881385604935,347172.3192891306,0.000383713355615127,18.14021943054355,579514.3619701107,9296.647278413651,15929.702073745368,223465.87425996352,294199.9070605125,99190.54476693712,888101.3498546374,408547.77825621027,0.00015935059797411854,699503.6962428982,51504.71856051185,49856.59830614807
""
Period,storPWInstalledCap_MW
,HydroPumpStorage,Li-Ion_BESS
2020-2025,61047.00001700821,0.0110045801492145
2025-2030,61047.00004053855,20434.64185499935
""
Period,storENInstalledCap_MW
,HydroPumpStorage,Li-Ion_BESS
2020-2025,2604873.3950017975,0.022009160298429
2025-2030,2604873.3950217287,40869.2837099987
""
Period,storExpectedAnnualDischarge_GWh
,HydroPumpStorage,Li-Ion_BESS
2020-2025,94577.86395842861,0.032648236006547954
2025-2030,117427.2759755742,16265.53809710864
