Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
ES425,Windonshore,2020-2025,4.661576555579062
ES425,Windonshore,2025-2030,9.533513271267509
ES431,Windonshore,2020-2025,1.2131518113161206
ES431,Windonshore,2025-2030,1.4435740211951757
ES432,Windonshore,2020-2025,3.6692722929541666
ES432,Windonshore,2025-2030,7.456428940311563
ES511,Windonshore,2020-2025,0.004162271318692663
ES511,Windonshore,2025-2030,0.0052825179000582905
ES512,Windonshore,2020-2025,2.9789829030778596e-05
ES512,Windonshore,2025-2030,3.8162364788927125e-05
ES513,Windonshore,2020-2025,0.025316446585191294
ES513,Windonshore,2025-2030,0.026704764990204143
ES514,Windonshore,2020-2025,0.023051419665676046
ES514,Windonshore,2025-2030,0.043814843249403934
ES521,Windonshore,2020-2025,5.089691174215804
ES521,Windonshore,2025-2030,5.486778925156959
ES522,Windonshore,2020-2025,29.270156789007892
ES522,Windonshore,2025-2030,13.694644786626922
ES523,Windonshore,2020-2025,14.073098836726723
ES523,Windonshore,2025-2030,18.565131420687333
ES532,Windonshore,2020-2025,0.00010416516214624618
ES532,Windonshore,2025-2030,0.00012426549970657904
ES611,Windonshore,2020-2025,54.85692271944817
ES611,Windonshore,2025-2030,53.918902664317464
ES612,Windonshore,2020-2025,318.3122784161464
ES612,Windonshore,2025-2030,514.5159244061915
ES613,Windonshore,2020-2025,2.966913542160605e-05
ES613,Windonshore,2025-2030,4.0442739680309844e-05
ES614,Windonshore,2020-2025,30.997483736529748
ES614,Windonshore,2025-2030,39.620226943535805
ES615,Windonshore,2020-2025,35.235383244501364
ES615,Windonshore,2025-2030,227.39298226106376
ES616,Windonshore,2020-2025,1.6610688881233617e-05
ES616,Windonshore,2025-2030,2.515271582209982e-05
ES617,Windonshore,2020-2025,26.02649516844896
ES617,Windonshore,2025-2030,55.16652870661716
ES618,Windonshore,2020-2025,7.0433850955559505
ES618,Windonshore,2025-2030,12.580871735537494
ES620,Windonshore,2020-2025,27.369896469222788
ES620,Windonshore,2025-2030,23.9435899970441
EU,Windonshore,2020-2025,1757.0988523595934
EU,Windonshore,2025-2030,3288.895277322364
France,Windonshore,2020-2025,8.713288836756298e-05
France,Windonshore,2025-2030,0.0002495183068407174
Italy,Windonshore,2020-2025,2331.53170751825
Italy,Windonshore,2025-2030,1429.560426774053
Portugal,Windonshore,2020-2025,619.8149400070449
Portugal,Windonshore,2025-2030,822.0819164286072
ES111,Solar,2020-2025,0.0
ES111,Solar,2025-2030,0.0
ES112,Solar,2020-2025,0.0003351050043238511
ES112,Solar,2025-2030,0.0005217626761060831
ES113,Solar,2020-2025,0.0
ES113,Solar,2025-2030,0.0
ES114,Solar,2020-2025,0.0002770448190592433
ES114,Solar,2025-2030,0.0004320560687935415
ES120,Solar,2020-2025,3.786661293286984e-05
ES120,Solar,2025-2030,6.253431958862257e-05
ES130,Solar,2020-2025,0.0004106385293161785
ES130,Solar,2025-2030,0.0006078053478032895
ES211,Solar,2020-2025,0.00029729674302241265
ES211,Solar,2025-2030,0.0004618538188895296
ES212,Solar,2020-2025,0.0
ES212,Solar,2025-2030,0.0
ES213,Solar,2020-2025,0.0
ES213,Solar,2025-2030,0.0
ES220,Solar,2020-2025,0.00030740817138168164
ES220,Solar,2025-2030,0.00044658711535452777
ES230,Solar,2020-2025,0.0003536318932064649
ES230,Solar,2025-2030,0.000501667723472624
ES241,Solar,2020-2025,0.0004139063972795648
ES241,Solar,2025-2030,0.0005749595338470884
ES242,Solar,2020-2025,0.00027813182914019594
ES242,Solar,2025-2030,0.00042067183574915473
ES243,Solar,2020-2025,0.00025589047652725835
ES243,Solar,2025-2030,0.00036396391842527547
ES300,Solar,2020-2025,0.0003490743550727125
ES300,Solar,2025-2030,0.0004992547077167368
ES412,Solar,2020-2025,0.0004275155415410585
ES412,Solar,2025-2030,0.0006442344807807631
ES413,Solar,2020-2025,0.0002986212187148263
ES413,Solar,2025-2030,0.00048269489455863386
ES414,Solar,2020-2025,0.00034779606954601406
ES414,Solar,2025-2030,0.0004953779528211551
ES415,Solar,2020-2025,0.0003190177560733421
ES415,Solar,2025-2030,0.0004727669624237676
ES416,Solar,2020-2025,0.0002919245928886148
ES416,Solar,2025-2030,0.000440212676008957
ES417,Solar,2020-2025,0.00039948514350797177
ES417,Solar,2025-2030,0.0005636309199963423
ES418,Solar,2020-2025,0.00026237870991132847
ES418,Solar,2025-2030,0.00037814563023988906
ES419,Solar,2020-2025,0.000291445070737243
ES419,Solar,2025-2030,0.000455714322716606
ES421,Solar,2020-2025,0.000316011585376759
ES421,Solar,2025-2030,0.00047809957774957854
ES422,Solar,2020-2025,0.000268657067670754
ES422,Solar,2025-2030,0.00038872838558132004
ES423,Solar,2020-2025,0.00028160273905731507
ES423,Solar,2025-2030,0.0004352837184738074
ES424,Solar,2020-2025,0.0002721941390898659
ES424,Solar,2025-2030,0.0004268876235823272
ES425,Solar,2020-2025,0.0003566635152006638
ES425,Solar,2025-2030,0.0005276845796359787
ES431,Solar,2020-2025,0.0002695376260843559
ES431,Solar,2025-2030,0.00041026405990324076
ES432,Solar,2020-2025,0.0002703787744647751
ES432,Solar,2025-2030,0.00042704426097227635
ES511,Solar,2020-2025,0.0003134007784747325
