Node	Generator	Period	genInvCap
ES211	Waste	1	7.85921954297195e-05
ES211	Waste	2	4.8375765485541826e-05
ES211	Windonshore	1	3.1033448522066465e-07
ES211	Windonshore	2	3.4899077671229755e-07
ES212	BioCCS	1	8.130663735612824e-05
ES212	BioCCS	2	4.904934718229655e-06
ES212	CoalCCS	1	0.0
ES212	CoalCCS	2	0.0
ES212	GasCCGT	1	8.853453207400671e-08
ES212	GasCCGT	2	7.432329194541983e-09
ES212	GasCCS	1	1.0280981977728863e-06
ES212	GasCCS	2	4.42385240372061e-09
ES212	GasOCGT	1	1.6746018656081726e-08
ES212	GasOCGT	2	1.679534985873304e-08
ES212	Lignite	1	5.973405459877526e-06
ES212	Lignite	2	2.1979386469019054e-06
ES212	Solar	1	0.0
ES212	Solar	2	0.0
ES212	Waste	1	6.453269806364949e-05
ES212	Waste	2	3.24090121466428e-05
ES212	Windonshore	1	2.9928692413250246e-08
ES212	Windonshore	2	2.357657260403775e-06
ES213	Bio	1	2.4932129248865224e-07
ES213	Bio	2	8.254780318190353e-09
ES213	BioCCS	1	9.993994852554457e-05
ES213	BioCCS	2	1.0887304311661728e-06
ES213	CoalCCS	1	0.0
ES213	CoalCCS	2	0.0
ES213	GasCCGT	1	7.456488400757526e-08
ES213	GasCCGT	2	8.355259810357381e-09
ES213	GasCCS	1	1.0287677880153502e-06
ES213	GasCCS	2	4.418761083933913e-09
ES213	GasOCGT	1	2.9960693459414577e-07
ES213	GasOCGT	2	1.745196459504522e-07
ES213	Hydroregulated	1	4.2073480699400534e-08
ES213	Hydroregulated	2	4.858617779082366e-07
ES213	Hydrorun-of-the-river	1	0.0
ES213	Hydrorun-of-the-river	2	0.0
ES213	Lignite	1	5.982386611291718e-06
ES213	Lignite	2	2.1820184368154767e-06
ES213	Solar	1	0.0
ES213	Solar	2	0.0
ES213	Waste	1	6.4667412059344795e-06
ES213	Waste	2	3.1233357169505113e-06
ES213	Windonshore	1	3.349727251134027e-08
ES213	Windonshore	2	60.69849717714825
ES220	Bio	1	8.430336288629054e-08
ES220	Bio	2	1.5691084741774627e-07
ES220	BioCCS	1	5.8054581918999414e-05
ES220	BioCCS	2	8.26218335959784e-06
ES220	CoalCCS	1	0.0
ES220	CoalCCS	2	0.0
ES220	GasCCGT	1	7.151519533480341e-08
ES220	GasCCGT	2	8.417704320997455e-09
ES220	GasCCS	1	1.027215202749248e-06
ES220	GasCCS	2	4.4340692505533226e-09
ES220	GasOCGT	1	1.1644895309020202e-07
ES220	GasOCGT	2	2.674968069323287e-07
ES220	Lignite	1	5.9580470603636105e-06
ES220	Lignite	2	2.190947470298958e-06
ES220	Solar	1	5.834188243625249e-08
ES220	Solar	2	1.3583240851099914e-07
ES220	Waste	1	1.9784972864041316e-06
ES220	Waste	2	7.719348623754692e-07
ES220	Windonshore	1	391.90599768870084
ES220	Windonshore	2	3.502301290350301e-05
ES230	BioCCS	1	9.756937924906953e-05
ES230	BioCCS	2	2.1318493372128215e-05
ES230	CoalCCS	1	0.0
ES230	CoalCCS	2	0.0
ES230	GasCCGT	1	3.1844070875465705e-09
ES230	GasCCGT	2	8.518500812888835e-09
ES230	GasCCS	1	1.0287014483604203e-06
ES230	GasCCS	2	4.421809011897407e-09
ES230	GasOCGT	1	4.172690616735875e-09
ES230	GasOCGT	2	9.627758952297614e-09
ES230	Hydrorun-of-the-river	1	2.33899930950116
ES230	Hydrorun-of-the-river	2	6.611494130722701e-08
ES230	Lignite	1	5.977319413836643e-06
ES230	Lignite	2	2.1847814178064783e-06
ES230	Solar	1	1.0382299819866603e-07
ES230	Solar	2	2.2129474477101136e-07
ES230	Waste	1	7.305412912005598e-05
ES230	Waste	2	6.302506389456676e-05
ES230	Windonshore	1	6.353188268803933e-07
ES230	Windonshore	2	5.567219758982828e-07
ES241	BioCCS	1	4.001485750188587e-05
