ES111,ES112,ES113,ES120,ES213,ES230,ES241,ES243,ES413,ES415,ES418,ES419,ES425,ES431,ES432,ES511,ES512,ES513,ES514,ES523,ES613,ES614,ES615,ES616,ES617,ES618,FR,PT,IT,time,hour,dayofweek,month,EU
0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.5045,0.52062046,0.361170272,0.172943981,01/01/2015 00:00,0,3,1,0.3452544447604615
0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.493290656,0.212158577,0.163051251,01/01/2015 01:00,1,3,1,0.3288081220398492
0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.466207066,0.146396144,0.161740167,01/01/2015 02:00,2,3,1,0.3259203888441807
0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.449833805,0.150879946,0.162812872,01/01/2015 03:00,3,3,1,0.3255030503898162
0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.476,0.442447372,0.153271307,0.169010727,01/01/2015 04:00,4,3,1,0.3271107351023532
0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.4805,0.420534285,0.212756417,0.213706794,01/01/2015 05:00,5,3,1,0.3475804921894642
0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.4915,0.404161024,0.236296379,0.341597139,01/01/2015 06:00,6,3,1,0.3623276152662615
0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.42742829,0.199491836,0.455780691,01/01/2015 07:00,7,3,1,0.3739422636398583
0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.4531577,0.281545417,0.478784267,01/01/2015 08:00,8,3,1,0.3855512794471883
0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.467561246,0.283525763,0.404290822,01/01/2015 09:00,9,3,1,0.3936019843062506
0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.5345,0.478764003,0.237678885,0.337663886,01/01/2015 10:00,10,3,1,0.3901866866142821
0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.493290656,0.248327915,0.291299166,01/01/2015 11:00,11,3,1,0.3869025046224692
0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.5205,0.457712668,0.25781863,0.269606675,01/01/2015 12:00,12,3,1,0.3855071446349037
0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.42878247,0.204835033,0.287127533,01/01/2015 13:00,13,3,1,0.3912005773659036
0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.5115,0.4207805,0.183686433,0.325506555,01/01/2015 14:00,14,3,1,0.3917786501470635
0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.415856211,0.123977133,0.440524434,01/01/2015 15:00,15,3,1,0.4049519091465869
0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.452788379,0.164667638,0.528486293,01/01/2015 16:00,16,3,1,0.4138908587965036
0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.557675736,0.315323394,0.54624553,01/01/2015 17:00,17,3,1,0.4156664879503242
0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.606426197,0.377984531,0.498092968,01/01/2015 18:00,18,3,1,0.4061993328289449
0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.59300751,0.372641333,0.378545888,01/01/2015 19:00,19,3,1,0.39840934527366
0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.594607903,0.400590367,0.302264601,01/01/2015 20:00,20,3,1,0.3813371326580641
0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.586482827,0.372305048,0.242908224,01/01/2015 21:00,21,3,1,0.3721761786431472
0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.54105626,0.396181295,0.211561383,01/01/2015 22:00,22,3,1,0.3625102483127055
0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.453650129,0.369988417,0.196543504,01/01/2015 23:00,23,3,1,0.3756585830816806
0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.391234765,0.274371334,0.174851013,01/02/2015 00:00,0,6,2,0.3572539515660157
0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.349132094,0.307813025,0.162932062,01/02/2015 01:00,1,6,2,0.3454877036518092
0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.343715376,0.180099391,0.156495828,01/02/2015 02:00,2,6,2,0.3399594627109178
0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.4605,0.344577127,0.204909763,0.158045292,01/02/2015 03:00,3,6,2,0.3376263480725035
0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.352702204,0.222471322,0.171513707,01/02/2015 04:00,4,6,2,0.3440516347846716
0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.372153145,0.296043045,0.215137068,01/02/2015 05:00,5,6,2,0.3613134222185087
0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.393943124,0.363486904,0.317997616,01/02/2015 06:00,6,6,2,0.3794554827116893
0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.451434199,0.325673504,0.46102503,01/02/2015 07:00,7,6,2,0.3937316685074041
0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.520004924,0.354369839,0.482717521,01/02/2015 08:00,8,6,2,0.4073139671936771
0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.560630309,0.397115421,0.405482718,01/02/2015 09:00,9,6,2,0.4091016985358414
0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.600763265,0.401711318,0.358164482,01/02/2015 10:00,10,6,2,0.4075480931489832
0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.5595,0.608272806,0.431042858,0.295589988,01/02/2015 11:00,11,6,2,0.4054106082007263
0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.563461775,0.430669207,0.27067938,01/02/2015 12:00,12,6,2,0.4029741570720451
0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.496737659,0.426783246,0.284028605,01/02/2015 13:00,13,6,2,0.4068392730825353
0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.490828512,0.449538542,0.34398093,01/02/2015 14:00,14,6,2,0.4108654960757338
0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.5965,0.531084575,0.441953443,0.408581645,01/02/2015 15:00,15,6,2,0.4168288067181196
0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.601255694,0.424130329,0.527651967,01/02/2015 16:00,16,6,2,0.4278263975587774
0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.6495,0.672411671,0.522138774,0.534922527,01/02/2015 17:00,17,6,2,0.4276601332285166
0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.6565,0.674750708,0.5442215,0.464004768,01/02/2015 18:00,18,6,2,0.4302810458908788
0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.6645,0.639418934,0.580615028,0.366626937,01/02/2015 19:00,19,6,2,0.4017904962270436
0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.593499938,0.547173336,0.293206198,01/02/2015 20:00,20,6,2,0.3948202337608538
0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.594731011,0.538243097,0.245768772,01/02/2015 21:00,21,6,2,0.392290883800204
0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.6035,0.561122738,0.522661884,0.223003576,01/02/2015 22:00,22,6,2,0.3860420921554995
0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.552997661,0.369988417,0.203933254,01/02/2015 23:00,23,6,2,0.3870982316274714
0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.5465,0.497599409,0.219332661,0.185816448,01/03/2015 00:00,0,6,3,0.371754573452613
0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.458328204,0.206030714,0.169249106,01/03/2015 01:00,1,6,3,0.3621930437909586
0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.411793672,0.163845608,0.162574493,01/03/2015 02:00,2,6,3,0.3595516421595928
0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.378554721,0.152785562,0.158164482,01/03/2015 03:00,3,6,3,0.3582948132326253
0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.4595,0.37018343,0.240443896,0.163289631,01/03/2015 04:00,4,6,3,0.3606579519226719
0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.382001724,0.250607182,0.185220501,01/03/2015 05:00,5,6,3,0.3676470269190501
0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.4105626,0.291783432,0.217878427,01/03/2015 06:00,6,6,3,0.3801525071746411
0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.471623784,0.332473938,0.313706794,01/03/2015 07:00,7,6,3,0.3884827999123378
0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.532684969,0.401935508,0.354827175,01/03/2015 08:00,8,6,3,0.4024928591515654
0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.5165,0.57257171,0.443859059,0.302264601,01/03/2015 09:00,9,6,3,0.4121188364400391
0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.5235,0.575526283,0.39509771,0.248033373,01/03/2015 10:00,10,6,3,0.4124768012212524
0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.579465715,0.378133991,0.213706794,01/03/2015 11:00,11,6,3,0.4137272673833639
0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.531577004,0.437208086,0.192014303,01/03/2015 12:00,12,6,3,0.4102957645842942
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.473470393,0.398946306,0.184862932,01/03/2015 13:00,13,6,3,0.4110936859086365
0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.5095,0.424966146,0.359040466,0.196185936,01/03/2015 14:00,14,6,3,0.4185334201281744
0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.5065,0.439000369,0.354145649,0.249582837,01/03/2015 15:00,15,6,3,0.4259227106576049
0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.501292626,0.373837014,0.413468415,01/03/2015 16:00,16,6,3,0.4414123389056614
0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.605933768,0.381758398,0.464481526,01/03/2015 17:00,17,6,3,0.4440308622484606
0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.609996307,0.379404402,0.428963051,01/03/2015 18:00,18,6,3,0.4351997750402394
0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.564077311,0.418450846,0.369845054,01/03/2015 19:00,19,6,3,0.4273724745018344
0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.6325,0.546226764,0.441206143,0.283313468,01/03/2015 20:00,20,6,3,0.4110634948068522
0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.575649391,0.406232485,0.220500596,01/03/2015 21:00,21,6,3,0.4097392506640251
0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.539332759,0.380712177,0.20238379,01/03/2015 22:00,22,6,3,0.4050489985673613
0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.4855,0.507817309,0.308709786,0.18533969,01/03/2015 23:00,23,6,3,0.3909063743704304
0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.471623784,0.218846916,0.170381406,01/04/2015 00:00,0,2,4,0.3787433164355123
0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.440108334,0.2078616,0.155065554,01/04/2015 01:00,1,2,4,0.3712503565685698
0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.407854241,0.184172178,0.150238379,01/04/2015 02:00,2,2,4,0.3680163998041479
0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.4565,0.405145882,0.14845122,0.1511323,01/04/2015 03:00,3,2,4,0.3705946162665753
0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.416102425,0.169338266,0.155780691,01/04/2015 04:00,4,2,4,0.375413337637556
0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.428413148,0.186899824,0.157806913,01/04/2015 05:00,5,2,4,0.3814456076757951
0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.459682383,0.239210851,0.170023838,01/04/2015 06:00,6,2,4,0.3956948810503833
0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.483072756,0.244927699,0.205244338,01/04/2015 07:00,7,2,4,0.4052337243344913
0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.523451927,0.250495087,0.211680572,01/04/2015 08:00,8,2,4,0.4186901011938105
0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.573925889,0.304898554,0.22318236,01/04/2015 09:00,9,2,4,0.4287668406893247
0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.608642127,0.296341965,0.200834327,01/04/2015 10:00,10,2,4,0.4317985937296292
0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.613197095,0.263161828,0.199165673,01/04/2015 11:00,11,2,4,0.4297848309113964
0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.590052936,0.274632889,0.182300358,01/04/2015 12:00,12,2,4,0.4268405705569715
