ES111,ES112,ES113,ES120,ES213,ES241,ES243,ES413,ES415,ES419,ES425,ES431,ES432,ES512,ES513,ES514,ES523,ES617,FR,PT,time,EU
35.12229845626072,48.488679245283016,276.0015437392796,34.55351629502573,18.05883361921098,18.912006861063464,69.39142367066896,64.27238421955403,286.95060034305317,142.3377358490566,56.30943396226415,22.46689536878216,337.99879931389364,19.19639794168096,48.77307032590052,56.87821612349914,105.65128644939966,16.6368782161235,3732.0,704.5,01/01/2015 00:00,17486.46
29.0426243567753,40.095283018867924,228.22564322469984,28.57229845626072,14.932847341337908,15.638336192109776,57.37975986277873,53.14682675814751,237.2794168096055,117.69905660377358,46.56226415094339,18.5778730703259,279.491166380789,15.873499142367068,40.330445969125215,47.03259005145798,87.3630360205832,13.757032590051457,3046.0,473.8,01/01/2015 01:00,16898.414999999997
16.50197255574614,22.782075471698114,129.67744425385933,16.234734133790738,8.484819897084048,8.885677530017153,32.603087478559175,30.197941680960547,134.82178387650086,66.87641509433962,26.456603773584906,10.555917667238422,158.80643224699827,9.019296740994855,22.915694682675817,26.72384219554031,49.63953687821613,7.81672384219554,1726.0,400.5,01/01/2015 02:00,16638.73
15.25214408233276,21.056603773584907,119.85591766723842,15.005145797598628,7.842195540308748,8.212692967409948,30.133790737564322,27.910806174957116,124.61063464837049,61.81132075471698,24.452830188679243,9.756432246998285,146.77873070325901,8.336192109777016,21.180102915951974,24.69982847341338,45.87993138936535,7.224699828473413,810.0,167.6,01/01/2015 03:00,16931.454999999998
15.739365351629502,21.72924528301887,123.68464837049743,15.484476843910807,8.092710120068611,8.475042881646655,31.09639794168096,28.802401372212692,128.59125214408232,63.78584905660377,25.233962264150943,10.068096054888509,151.46749571183534,8.602487135506005,21.856689536878218,25.48885077186964,47.34554030874786,7.455488850771869,1090.0,151.7,01/01/2015 04:00,18492.93
17.963636363636365,24.8,141.16363636363636,17.672727272727272,9.236363636363636,9.672727272727272,35.49090909090909,32.87272727272727,146.76363636363635,72.8,28.8,11.490909090909092,172.87272727272727,9.818181818181818,24.945454545454545,29.090909090909093,54.03636363636364,8.509090909090908,1269.0,124.8,01/01/2015 05:00,22629.71
21.437735849056605,29.59622641509434,168.46415094339622,21.09056603773585,11.022641509433962,11.543396226415094,42.35471698113208,39.23018867924528,175.14716981132077,86.87924528301886,34.369811320754714,13.713207547169812,206.3056603773585,11.716981132075473,29.76981132075472,34.716981132075475,64.4867924528302,10.154716981132076,1086.0,248.5,01/01/2015 06:00,26436.395
21.501286449399657,29.683962264150942,168.96355060034304,21.15308747855918,11.05531732418525,11.577615780445969,42.480274442538594,39.34648370497427,175.6663807890223,87.13679245283018,34.471698113207545,13.753859348198972,206.9172384219554,11.75171526586621,29.858061749571185,34.81989708404803,64.67795883361921,10.184819897084047,916.0,419.2,01/01/2015 07:00,28750.585000000003
28.746054888507718,39.68584905660377,225.8951114922813,28.280531732418527,14.780360205831904,15.478644939965694,56.79382504288164,52.6041166380789,234.85643224699828,116.49716981132075,46.08679245283019,18.388164665523156,276.6371355060034,15.711406518010293,39.918610634648374,46.552315608919386,86.47092624356776,13.616552315608919,803.0,383.7,01/01/2015 08:00,29278.145
38.49048027444254,53.13867924528302,302.4697255574614,37.86715265866209,19.79065180102916,20.725643224699827,76.04596912521441,70.43602058319038,314.46878216123497,155.9877358490566,61.70943396226415,24.621440823327617,370.41243567753,21.037307032590054,53.45034305317324,62.3327615780446,115.78310463121785,18.232332761578043,819.0,259.2,01/01/2015 09:00,28956.189999999995
32.11423670668954,44.33584905660378,252.36329331046312,31.59416809605489,16.512178387650085,17.292281303602056,63.4483704974271,58.76775300171526,262.3746140651801,130.14716981132074,51.48679245283019,20.542710120068612,309.0507718696398,17.552315608919383,44.595883361921096,52.00686106346484,96.60274442538595,15.212006861063465,1095.0,267.4,01/01/2015 10:00,28874.44
25.504974271012006,35.21132075471698,200.42572898799312,25.091938250428818,13.113893653516296,13.73344768439108,50.390394511149225,46.67307032590051,208.37667238421955,103.36226415094339,40.89056603773585,16.31492281303602,245.4466552315609,13.939965694682677,35.417838765008575,41.30360205831904,76.72144082332763,12.081303602058318,1699.0,296.4,01/01/2015 11:00,27833.960000000003
27.242024013722126,37.60943396226415,214.07598627787306,26.800857632933106,14.007032590051459,14.668782161234992,53.82229845626072,49.85180102915952,222.56843910806174,110.40188679245283,43.675471698113206,17.426072041166382,262.1631217838765,14.889365351629504,37.83001715265866,44.116638078902234,81.9466552315609,12.904116638078902,960.0,292.8,01/01/2015 12:00,27450.085
21.75548885077187,30.03490566037736,170.96114922813035,21.40317324185249,11.186020583190395,11.714493996569468,42.98250428816466,39.81166380789022,177.74322469982846,88.16698113207546,34.87924528301887,13.91646655231561,209.36355060034305,11.89065180102916,30.21106346483705,35.23156089193825,65.44262435677531,10.305231560891938,610.0,645.4,01/01/2015 13:00,28159.78
24.382246998284735,33.66132075471698,191.60300171526586,23.987392795883363,12.536620926243568,13.128902229845625,48.172212692967406,44.618524871355056,199.2039451114923,98.81226415094339,39.09056603773585,15.596740994854203,234.64210977701543,13.326329331046313,33.85874785591767,39.48542024013722,73.3441680960549,11.549485420240137,598.0,432.5,01/01/2015 14:00,30033.71
