month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
dec,137.77,134.93,131.93,128.93,129.0,133.0,141.5,150.83,157.2,154.73,147.3,139.1,132.26,130.0,126.56,135.0,147.3,154.73,156.48,157.16,157.2,154.73,152.13,147.3
jul,98.7,86.66,85.94,85.7,83.43,85.94,89.72,103.21,100.61,78.22,54.6,40.88,35,32.65,31.98,35,35,41.99,44.88,81,103.21,115.15,109,98.01
