Source:_Assumed	Unnamed:_1	Unnamed:_2	Unnamed:_3
Spain	CCS	1	38.2
Spain	CCS	2	178.6
Spain	CCS	3	1629.3
Spain	CCS	4	2182.9
Spain	CCS	5	2182.9
Spain	CCS	6	2423.6
Spain	CCS	7	2738.2
