FromNode	ToNode	lineReactance
ES111	ES112	1.8794948724256
ES111	ES114	1.316107512066764
ES112	ES113	2.144479762774886
ES112	ES114	25.707
ES112	ES120	3.27426
ES112	ES413	4.421222887354088
ES113	ES114	0.5573177209390816
ES113	ES413	1.079871939299125
ES113	ES419	1.974279064402473
ES113	Portugal	0.0820828255551373
ES114	Portugal	83.1234
ES120	ES130	0.1650999843930394
ES120	ES413	3.551569101819084
ES130	ES213	1.778363785269437
ES130	ES412	6.007960000000001
ES130	ES413	8.030041343782488
ES130	ES414	17.4414
ES211	ES212	0.916576187639044
ES211	ES213	1.019259243337833
ES211	ES220	22.1154
ES211	ES230	6.70026
ES211	ES412	3.7178712838812
ES211	ES414	55.4484
ES212	ES213	1.026381143576932
ES212	ES220	9.608708338919634
ES212	France	3.565699137729887
ES213	ES412	15.07488
ES220	ES230	0.1613683674678886
ES220	ES241	25.28701000000001
ES220	ES243	5.15868624149424
ES220	France	122.9016
ES230	ES243	34.7352
ES230	ES412	3.524658473455785
ES230	ES417	17.8842
ES241	ES243	0.4816811289116006
ES241	ES513	7.741619983385945
ES241	France	5.31867
ES242	ES243	0.2986128250370639
ES242	ES423	35.3256
ES242	ES424	37.5396
ES242	ES514	36.0882
ES242	ES522	0.5074660734714631
ES242	ES523	35.4732
ES243	ES417	1.450326702007827
ES243	ES424	4.271175
ES243	ES513	0.9456662893601698
ES243	ES514	1.180975532333641
ES300	ES414	52.10034
ES300	ES416	0.7359988685767465
ES300	ES418	22.013791649202
ES300	ES423	2.992700855435525
ES300	ES424	0.880958303360633
ES300	ES425	0.9004396757022834
ES300	ES432	4.293150164277545
ES412	ES414	2.098251361773749
ES412	ES416	34.2924
ES412	ES417	28.5852
ES412	ES418	32.595
ES413	ES414	2.422718546710127
ES413	ES418	1.912969989142572
ES413	ES419	3.61866
ES414	ES415	52.80636
ES414	ES418	1.438622747802928
ES415	ES418	33.7512
ES415	ES419	0.3465668058851739
ES415	ES432	6.491940000000001
ES415	Portugal	10.03835
ES416	ES417	32.5212
ES416	ES418	2.367569573705749
ES416	ES424	31.119
ES417	ES418	56.12981999999999
ES417	ES424	22.263
ES418	ES419	0.6206257838170478
ES419	Portugal	78.9414
ES421	ES422	39.3108
ES421	ES423	5.052225
ES421	ES521	31.5618
ES421	ES523	9.3234
ES421	ES614	49.7166
ES421	ES616	38.376
ES421	ES620	2.466765
ES422	ES423	43.4682
ES422	ES425	2.002595916992042
ES422	ES431	5.59158
ES422	ES613	3.87688
ES422	ES616	5.383706635688336
ES423	ES424	3.488345817523445
ES423	ES425	41.3772
ES423	ES523	6.310176166214646
ES425	ES431	51.3156
ES425	ES432	5.576025
ES431	ES432	1.354565650041123
ES431	ES613	34.7106
ES431	ES615	34.6368
ES431	ES618	3.765373666852592
ES431	Portugal	10.824
ES432	ES616	52.77192
ES432	Portugal	6.6543
ES511	ES512	0.7811120122753178
ES511	ES513	1.294715069657037
ES511	ES514	0.3564908122229551
ES512	ES513	32.9148
ES512	France	1.230925
ES513	ES514	2.403485
ES513	France	116.6532
ES514	ES522	39.75114
ES521	ES523	5.35507581394268
ES521	ES620	0.0936300111289839
ES522	ES523	0.5387469812402751
ES611	ES614	2.971226933588615
ES611	ES620	2.584179330358295
ES612	ES615	36.408
ES612	ES617	0.6042299150890382
ES612	ES618	1.684173245089464
ES613	ES614	38.253
ES613	ES616	1.570447809495412
ES613	ES617	18.19908
ES613	ES618	1.948096247710364
ES614	ES616	20.2573
ES614	ES617	5.145995421517773
ES614	ES620	42.8532
ES615	ES618	1.316464655657782
ES615	Portugal	9.22992
ES617	ES618	0.8119474999999999
ES112	ES111	1.8794948724256
ES114	ES111	1.316107512066764
ES113	ES112	2.144479762774886
ES114	ES112	25.707
ES120	ES112	3.27426
ES413	ES112	4.421222887354088
ES114	ES113	0.5573177209390816
ES413	ES113	1.079871939299125
ES419	ES113	1.974279064402473
Portugal	ES113	0.0820828255551373
Portugal	ES114	83.1234
ES130	ES120	0.1650999843930394
ES413	ES120	3.551569101819084
ES213	ES130	1.778363785269437
ES412	ES130	6.007960000000001
ES413	ES130	8.030041343782488
ES414	ES130	17.4414
ES212	ES211	0.916576187639044
ES213	ES211	1.019259243337833
ES220	ES211	22.1154
ES230	ES211	6.70026
ES412	ES211	3.7178712838812
ES414	ES211	55.4484
ES213	ES212	1.026381143576932
ES220	ES212	9.608708338919634
France	ES212	3.565699137729887
ES412	ES213	15.07488
ES230	ES220	0.1613683674678886
ES241	ES220	25.28701000000001
ES243	ES220	5.15868624149424
France	ES220	122.9016
ES243	ES230	34.7352
ES412	ES230	3.524658473455785
ES417	ES230	17.8842
ES243	ES241	0.4816811289116006
ES513	ES241	7.741619983385945
France	ES241	5.31867
ES243	ES242	0.2986128250370639
ES423	ES242	35.3256
ES424	ES242	37.5396
ES514	ES242	36.0882
ES522	ES242	0.5074660734714631
ES523	ES242	35.4732
ES417	ES243	1.450326702007827
ES424	ES243	4.271175
