FromNode	ToNode	lineReactance
ES513	ES243	0.9456662893601698
ES514	ES243	1.180975532333641
ES414	ES300	52.10034
ES416	ES300	0.7359988685767465
ES418	ES300	22.013791649202
ES423	ES300	2.992700855435525
ES424	ES300	0.880958303360633
ES425	ES300	0.9004396757022834
ES432	ES300	4.293150164277545
ES414	ES412	2.098251361773749
ES416	ES412	34.2924
ES417	ES412	28.5852
ES418	ES412	32.595
ES414	ES413	2.422718546710127
ES418	ES413	1.912969989142572
ES419	ES413	3.61866
ES415	ES414	52.80636
ES418	ES414	1.438622747802928
ES418	ES415	33.7512
ES419	ES415	0.3465668058851739
ES432	ES415	6.491940000000001
Portugal	ES415	10.03835
ES417	ES416	32.5212
ES418	ES416	2.367569573705749
ES424	ES416	31.119
ES418	ES417	56.12981999999999
ES424	ES417	22.263
ES419	ES418	0.6206257838170478
Portugal	ES419	78.9414
ES422	ES421	39.3108
ES423	ES421	5.052225
ES521	ES421	31.5618
ES523	ES421	9.3234
ES614	ES421	49.7166
ES616	ES421	38.376
ES620	ES421	2.466765
ES423	ES422	43.4682
ES425	ES422	2.002595916992042
ES431	ES422	5.59158
ES613	ES422	3.87688
ES616	ES422	5.383706635688336
ES424	ES423	3.488345817523445
ES425	ES423	41.3772
ES523	ES423	6.310176166214646
ES431	ES425	51.3156
ES432	ES425	5.576025
ES432	ES431	1.354565650041123
ES613	ES431	34.7106
ES615	ES431	34.6368
ES618	ES431	3.765373666852592
Portugal	ES431	10.824
ES616	ES432	52.77192
Portugal	ES432	6.6543
ES512	ES511	0.7811120122753178
ES513	ES511	1.294715069657037
ES514	ES511	0.3564908122229551
ES513	ES512	32.9148
France	ES512	1.230925
ES514	ES513	2.403485
France	ES513	116.6532
ES522	ES514	39.75114
ES523	ES521	5.35507581394268
ES620	ES521	0.0936300111289839
ES523	ES522	0.5387469812402751
ES614	ES611	2.971226933588615
ES620	ES611	2.584179330358295
ES615	ES612	36.408
ES617	ES612	0.6042299150890382
ES618	ES612	1.684173245089464
ES614	ES613	38.253
ES616	ES613	1.570447809495412
ES617	ES613	18.19908
ES618	ES613	1.948096247710364
ES616	ES614	20.2573
ES617	ES614	5.145995421517773
ES620	ES614	42.8532
ES618	ES615	1.316464655657782
Portugal	ES615	9.22992
ES618	ES617	0.8119474999999999
