date,hour,branch_id,branch_name,from_bus,to_bus,from_bus_id,to_bus_id,from_nuts3,to_nuts3,asset_class,reinforcement_eligible,diagnostic_multiplier,base_line_rating_factor,flow_mw,flow_mvar,limit_mw,loading_pct
2024-08-22,9,2274,TR_c22e81d6,293,294,ES00296,ES00297,ES213,ES213,intra_nuts3,true,10.0,0.8,-52.71,0.0,1600.0,3.3
2024-08-22,16,1782,LTGES1172,1106,272,ES01124,ES00275,ES620,ES620,intra_nuts3,true,10.0,0.8,-128.37,0.0,3932.45,3.3
2024-08-24,20,173,LTGES0127b,899,1043,ES00908,ES01057,ES425,ES425,intra_nuts3,true,10.0,0.8,261.85,0.0,7864.9,3.3
2025-06-30,18,905,LTGES0611a,300,266,ES00303,ES00269,ES243,ES243,intra_nuts3,true,10.0,0.8,-261.48,0.0,7864.9,3.3
2025-06-25,15,27,LTGES0016b,296,24,ES00299,ES00024,ES300,ES300,intra_nuts3,true,10.0,0.8,-261.46,0.0,7864.9,3.3
2025-06-30,18,906,LTGES0611b,300,266,ES00303,ES00269,ES243,ES243,intra_nuts3,true,10.0,0.8,-261.48,0.0,7864.9,3.3
2024-08-22,17,426,LTGES0292,783,302,ES00792,ES00305,ES113,ES113,intra_nuts3,true,10.0,0.8,-130.92,0.0,3932.45,3.3
2024-08-22,17,1233,LTGES0810a,961,530,ES00972,ES00535,ES220,ES220,intra_nuts3,true,10.0,0.8,261.94,0.0,7864.9,3.3
2025-06-25,15,473,LTGES0327,975,765,ES00986,ES00774,ES120,ES120,intra_nuts3,true,10.0,0.8,478.49,0.0,14299.81,3.3
2024-08-22,17,1234,LTGES0810b,961,530,ES00972,ES00535,ES220,ES220,intra_nuts3,true,10.0,0.8,261.94,0.0,7864.9,3.3
2024-08-24,20,172,LTGES0127a,899,1043,ES00908,ES01057,ES425,ES425,intra_nuts3,true,10.0,0.8,261.85,0.0,7864.9,3.3
2025-06-25,15,1110,LTGES0733,509,365,ES00512,ES00368,ES521,ES521,intra_nuts3,true,10.0,0.8,129.57,0.0,3932.45,3.3
2024-08-20,7,1076,LTGES0711,501,1073,ES00504,ES01089,ES617,ES617,intra_nuts3,true,10.0,0.8,-130.84,0.0,3932.45,3.3
2025-06-25,15,1942,LTGES1269b,572,416,ES00577,ES00419,ES212,ES212,intra_nuts3,true,10.0,0.8,259.29,0.0,7864.9,3.3
2024-08-26,17,2063,LTGES1362a,126,542,ES00126,ES00547,ES113,ES113,intra_nuts3,true,10.0,0.8,-937.29,0.0,28599.62,3.3
2025-06-25,15,1941,LTGES1269a,572,416,ES00577,ES00419,ES212,ES212,intra_nuts3,true,10.0,0.8,259.29,0.0,7864.9,3.3
2024-08-22,9,2275,TR_3b58070f,291,292,ES00294,ES00295,ES213,ES213,intra_nuts3,true,10.0,0.8,-53.01,0.0,1600.0,3.3
2025-06-24,9,59,LTGES0040a,67,68,ES00067,ES00068,ES415,ES415,intra_nuts3,true,10.0,0.8,-949.2,0.0,28599.62,3.3
2025-06-25,15,26,LTGES0016a,296,24,ES00299,ES00024,ES300,ES300,intra_nuts3,true,10.0,0.8,-261.46,0.0,7864.9,3.3
2024-08-24,20,174,LTGES0128a,1043,898,ES01057,ES00907,ES425,ES425,intra_nuts3,true,10.0,0.8,249.41,0.0,7864.9,3.2
2025-06-25,15,733,LTGES0505,419,420,ES00422,ES00423,ES511,ES511,intra_nuts3,true,10.0,0.8,-127.7,0.0,3932.45,3.2
2024-08-24,20,750,LTGES0518,856,422,ES00865,ES00425,ES412,ES412,intra_nuts3,true,10.0,0.8,124.71,0.0,3932.45,3.2
2024-08-22,10,1531,LTGES1007,593,372,ES00598,ES00375,ES514,ES514,intra_nuts3,true,10.0,0.8,-126.21,0.0,3932.45,3.2
2024-08-20,1,169,LTGES0125,163,165,ES00166,ES00168,ES432,ES432,intra_nuts3,true,10.0,0.8,126.45,0.0,3932.45,3.2
2024-08-20,1,179,LTGES0131,163,165,ES00166,ES00168,ES432,ES432,intra_nuts3,true,10.0,0.8,125.59,0.0,3932.45,3.2
2024-08-24,20,632,LTGES0438,365,932,ES00368,ES00943,ES521,ES521,intra_nuts3,true,10.0,0.8,124.33,0.0,3932.45,3.2
