Source:_M:\Work\codes\Energy_vision_scenarios\data\EMPIRE\Data_handler_Trinity_EU\Transmission.xlsx_+_data/IAMC/Spain/Spain_IAMC.xlsx	Unnamed:_1	Unnamed:_2	Unnamed:_3
ES212	ES220	7	2483.112038376094
ES212	France	1	2290.20418030794
ES212	France	2	2290.20418030794
ES212	France	3	2290.20418030794
ES212	France	4	2290.20418030794
ES212	France	5	2290.20418030794
ES212	France	6	2290.20418030794
ES212	France	7	2290.20418030794
ES213	ES412	1	3574.95286682216
ES213	ES412	2	3574.95286682216
ES213	ES412	3	3574.95286682216
ES213	ES412	4	3574.95286682216
ES213	ES412	5	3574.95286682216
ES213	ES412	6	3574.95286682216
ES213	ES412	7	3574.95286682216
ES220	ES230	1	17606.64286909914
ES220	ES230	2	17606.64286909914
ES220	ES230	3	17606.64286909914
ES220	ES230	4	17606.64286909914
ES220	ES230	5	17606.64286909914
ES220	ES230	6	17606.64286909914
ES220	ES230	7	17606.64286909914
ES220	ES241	1	1991.556019188047
ES220	ES241	2	1991.556019188047
ES220	ES241	3	1991.556019188047
ES220	ES241	4	1991.556019188047
ES220	ES241	5	1991.556019188047
ES220	ES241	6	1991.556019188047
ES220	ES241	7	1991.556019188047
ES220	ES243	1	5779.03245259912
ES220	ES243	2	5779.03245259912
ES220	ES243	3	5779.03245259912
ES220	ES243	4	5779.03245259912
ES220	ES243	5	5779.03245259912
ES220	ES243	6	5779.03245259912
ES220	ES243	7	5779.03245259912
ES220	France	1	0.0
ES220	France	2	2000.0
ES220	France	3	2000.0
ES220	France	4	2000.0
ES220	France	5	2000.0
ES220	France	6	2000.0
ES220	France	7	2000.0
ES230	ES243	1	1500.0
ES230	ES243	2	1500.0
ES230	ES243	3	1500.0
ES230	ES243	4	1500.0
ES230	ES243	5	1500.0
ES230	ES243	6	1500.0
ES230	ES243	7	1500.0
ES230	ES412	1	4558.06490519824
ES230	ES412	2	4558.06490519824
ES230	ES412	3	4558.06490519824
ES230	ES412	4	4558.06490519824
ES230	ES412	5	4558.06490519824
ES230	ES412	6	4558.06490519824
ES230	ES412	7	4558.06490519824
ES230	ES417	1	1500.0
ES230	ES417	2	1500.0
ES230	ES417	3	1500.0
ES230	ES417	4	1500.0
ES230	ES417	5	1500.0
ES230	ES417	6	1500.0
ES230	ES417	7	1500.0
ES241	ES243	1	6881.78426863266
ES241	ES243	2	6881.78426863266
ES241	ES243	3	6881.78426863266
ES241	ES243	4	6881.78426863266
ES241	ES243	5	6881.78426863266
ES241	ES243	6	6881.78426863266
ES241	ES243	7	6881.78426863266
ES241	ES513	1	3373.112038376094
ES241	ES513	2	3373.112038376094
ES241	ES513	3	3373.112038376094
ES241	ES513	4	3373.112038376094
ES241	ES513	5	3373.112038376094
ES241	ES513	6	3373.112038376094
ES241	ES513	7	3373.112038376094
ES241	France	1	502.727746896866
ES241	France	2	502.727746896866
ES241	France	3	502.727746896866
ES241	France	4	502.727746896866
ES241	France	5	502.727746896866
ES241	France	6	502.727746896866
ES241	France	7	502.727746896866
ES242	ES243	1	25382.1653544372
ES242	ES243	2	25382.1653544372
ES242	ES243	3	25382.1653544372
ES242	ES243	4	25382.1653544372
ES242	ES243	5	25382.1653544372
ES242	ES243	6	25382.1653544372
ES242	ES243	7	25382.1653544372
ES242	ES423	1	1500.0
ES242	ES423	2	1500.0
ES242	ES423	3	1500.0
ES242	ES423	4	1500.0
ES242	ES423	5	1500.0
ES242	ES423	6	1500.0
ES242	ES423	7	1500.0
ES242	ES424	1	1500.0
ES242	ES424	2	1500.0
ES242	ES424	3	1500.0
ES242	ES424	4	1500.0
ES242	ES424	5	1500.0
ES242	ES424	6	1500.0
ES242	ES424	7	1500.0
ES242	ES514	1	1500.0
ES242	ES514	2	1500.0
ES242	ES514	3	1500.0
ES242	ES514	4	1500.0
ES242	ES514	5	1500.0
ES242	ES514	6	1500.0
ES242	ES514	7	1500.0
ES242	ES522	1	17874.7643341108
ES242	ES522	2	17874.7643341108
ES242	ES522	3	17874.7643341108
ES242	ES522	4	17874.7643341108
ES242	ES522	5	17874.7643341108
ES242	ES522	6	17874.7643341108
ES242	ES522	7	17874.7643341108
ES242	ES523	1	3530.0
ES242	ES523	2	3530.0
ES242	ES523	3	3530.0
ES242	ES523	4	3530.0
ES242	ES523	5	3530.0
ES242	ES523	6	3530.0
ES242	ES523	7	3530.0
ES243	ES417	1	5541.17694357434
ES243	ES417	2	5541.17694357434
ES243	ES417	3	5541.17694357434
ES243	ES417	4	5541.17694357434
ES243	ES417	5	5541.17694357434
ES243	ES417	6	5541.17694357434
ES243	ES417	7	5541.17694357434
ES243	ES424	1	7149.90573364432
ES243	ES424	2	7149.90573364432
ES243	ES424	3	7149.90573364432
ES243	ES424	4	7149.90573364432
ES243	ES424	5	7149.90573364432
ES243	ES424	6	7149.90573364432
ES243	ES424	7	7149.90573364432
ES243	ES513	1	6217.92383510766
ES243	ES513	2	6217.92383510766
ES243	ES513	3	6217.92383510766
ES243	ES513	4	6217.92383510766
ES243	ES513	5	6217.92383510766
ES243	ES513	6	6217.92383510766
ES243	ES513	7	6217.92383510766
ES243	ES514	1	10099.2418487726
ES243	ES514	2	10099.2418487726
ES243	ES514	3	10099.2418487726
ES243	ES514	4	10099.2418487726
ES243	ES514	5	10099.2418487726
ES243	ES514	6	10099.2418487726
ES243	ES514	7	10099.2418487726
ES300	ES414	1	3574.95286682216
ES300	ES414	2	3574.95286682216
ES300	ES414	3	3574.95286682216
ES300	ES414	4	3574.95286682216
ES300	ES414	5	3574.95286682216
ES300	ES414	6	3574.95286682216
ES300	ES414	7	3574.95286682216
ES300	ES416	1	10724.85860046648
ES300	ES416	2	10724.85860046648
ES300	ES416	3	10724.85860046648
ES300	ES416	4	10724.85860046648
ES300	ES416	5	10724.85860046648
ES300	ES416	6	10724.85860046648
ES300	ES416	7	10724.85860046648
ES300	ES418	1	7149.90573364432
ES300	ES418	2	7149.90573364432
ES300	ES418	3	7149.90573364432
ES300	ES418	4	7149.90573364432
ES300	ES418	5	7149.90573364432
ES300	ES418	6	7149.90573364432
ES300	ES418	7	7149.90573364432
ES300	ES423	1	8133.01777202042
ES300	ES423	2	8133.01777202042
ES300	ES423	3	8133.01777202042
ES300	ES423	4	8133.01777202042
ES300	ES423	5	8133.01777202042
ES300	ES423	6	8133.01777202042
ES300	ES423	7	8133.01777202042
ES300	ES424	1	9116.1298103965
ES300	ES424	2	9116.1298103965
ES300	ES424	3	9116.1298103965
ES300	ES424	4	9116.1298103965
ES300	ES424	5	9116.1298103965
ES300	ES424	6	9116.1298103965
ES300	ES424	7	9116.1298103965
ES300	ES425	1	5898.67223025656
ES300	ES425	2	5898.67223025656
ES300	ES425	3	5898.67223025656
ES300	ES425	4	5898.67223025656
ES300	ES425	5	5898.67223025656
ES300	ES425	6	5898.67223025656
ES300	ES425	7	5898.67223025656
ES300	ES432	1	21449.7172009328
ES300	ES432	2	21449.7172009328
ES300	ES432	3	21449.7172009328
ES300	ES432	4	21449.7172009328
ES300	ES432	5	21449.7172009328
ES300	ES432	6	21449.7172009328
ES300	ES432	7	21449.7172009328
ES412	ES414	1	11082.3538871487
ES412	ES414	2	11082.3538871487
ES412	ES414	3	11082.3538871487
ES412	ES414	4	11082.3538871487
ES412	ES414	5	11082.3538871487
ES412	ES414	6	11082.3538871487
ES412	ES414	7	11082.3538871487
ES412	ES416	1	1500.0
ES412	ES416	2	1500.0
ES412	ES416	3	1500.0
ES412	ES416	4	1500.0
ES412	ES416	5	1500.0
ES412	ES416	6	1500.0
ES412	ES416	7	1500.0
ES412	ES417	1	1500.0
ES412	ES417	2	1500.0
ES412	ES417	3	1500.0
ES412	ES417	4	1500.0
ES412	ES417	5	1500.0
ES412	ES417	6	1500.0
ES412	ES417	7	1500.0
ES412	ES418	1	1500.0
ES412	ES418	2	1500.0
ES412	ES418	3	1500.0
ES412	ES418	4	1500.0
ES412	ES418	5	1500.0
ES412	ES418	6	1500.0
ES412	ES418	7	1500.0
ES413	ES414	1	12691.08267721866
ES413	ES414	2	12691.08267721866
ES413	ES414	3	12691.08267721866
ES413	ES414	4	12691.08267721866
ES413	ES414	5	12691.08267721866
ES413	ES414	6	12691.08267721866
ES413	ES414	7	12691.08267721866
ES413	ES418	1	16266.03554404084
ES413	ES418	2	16266.03554404084
ES413	ES418	3	16266.03554404084
ES413	ES418	4	16266.03554404084
ES413	ES418	5	16266.03554404084
ES413	ES418	6	16266.03554404084
ES413	ES418	7	16266.03554404084
ES413	ES419	1	7149.90573364432
ES413	ES419	2	7149.90573364432
ES413	ES419	3	7149.90573364432
ES413	ES419	4	7149.90573364432
ES413	ES419	5	7149.90573364432
ES413	ES419	6	7149.90573364432
ES413	ES419	7	7149.90573364432
ES414	ES415	1	7317.476433411081
ES414	ES415	2	7317.476433411081
ES414	ES415	3	7317.476433411081
ES414	ES415	4	7317.476433411081
ES414	ES415	5	7317.476433411081
ES414	ES415	6	7317.476433411081
ES414	ES415	7	7317.476433411081
ES414	ES418	1	10099.2418487726
ES414	ES418	2	10099.2418487726
ES414	ES418	3	10099.2418487726
ES414	ES418	4	10099.2418487726
ES414	ES418	5	10099.2418487726
ES414	ES418	6	10099.2418487726
ES414	ES418	7	10099.2418487726
ES415	ES418	1	1500.0
ES415	ES418	2	1500.0
ES415	ES418	3	1500.0
ES415	ES418	4	1500.0
ES415	ES418	5	1500.0
ES415	ES418	6	1500.0
ES415	ES418	7	1500.0
ES415	ES419	1	15640.41879234696
ES415	ES419	2	15640.41879234696
ES415	ES419	3	15640.41879234696
ES415	ES419	4	15640.41879234696
ES415	ES419	5	15640.41879234696
ES415	ES419	6	15640.41879234696
ES415	ES419	7	15640.41879234696
ES415	ES432	1	7149.90573364432
ES415	ES432	2	7149.90573364432
ES415	ES432	3	7149.90573364432
ES415	ES432	4	7149.90573364432
ES415	ES432	5	7149.90573364432
ES415	ES432	6	7149.90573364432
ES415	ES432	7	7149.90573364432
ES415	Portugal	1	491.556019188047
ES415	Portugal	2	491.556019188047
ES415	Portugal	3	491.556019188047
ES415	Portugal	4	491.556019188047
ES415	Portugal	5	491.556019188047
ES415	Portugal	6	491.556019188047
ES415	Portugal	7	491.556019188047
ES416	ES417	1	1500.0
ES416	ES417	2	1500.0
ES416	ES417	3	1500.0
ES416	ES417	4	1500.0
ES416	ES417	5	1500.0
ES416	ES417	6	1500.0
ES416	ES417	7	1500.0
ES416	ES418	1	11707.97063884258
ES416	ES418	2	11707.97063884258
ES416	ES418	3	11707.97063884258
ES416	ES418	4	11707.97063884258
ES416	ES418	5	11707.97063884258
ES416	ES418	6	11707.97063884258
ES416	ES418	7	11707.97063884258
ES416	ES424	1	1500.0
ES416	ES424	2	1500.0
ES416	ES424	3	1500.0
ES416	ES424	4	1500.0
ES416	ES424	5	1500.0
ES416	ES424	6	1500.0
