Source:_EU_EnVis_Scenarios_InputData_v1.3.0.csv	Unnamed:_1
1	567.1652651890126
2	407.5830003165586
3	290.7252532507712
4	203.1557092706677
5	135.6411817544676
6	37.89482167217902
7	26.18965107314624
